,Sub,TI,TR,pupil
0,AB,0,0,0.012216172494380761
1,AB,1,0,0.004118838061719607
2,AB,0,1,0.043327159525789166
3,AB,1,1,0.009919137888436002
4,AC,0,0,-0.0902350170958561
5,AC,1,0,0.030240287571834022
6,AC,0,1,-0.03937684134397952
7,AC,1,1,-0.12014450641890774
8,AF,0,0,-0.053596177320478486
9,AF,1,0,-0.032432266444990226
10,AF,0,1,0.0018009885004711059
11,AF,1,1,0.0033820951843897933
12,AH,0,0,-0.03265798942658004
13,AH,1,0,-0.03190860729443834
14,AH,0,1,0.005054690984138941
15,AH,1,1,-0.012956507067278503
16,AI,0,0,-0.016506113055903278
17,AI,1,0,0.005934667051042733
18,AI,0,1,-0.009432906761737808
19,AI,1,1,0.035391685594675384
20,AJ,0,0,-0.016347722478281458
21,AJ,1,0,0.030569800432489958
22,AJ,0,1,-0.06747355245754033
23,AJ,1,1,0.06617598564429186
24,AK,0,0,0.01520928221975689
25,AK,1,0,-0.043695753502260404
26,AK,0,1,0.000483899668948929
27,AK,1,1,0.01951002093558494
28,AL,0,0,0.0743880233604128
29,AL,1,0,0.003897988429497304
30,AL,0,1,0.052269008055755434
31,AL,1,1,0.1789360757898865
32,AM,0,0,0.005662582122377262
33,AM,1,0,0.09645339382982641
34,AM,0,1,0.0663238221653502
35,AM,1,1,0.07672041221612046
36,AN,0,0,0.030002876891046196
37,AN,1,0,-0.07472126792086654
38,AN,0,1,-0.10657047871816651
39,AN,1,1,-0.1243082071779395
40,AO,0,0,-0.09979386799953444
41,AO,1,0,-0.11947206788372892
42,AO,0,1,-0.0992747688428379
43,AO,1,1,-0.0921799073665755
44,AP,0,0,-0.12709258541582313
45,AP,1,0,-0.08482227995493867
46,AP,0,1,-0.20805774979514474
47,AP,1,1,-0.11014511625648221
48,AQ,0,0,0.009217926072073713
49,AQ,1,0,-0.057998949684975126
50,AQ,0,1,-0.10955322685539223
51,AQ,1,1,-0.11229309174811034
