,Reaction time,Response,TI,TR,prediction_error,subID
0,1.2669026979,Correct,0,0,None,0
1,1.2252414850800002,Correct,0,0,None,1
2,1.175194521425,Correct,0,0,None,2
3,1.016895566025,Correct,0,0,None,3
4,0.95851344079,Correct,0,0,None,4
5,0.9501410485175,Correct,0,0,None,5
6,0.6835032762905,Correct,0,0,None,6
7,1.19181147424,Correct,0,0,None,7
8,0.7085206870584999,Correct,0,0,None,8
9,0.9377239424920001,Correct,0,0,None,9
10,1.00855313776,Correct,0,0,None,10
11,0.775171767275,Correct,0,0,None,11
12,1.1168535780000002,Correct,0,0,None,12
13,1.0252358368049999,Correct,0,0,None,13
14,0.950182243269,Correct,0,0,None,14
15,1.47523635661,Correct,0,0,None,15
16,1.0585253808,Correct,0,0,None,16
17,0.70856404311,Correct,0,0,None,17
18,1.558568132145,Correct,0,0,None,18
19,0.7501740689675,Correct,0,0,None,19
20,0.8668567233594999,Correct,0,0,None,20
21,1.50426233107,Correct,0,0,None,21
22,0.9335072254365,Correct,0,0,None,22
23,1.58765747152,Correct,0,0,None,23
24,1.1167086786,Correct,0,0,None,24
25,0.8667840834005001,Correct,0,0,None,25
26,0.8959252495345,Correct,0,0,None,26
27,1.27097303645,Correct,0,0,None,27
28,1.750077615515,Correct,0,0,None,28
29,0.941787081187,Correct,0,0,None,29
30,0.76674808652,Correct,0,0,None,30
31,1.11673941998,Correct,0,0,None,31
32,1.20008814782,Correct,0,0,None,32
33,1.241908062,Incorrect,0,0,None,0
34,1.291893388,Incorrect,0,0,None,1
35,1.22519841811,Incorrect,0,0,None,2
36,1.0251810674450001,Incorrect,0,0,None,3
37,1.00841969618,Incorrect,0,0,None,4
38,0.991864374057,Incorrect,0,0,None,5
39,0.700191500532,Incorrect,0,0,None,6
40,1.2335149962549998,Incorrect,0,0,None,7
41,0.741823573407,Incorrect,0,0,None,8
42,0.975188166214,Incorrect,0,0,None,9
43,1.0293747316,Incorrect,0,0,None,10
44,0.754357483113,Incorrect,0,0,None,11
45,1.1626968855,Incorrect,0,0,None,12
46,1.03356092245,Incorrect,0,0,None,13
47,0.958419350338,Incorrect,0,0,None,14
48,1.508574041085,Incorrect,0,0,None,15
49,1.05850806237,Incorrect,0,0,None,16
50,0.741801965623,Incorrect,0,0,None,17
51,1.55855097423,Incorrect,0,0,None,18
52,0.775195260321,Incorrect,0,0,None,19
53,0.875092085771,Incorrect,0,0,None,20
54,1.583384720205,Incorrect,0,0,None,21
55,0.9668022222985,Incorrect,0,0,None,22
56,1.6209650127950002,Incorrect,0,0,None,23
57,1.05011497451,Incorrect,0,0,None,24
58,0.8834247408725,Incorrect,0,0,None,25
59,0.8917591577895,Incorrect,0,0,None,26
60,1.34595335768,Incorrect,0,0,None,27
61,1.879228833915,Incorrect,0,0,None,28
62,0.975086346369,Incorrect,0,0,None,29
63,0.7750542799015,Incorrect,0,0,None,30
64,1.17510741947,Incorrect,0,0,None,31
65,1.17506180611,Incorrect,0,0,None,32
66,1.22934659932,Correct,0,1,Task relevant,0
67,1.208529158775,Correct,0,1,Task relevant,1
68,1.1335569462450001,Correct,0,1,Task relevant,2
69,1.00021199235,Correct,0,1,Task relevant,3
70,0.950190600139,Correct,0,1,Task relevant,4
71,0.933491358132,Correct,0,1,Task relevant,5
72,0.6669051737225,Correct,0,1,Task relevant,6
73,1.12527589394,Correct,0,1,Task relevant,7
74,0.691901476209,Correct,0,1,Task relevant,8
75,0.908541181043,Correct,0,1,Task relevant,9
76,1.012710400805,Correct,0,1,Task relevant,10
77,0.7835036386785,Correct,0,1,Task relevant,11
78,1.06271263249,Correct,0,1,Task relevant,12
79,1.02518436226,Correct,0,1,Task relevant,13
80,0.925196715291,Correct,0,1,Task relevant,14
81,1.45024916949,Correct,0,1,Task relevant,15
82,1.02524738091,Correct,0,1,Task relevant,16
