,subj_idx,trial_PE,trial_TR_PE,trial_TI_PE,rt,pupil_response_1,pupil_response_2,missed_response,response
0,0,PP,0,0,1.09174260663,2.03768492379,2.49125538055,0,1.0
1,0,PP,0,0,2.02500381303,0.779087840565,4.66974645279,0,0.0
2,0,PP,0,0,2.37505691043,0.875757784461,3.07575770744,0,1.0
3,0,PP,0,0,1.25840228868,0.357599649493,2.87142801512,0,1.0
4,0,PP,0,0,1.18341109073,1.67599809363,1.94013449349,0,1.0
5,0,PP,0,0,1.45839772729,2.89809719911,0.259512094567,0,1.0
6,0,UP,1,0,2.35009329462,4.23938011568,1.4943060921,0,1.0
7,0,PP,0,0,1.57511677863,3.74986118141,2.39587285536,0,1.0
8,0,UP,1,0,1.30844640584,2.33225251909,1.19665290605,0,1.0
9,0,PP,0,0,1.80840635116,1.21462211312,3.49119346619,0,1.0
10,0,PU,0,1,1.04175265594,0.416167379168,0.315791192351,0,1.0
11,0,PP,0,0,1.97505063852,1.80474472262,1.37085279727,0,1.0
12,0,PP,0,0,2.31665918314,1.85785542398,3.40812629814,0,0.0
13,0,UP,1,0,0.9834994676,2.10863447648,2.30080415518,0,0.0
14,0,PP,0,0,2.15007932537,1.21608607021,2.96483272552,0,0.0
15,0,PP,0,0,1.49175030397,0.604167440353,4.00954821477,0,1.0
16,0,PP,0,0,1.74166100057,1.91701744102,1.17119215983,0,0.0
17,0,PP,0,0,1.61682638648,0.701348717256,2.31506821052,0,1.0
18,0,UU,1,1,1.56681448411,1.2627439028,1.24404631167,0,1.0
19,0,UU,1,1,1.12510744205,1.7199487313,1.42114217255,0,1.0
20,0,PP,0,0,1.6584125518,1.75728074962,0.710314616774,0,1.0
21,0,PP,0,0,2.04169905964,1.87764064903,3.51190998672,0,1.0
22,0,PU,0,1,0.87513659216,0.997773778278,0.737453820741,0,1.0
23,0,PP,0,0,2.22507052332,3.53313092041,1.33510103988,0,0.0
24,0,PP,0,0,2.80825525522,4.29789356637,3.15440792262,0,1.0
25,0,UU,1,1,1.25009201173,5.18603921605,2.71631953608,0,1.0
26,0,PU,0,1,2.0083969433,2.10169219246,4.36792032953,0,1.0
27,0,PP,0,0,1.1417910001,0.458791799499,2.9235187643,0,1.0
28,0,PP,0,0,2.60842602214,1.947323881,1.69219773968,0,1.0
29,0,PP,0,0,1.36671584412,2.87914540367,1.86347486885,0,1.0
30,0,UP,1,0,1.46670686389,1.03044309546,2.50456737377,0,1.0
31,0,PU,0,1,0.833469462226,0.59501331217,1.07899944639,0,1.0
32,0,PP,0,0,2.02503488748,1.82137540572,0.924738179857,0,1.0
33,0,UP,1,0,1.67510409228,2.33039745739,0.769618282016,0,0.0
34,0,PU,0,1,1.24175664715,0.247432132233,1.27606893432,0,1.0
35,0,UP,1,0,2.24170105525,2.04758263346,1.30250143563,0,1.0
36,0,PP,0,0,1.92510573153,1.63858050109,3.61139720854,0,1.0
37,0,PP,0,0,1.44180254611,2.24642596533,2.29344555458,0,1.0
38,0,PP,0,0,2.48342434726,2.42950217399,1.9158621434,0,1.0
39,0,PP,0,0,1.27503652673,0.496236849697,2.65386178092,0,1.0
40,0,PP,0,0,0.716777209029,0.676872817595,2.52246408086,0,1.0
41,0,PP,0,0,2.06673565765,1.83907653439,1.81208000601,0,0.0
42,0,PP,0,0,2.12502505199,1.51223653488,1.77257106247,0,1.0
43,0,PP,0,0,2.76671099765,1.98276054311,0.739614935457,0,0.0
44,0,PP,0,0,1.40005929803,3.08186247195,3.56300272088,0,1.0
45,0,UP,1,0,1.93341600847,2.18449277492,4.87474090831,0,0.0
46,0,UU,1,1,2.16667023025,1.18070909548,3.1146911847,0,1.0
