,Sub,TI,TR,pupil
0,AB,0,0,0.49841090717087577
1,AB,1,0,0.13447813501655528
2,AB,0,1,0.5340125670798354
3,AB,1,1,0.04759518830580312
4,AC,0,0,0.406773549796721
5,AC,1,0,0.2164414937086793
6,AC,0,1,0.13642777105139908
7,AC,1,1,0.740863836446426
8,AF,0,0,-0.05114213808246464
9,AF,1,0,0.04532402212755659
10,AF,0,1,0.06947121706985952
11,AF,1,1,0.012717613804563623
12,AH,0,0,0.07366090790141076
13,AH,1,0,0.41009752354536877
14,AH,0,1,0.5221569622607554
15,AH,1,1,-0.001483149898063179
16,AI,0,0,0.05779570978891105
17,AI,1,0,0.07176288864284502
18,AI,0,1,-0.24352002717712448
19,AI,1,1,0.23144899953036135
20,AJ,0,0,-0.20968520886234954
21,AJ,1,0,-0.20152438141533693
22,AJ,0,1,-0.034923339680784024
23,AJ,1,1,0.019633379671304286
24,AK,0,0,-0.3902431953180234
25,AK,1,0,-0.48505935265032113
26,AK,0,1,-0.2692492473517433
27,AK,1,1,0.05149439570602507
28,AL,0,0,0.1217420029362386
29,AL,1,0,0.257793244893914
30,AL,0,1,0.04360708960807719
31,AL,1,1,-0.04304226053250429
32,AM,0,0,0.37758956302661073
33,AM,1,0,0.42713083860082834
34,AM,0,1,0.2828300750881214
35,AM,1,1,0.4616301579655855
36,AN,0,0,0.003638664852683134
37,AN,1,0,0.0544849335641733
38,AN,0,1,-0.12449553203633276
39,AN,1,1,0.027631379843630365
40,AO,0,0,0.018310615070408348
41,AO,1,0,0.6173395055961446
42,AO,0,1,0.14359700175400114
43,AO,1,1,-0.16231130845582956
44,AP,0,0,0.04388377960889012
45,AP,1,0,-0.09789838369686425
46,AP,0,1,-0.27584772587457423
47,AP,1,1,-0.2827039320539294
48,AQ,0,0,0.044246973131318396
49,AQ,1,0,-0.2087673120537597
50,AQ,0,1,0.20813855655144398
51,AQ,1,1,0.0870297421283496
52,AS,0,0,-0.13716875868908163
53,AS,1,0,0.0010754317553876766
54,AS,0,1,-0.06439960389506741
55,AS,1,1,-0.03550686307548454
56,AT,0,0,0.04332558062354445
57,AT,1,0,0.1410563521791015
58,AT,0,1,0.13300458449099875
59,AT,1,1,0.05069975553548096
60,AV,0,0,0.08457549392525615
61,AV,1,0,0.29846342974886636
62,AV,0,1,0.16464677228484972
63,AV,1,1,0.19096643260154889
64,AX,0,0,-0.08419380127756323
65,AX,1,0,0.3620602766107758
66,AX,0,1,-0.10465124028356565
67,AX,1,1,0.18683530992030725
68,AZ,0,0,-0.0763717241261345
69,AZ,1,0,0.06633075597551813
70,AZ,0,1,0.035299431670234166
71,AZ,1,1,-0.2756550066182353
72,BA,0,0,0.18698700246039598
73,BA,1,0,0.3021185751886891
74,BA,0,1,-0.05857515528788866
75,BA,1,1,0.2976011709718867
76,BB,0,0,0.046041610638434594
77,BB,1,0,0.29323315845744513
78,BB,0,1,-0.1534714591429316
79,BB,1,1,-0.0961150876856042
80,BC,0,0,-0.35944668288969317
81,BC,1,0,-0.6558072666778019
82,BC,0,1,-0.37548523270733664
83,BC,1,1,-0.3721423952304746
84,IAA,0,0,-0.049953935995416095
85,IAA,1,0,-0.13313053388366514
86,IAA,0,1,0.04226062933787082
87,IAA,1,1,0.06399512369792593
88,IAC,0,0,-0.030321233838116263
89,IAC,1,0,-0.040985094265706346
90,IAC,0,1,0.22631432981684743
91,IAC,1,1,0.0682843191661878
92,IAF,0,0,-0.09898982160236644
93,IAF,1,0,-0.05079118091993746
94,IAF,0,1,-0.4938060995086848
95,IAF,1,1,0.25400837537041265
96,IAH,0,0,0.13435881260662513
97,IAH,1,0,0.54775652748567
98,IAH,0,1,0.4169381007767053
99,IAH,1,1,0.5413231068328462
100,IAJ,0,0,0.052277353491629416
101,IAJ,1,0,0.13734531678666653
102,IAJ,0,1,0.07812455684156222
103,IAJ,1,1,0.04189064852478819
104,IAK,0,0,0.03752451749407113
105,IAK,1,0,-0.0926188507230268
106,IAK,0,1,0.00025059767130593605
107,IAK,1,1,-0.05089076006462648
108,IAL,0,0,0.3934689701075388
109,IAL,1,0,0.7681823049195174
110,IAL,0,1,0.7734738461286469
111,IAL,1,1,1.0791844786156106
