,rt,PE
0,1.12631674424,PU
1,0.89560448506,PU
2,1.80757155818,PU
3,0.54401762629,PU
4,1.08791473889,PU
5,1.76913191873,PU
6,1.25270347099,PU
7,1.71424829162,PU
8,0.587945924446,PU
9,1.60430703253,PU
10,0.49458629235,PU
11,1.12088094241,PU
12,0.928571957141,PU
13,1.19223223708,PU
14,1.69220274294,PU
15,0.741753321999,PU
16,1.69218730873,PU
17,1.6702734794,PU
18,1.40651340568,PU
19,0.571467051243,PU
20,1.01648944459,PU
21,1.14282627444,PU
22,0.642892134114,PU
23,1.29112027626,PU
24,0.445105695796,PU
25,0.703340322427,PU
26,0.604427546221,PU
27,1.72519812345,PU
28,1.3460869944,PU
29,0.544019106286,PU
30,0.522012037416,PU
31,1.03844111944,PU
32,0.472585777736,PU
33,0.567045371728,PU
34,0.461129987222,PU
35,0.542136092149,PU
36,1.1713000257,PU
37,1.0716502008,PU
38,2.08083995994,PU
39,1.69459556525,PU
40,1.48904114449,PU
41,0.847402432373,PU
42,1.58868401669,PU
43,1.21492351097,PU
44,0.604404735874,PU
45,1.38932395057,PU
46,1.18376905033,PU
47,0.666695196609,PU
48,0.859831658931,PU
49,1.36443816625,PU
50,0.629337270939,PU
51,1.00309178299,PU
52,0.685407963827,PU
53,1.22114951225,PU
54,1.99364069914,PU
55,0.467349275585,PU
56,1.48280747129,PU
57,1.30834541661,PU
58,1.32703181161,PU
59,0.598197434893,PU
60,0.51096029398,PU
61,0.554586416477,PU
62,0.884727992138,PU
63,1.60738335807,PU
64,1.35196290819,PU
65,0.672948289354,PU
66,0.479807032075,PU
67,1.20246815194,PU
68,0.979743389843,PU
69,0.682525623514,PU
70,2.05400948017,PU
71,1.04734741306,PU
72,2.34457726979,PU
73,0.844684848278,PU
74,1.22299873754,PU
75,1.74321251131,PU
76,1.06760857335,PU
77,0.939233549625,PU
78,1.16217885541,PU
79,1.69586158813,PU
80,2.10803170076,PU
81,0.932495430025,PU
82,0.7567780634,PU
83,1.73644423072,PU
84,1.27020977615,PU
85,0.648743242544,PU
86,0.726113035184,PU
87,1.40586454714,PU
88,0.884495074227,PU
89,0.996703792385,PU
90,1.21446938118,PU
91,0.95051091473,PU
92,1.81505882784,PU
93,0.818482535544,PU
94,0.514914717165,PU
95,0.528110976888,PU
96,0.759092636187,PU
97,1.13525702698,PU
98,0.990117218805,PU
99,1.14850713137,PU
100,1.74243203127,PU
101,1.27389712419,PU
102,1.71606440227,PU
103,1.09565885038,PU
104,1.24087739368,PU
105,0.996696426839,PU
106,2.08283002263,PU
107,1.08676895073,PU
108,0.754752465515,PU
109,0.860400304985,PU
110,1.3508974068,PU
111,1.68293944779,PU
112,1.14718569272,PU
113,0.686845850361,PU
114,1.11696163978,PU
115,0.565998426869,PU
116,2.52811170892,PU
117,0.611375889207,PU
118,1.39617206525,PU
119,1.53954806075,PU
120,0.588750902257,PU
121,0.520827443528,PU
122,0.958546655033,PU
123,0.611346267748,PU
124,1.75841318422,PU
125,0.656667391231,PU
126,0.762261505505,PU
127,0.618897416675,PU
128,0.634106003297,PU
129,1.05660385029,PU
130,0.996232702118,PU
131,0.988721048474,PU
132,1.21504177715,PU
133,1.26788065282,PU
134,0.611407543511,PU
135,1.30562768526,PU
136,1.73286265904,PU
137,0.745392874372,PU
138,0.490761728246,PU
139,0.819901353429,PU
140,0.900717782688,PU
141,1.95022618107,PU
142,1.95644282948,PU
143,0.627383153121,PU
144,1.67073226549,PU
145,1.07453345559,PU
146,0.919277860161,PU
147,0.65855028763,PU
148,0.850979576238,PU
149,1.48443931795,PU
150,0.577706611242,PU
151,0.751626014462,PU
152,1.29195194992,PU
153,1.10560163999,PU
154,1.24224218566,PU
155,1.08075536221,PU
156,0.857182601081,PU
157,0.59633743566,PU
158,0.73297105004,PU
159,0.646008241301,PU
160,0.58390796301,PU
161,1.0746008564,PU
162,1.15528009395,PU
163,0.577719039758,PU
164,0.801309965653,PU
165,1.04349275734,PU
166,2.07464538656,PU
167,1.85739115247,PU
168,1.97728220227,PU
169,0.846399148501,PU
170,1.13098623395,PU
171,0.689157736991,PU
172,0.749093030335,PU
173,0.928754803969,PU
174,0.936321831095,PU
175,1.50543000125,PU
176,1.42306627583,PU
177,1.2283912091,PU
178,0.973717154004,PU
179,0.719097571128,PU
180,1.28828298231,PU
181,0.951255289241,PU
182,0.81645355011,PU
183,1.04862711992,PU
184,1.16104077678,PU
185,0.726576693353,PU
186,0.764016112823,PU
187,0.72659686825,PU
188,0.764038593422,PU
189,1.55039177486,PU
190,0.85390738022,PU
191,0.75653727881,PU
192,1.25836678163,PU
193,0.883867965677,PU
194,1.16097333498,PU
