,Sub,TI,TR,pupil
0,AB,0,0,0.5902889653949803
1,AB,1,0,0.6674963710939024
2,AB,0,1,0.6415633821896756
3,AB,1,1,0.282751845488572
4,AC,0,0,0.6585687562253357
5,AC,1,0,0.47519592875554173
6,AC,0,1,0.31721542728050545
7,AC,1,1,0.8331163587970886
8,AF,0,0,0.1113883696874979
9,AF,1,0,-0.13644037994298677
10,AF,0,1,0.23619506828125475
11,AF,1,1,0.011147460814903169
12,AH,0,0,0.4316848242944829
13,AH,1,0,0.688162865725579
14,AH,0,1,0.20966685522152476
15,AH,1,1,0.5233103020015696
16,AI,0,0,0.04530340178921205
17,AI,1,0,-0.0124229813966838
18,AI,0,1,-0.0025771840439134937
19,AI,1,1,0.09414738493541724
20,AJ,0,0,0.25769309675823093
21,AJ,1,0,0.5331827653373648
22,AJ,0,1,0.6174899200633057
23,AJ,1,1,0.45978919877944535
24,AK,0,0,-0.25928866089235747
25,AK,1,0,0.03327592265456595
26,AK,0,1,-0.15773275229029518
27,AK,1,1,0.1934162373266207
28,AL,0,0,0.3037179153463249
29,AL,1,0,0.1931162286667557
30,AL,0,1,0.3134627213116122
31,AL,1,1,0.1846658171274394
32,AM,0,0,0.28799654094483684
33,AM,1,0,0.26900282024214905
34,AM,0,1,0.09020249742193198
35,AM,1,1,0.38342763127180746
36,AN,0,0,0.17536433671540796
37,AN,1,0,0.46753645957550083
38,AN,0,1,0.358059816020435
39,AN,1,1,0.13883144253386684
40,AO,0,0,0.71237818267063
41,AO,1,0,0.5188007276496068
42,AO,0,1,0.7777521600798527
43,AO,1,1,0.5710713332209995
44,AP,0,0,0.21074196819063823
45,AP,1,0,0.006073557991101463
46,AP,0,1,0.030017270696050136
47,AP,1,1,0.07309444350660027
48,AQ,0,0,0.4965410322934564
49,AQ,1,0,0.41214433730212796
50,AQ,0,1,0.3522000261842423
51,AQ,1,1,0.47948075295768655
52,AS,0,0,0.0320929865058162
53,AS,1,0,0.2567475354171393
54,AS,0,1,0.4108275986241302
55,AS,1,1,-0.12714142777143297
56,AT,0,0,0.34001947632921053
57,AT,1,0,0.4522368682099128
58,AT,0,1,0.4308810132125988
59,AT,1,1,0.24888690081866358
60,AV,0,0,0.00511734872067908
61,AV,1,0,-0.13229002858893119
62,AV,0,1,0.02026842789748371
63,AV,1,1,-0.05607338889779758
64,AX,0,0,0.14096185363416713
65,AX,1,0,0.5062386384368596
66,AX,0,1,0.22071839831334678
67,AX,1,1,0.6187295471409369
68,AZ,0,0,0.333559117198674
69,AZ,1,0,0.4596437293911923
70,AZ,0,1,0.4731848307597593
71,AZ,1,1,0.2860393160703345
72,BA,0,0,0.3278267134194312
73,BA,1,0,0.4743505354542248
74,BA,0,1,0.3146602885119242
75,BA,1,1,0.3174120818830485
76,BB,0,0,0.01576065104524285
77,BB,1,0,0.2249130278074193
78,BB,0,1,0.13948472718599722
79,BB,1,1,0.10125137766903959
80,BC,0,0,-0.16799154610162464
81,BC,1,0,-0.4815172111903314
82,BC,0,1,-0.4407539759583651
83,BC,1,1,0.03874465214305598
84,IAA,0,0,0.5028616692459705
85,IAA,1,0,0.308280151229275
86,IAA,0,1,0.6397735228257779
87,IAA,1,1,0.4965364623938553
88,IAC,0,0,0.37766842264289097
89,IAC,1,0,0.273920624395138
90,IAC,0,1,0.6751612975801472
91,IAC,1,1,0.17167840229313353
92,IAF,0,0,0.38496616234186953
93,IAF,1,0,0.15179310764771015
94,IAF,0,1,0.3501612318553975
95,IAF,1,1,0.5216279452327763
96,IAH,0,0,0.1947803741107301
97,IAH,1,0,0.5898858641312985
98,IAH,0,1,0.11393935098008331
99,IAH,1,1,1.1421845127181909
100,IAJ,0,0,0.33673371598710966
101,IAJ,1,0,0.7871818863897069
102,IAJ,0,1,0.466555011630987
103,IAJ,1,1,0.2007409431682297
104,IAK,0,0,-0.14410061010746156
105,IAK,1,0,-0.4543289782038829
106,IAK,0,1,-0.38601748850327405
107,IAK,1,1,-0.031517834363270394
108,IAL,0,0,1.160182134538164
109,IAL,1,0,1.376481540346028
110,IAL,0,1,0.9814103554547473
111,IAL,1,1,1.6100759071533615
112,IAM,0,0,0.6173950373220083
113,IAM,1,0,0.29503321120825216
114,IAM,0,1,0.7325393277944345
115,IAM,1,1,0.45236776149794045
116,IAN,0,0,0.19479377134464265
117,IAN,1,0,0.28824325073988616
118,IAN,0,1,0.3057089732424568
119,IAN,1,1,0.08906452067571188
120,IAO,0,0,0.41538419648520875
121,IAO,1,0,0.7652565657753156
122,IAO,0,1,1.1052186827507726
123,IAO,1,1,0.6520443109575857
124,IAP,0,0,0.8928452095601633
125,IAP,1,0,0.5447015400608964
126,IAP,0,1,0.7048040834349516
127,IAP,1,1,0.6158872217880856
128,IAQ,0,0,0.17764754184581794
129,IAQ,1,0,-0.3021340745819293
130,IAQ,0,1,0.24665927667338805
131,IAQ,1,1,0.22272585437987563
132,AB,0,0,0.7163123178339817
133,AB,1,0,0.8382075425184328
134,AB,0,1,0.9983234713179494
135,AB,1,1,0.9270516506575818
136,AC,0,0,0.8142328777182046
137,AC,1,0,0.7870492452303647
138,AC,0,1,0.7697982439812309
139,AC,1,1,2.5075166199796253
140,AF,0,0,0.2555455392392881
141,AF,1,0,0.08794523903577477
142,AF,0,1,0.7441044595667831
143,AF,1,1,0.32749490179932367
144,AH,0,0,0.4445999106761358
145,AH,1,0,0.2680218888997771
146,AH,0,1,-1.590073530093132
147,AH,1,1,-0.36986409276252846
148,AI,0,0,0.24769543804707495
149,AI,1,0,0.10600945375888575
150,AI,0,1,-0.0068908461778511235
151,AI,1,1,0.14799817704772686
152,AJ,0,0,0.45130024786677403
153,AJ,1,0,0.3403716301035879
154,AJ,0,1,0.2067234266240894
155,AJ,1,1,0.8690310550211988
156,AK,0,0,-0.2889988892297782
157,AK,1,0,0.9433508326902401
158,AK,0,1,0.5528697650917935
