,Sub,TI,TR,pupil
0,AB,0,0,0.4015346664149152
1,AB,1,0,0.4781124243149329
2,AB,0,1,0.37680173543257606
3,AB,1,1,0.22147441185512884
4,AC,0,0,0.7760309202738728
5,AC,1,0,0.6217167542108344
6,AC,0,1,0.5408102045276247
7,AC,1,1,0.9290685706077624
8,AF,0,0,0.11328136696511337
9,AF,1,0,-0.08233257529674452
10,AF,0,1,0.2762380286557595
11,AF,1,1,0.034262681876209976
12,AH,0,0,0.6627995997912938
13,AH,1,0,0.9236033493424468
14,AH,0,1,0.43837431885221934
15,AH,1,1,0.8236300986027919
16,AI,0,0,0.31238342536310165
17,AI,1,0,0.24398795824650193
18,AI,0,1,0.4526316306650679
19,AI,1,1,0.2829223460915797
20,AJ,0,0,0.5747751091988081
21,AJ,1,0,0.8311766390600167
22,AJ,0,1,0.993735541916068
23,AJ,1,1,0.6920754662050237
24,AK,0,0,-0.07763812683239914
25,AK,1,0,0.15700918725332
26,AK,0,1,0.06906587069018795
27,AK,1,1,0.27993620278312337
28,AL,0,0,0.33918117218920596
29,AL,1,0,0.26968193411789443
30,AL,0,1,0.32237256882160814
31,AL,1,1,0.21941293010946222
32,AM,0,0,0.4874563902789957
33,AM,1,0,0.4288010884924601
34,AM,0,1,0.30736717761595994
35,AM,1,1,0.5370304574323282
36,AN,0,0,0.17901935095689786
37,AN,1,0,0.4722219346070008
38,AN,0,1,0.5714727463494176
39,AN,1,1,0.26374137019486776
40,AO,0,0,0.6793025578259582
41,AO,1,0,0.6152939236664684
42,AO,0,1,0.8294415168145401
43,AO,1,1,0.7894382195834476
44,AP,0,0,0.4420682996974182
45,AP,1,0,0.2925004105058956
46,AP,0,1,0.2259090550160058
47,AP,1,1,0.3495468471689293
48,AQ,0,0,0.6020431619509297
49,AQ,1,0,0.5448998216454537
50,AQ,0,1,0.5410570886461085
51,AQ,1,1,0.5496959566780968
52,AS,0,0,0.39627498063116734
53,AS,1,0,0.5869881124040761
54,AS,0,1,0.5399562348148483
55,AS,1,1,0.22562955890273018
56,AT,0,0,0.24152506583498257
57,AT,1,0,0.44285658862882726
58,AT,0,1,0.33312424726030143
59,AT,1,1,0.19333327747860388
60,AV,0,0,0.0806222063420649
61,AV,1,0,-0.24033831885871454
62,AV,0,1,-0.005213405491302653
63,AV,1,1,0.19316215660659267
64,AX,0,0,0.2743445601777216
65,AX,1,0,0.6053301582014301
66,AX,0,1,0.392731990300654
67,AX,1,1,0.6281282519282261
68,AZ,0,0,0.49620091969247915
69,AZ,1,0,0.6851453746995118
70,AZ,0,1,0.6954511662162228
71,AZ,1,1,0.44959085279933153
72,BA,0,0,0.4003954066006562
73,BA,1,0,0.5446607972083144
74,BA,0,1,0.4973577935882495
75,BA,1,1,0.39289319964967817
76,BB,0,0,0.08047915709755044
77,BB,1,0,0.34560660335123994
78,BB,0,1,0.04282550702066167
79,BB,1,1,0.18413783128727784
80,BC,0,0,-0.05965977455709644
81,BC,1,0,-0.24578741698641288
82,BC,0,1,-0.4159902128790663
83,BC,1,1,-0.01159654896516008
84,IAA,0,0,0.4561827397906427
85,IAA,1,0,0.19498675297695642
86,IAA,0,1,0.6694756067234477
87,IAA,1,1,0.6739169730877919
88,IAC,0,0,0.8457620916781595
89,IAC,1,0,0.61247758618902
90,IAC,0,1,0.8350486004557202
91,IAC,1,1,0.5400823018734886
92,IAF,0,0,0.6611820547984537
93,IAF,1,0,0.9325776339408234
94,IAF,0,1,0.583473601651359
95,IAF,1,1,1.0096081014608054
96,IAH,0,0,0.4719585413260794
97,IAH,1,0,1.2158088233688524
98,IAH,0,1,0.36385766025517613
99,IAH,1,1,1.342841953096783
100,IAJ,0,0,0.8915832816340555
101,IAJ,1,0,1.2014037859587159
102,IAJ,0,1,1.0842402784261755
103,IAJ,1,1,0.8148702876788706
104,IAK,0,0,0.555638840803611
105,IAK,1,0,0.38211099728002995
106,IAK,0,1,0.4254035310543931
107,IAK,1,1,0.2671438724488589
108,IAL,0,0,1.089286921983694
109,IAL,1,0,1.3292438875742045
110,IAL,0,1,1.2059241946452923
111,IAL,1,1,1.6017131079474431
112,IAM,0,0,0.6987200134433719
113,IAM,1,0,0.45111599463583785
114,IAM,0,1,0.640279775227681
115,IAM,1,1,0.6611519379396918
116,IAN,0,0,0.8220954245239771
117,IAN,1,0,0.7644947128127936
118,IAN,0,1,0.8006190482995917
119,IAN,1,1,0.9337941141626245
120,IAO,0,0,0.7480514848152011
121,IAO,1,0,0.7625227825594244
122,IAO,0,1,0.9957751530132787
123,IAO,1,1,1.1273291211029188
124,IAP,0,0,0.9631613980038527
125,IAP,1,0,0.5842205516922307
126,IAP,0,1,0.8344683486066989
127,IAP,1,1,0.9365551994485417
128,IAQ,0,0,0.7037695163069179
129,IAQ,1,0,0.3386893124307596
130,IAQ,0,1,1.044253359427222
131,IAQ,1,1,0.918148692175595
132,AB,0,0,0.44866637390967634
133,AB,1,0,0.37607932058689897
134,AB,0,1,0.690089513472987
135,AB,1,1,0.9488955453410541
136,AC,0,0,0.7684082086086427
137,AC,1,0,1.1900272496159026
138,AC,0,1,0.6795431650728037
139,AC,1,1,2.20623622748379
140,AF,0,0,0.008058452827881677
141,AF,1,0,0.05090221794575093
142,AF,0,1,0.7668062742083747
143,AF,1,1,0.5787187984143839
144,AH,0,0,0.6925647182424297
145,AH,1,0,0.43361896041617337
146,AH,0,1,-0.8973993349194489
147,AH,1,1,-0.0552172247980501
148,AI,0,0,0.43758185098151314
149,AI,1,0,0.25167400979698135
150,AI,0,1,0.7050236919861966
151,AI,1,1,0.2821071807404704
152,AJ,0,0,0.5287944627573915
153,AJ,1,0,0.7249068253627498
154,AJ,0,1,0.7424852868776627
155,AJ,1,1,1.2721196468789562
156,AK,0,0,0.024049748110818087
157,AK,1,0,1.0555492452996391
158,AK,0,1,0.6765279491870105
159,AK,1,1,0.8390536010497011
160,AL,0,0,0.3854049251677877
161,AL,1,0,-0.06132191603589047
162,AL,0,1,0.37399506043521435
163,AL,1,1,0.3139520730195943
164,AM,0,0,0.2809432549750862
