,Sub,TI,TR,pupil
0,AB,0,0,0.04007637450783918
1,AB,1,0,0.039234780398596965
2,AB,0,1,0.04669774460819327
3,AB,1,1,0.02465030445551584
4,AC,0,0,-0.08832861877593892
5,AC,1,0,-0.04864110158343797
6,AC,0,1,-0.04621116239659559
7,AC,1,1,-0.07555785740810057
8,AF,0,0,-0.010983994813635337
9,AF,1,0,-0.002385663652120545
10,AF,0,1,-0.013266309667062513
11,AF,1,1,0.02132319950550306
12,AH,0,0,-0.03447389943093659
13,AH,1,0,-0.014913538408046219
14,AH,0,1,-0.0016233941293758985
15,AH,1,1,-0.028272996824142277
16,AI,0,0,0.0084070028358146
17,AI,1,0,0.02988521749089179
18,AI,0,1,0.014106633785869542
19,AI,1,1,0.019304971463966335
20,AJ,0,0,-0.014426992903167166
21,AJ,1,0,0.004519497007693761
22,AJ,0,1,-0.04435590002809088
23,AJ,1,1,0.023222669248617003
24,AK,0,0,-0.023112594044002545
25,AK,1,0,-0.047928959126831795
26,AK,0,1,-0.02806024560960647
27,AK,1,1,-0.016771509861697904
28,AL,0,0,-0.00047873634762928463
29,AL,1,0,-0.05625726067109994
30,AL,0,1,-0.021693965891420995
31,AL,1,1,0.03087723893016249
32,AM,0,0,-0.016199508982554466
33,AM,1,0,0.022336596119898453
34,AM,0,1,0.01599412236404689
35,AM,1,1,-0.0018542126942903787
36,AN,0,0,0.007517324546782116
37,AN,1,0,-0.04921275023153011
38,AN,0,1,-0.060018830687308566
39,AN,1,1,-0.055015036673896824
40,AO,0,0,-0.06786551480287559
41,AO,1,0,-0.0715601323284535
42,AO,0,1,-0.05738192042976535
43,AO,1,1,-0.04011861294262548
44,AP,0,0,-0.0659596819887634
45,AP,1,0,-0.042846060190999694
46,AP,0,1,-0.08906674466332049
47,AP,1,1,-0.022597828308319853
48,AQ,0,0,-0.01365581524839446
49,AQ,1,0,-0.05005197864457697
50,AQ,0,1,-0.05958068599683389
51,AQ,1,1,-0.03817666420752479
52,AS,0,0,-0.029298429683617924
53,AS,1,0,0.0013897637215827489
54,AS,0,1,-0.04257002163053928
55,AS,1,1,0.05675672860478165
56,AT,0,0,-0.019434642659636257
57,AT,1,0,-0.05128450161619426
58,AT,0,1,-0.014273945567098264
59,AT,1,1,-0.014769200266263358
60,AV,0,0,-0.013935559152545537
61,AV,1,0,0.0065741919806892
62,AV,0,1,0.016919618805123313
63,AV,1,1,-0.02340189673847058
64,AX,0,0,-0.000861502977381794
65,AX,1,0,0.011121558853999111
66,AX,0,1,-0.033620869078931935
67,AX,1,1,0.009160177086920678
68,AZ,0,0,-0.0382589253500076
69,AZ,1,0,-0.026109291528711838
70,AZ,0,1,-0.01123854322322549
71,AZ,1,1,-0.012702771932292039
72,BA,0,0,0.01241723193650279
73,BA,1,0,0.01780207303327601
74,BA,0,1,0.01799942259316559
75,BA,1,1,0.025817582413117622
76,BB,0,0,-0.006017273450887047
77,BB,1,0,-0.023511713424644427
78,BB,0,1,0.0035147356209433624
79,BB,1,1,0.029622747324140282
80,BC,0,0,0.003621562801595003
81,BC,1,0,0.00414335209981234
82,BC,0,1,0.009735443575689234
83,BC,1,1,-0.014653651583022646
84,IAA,0,0,0.0586507041535977
85,IAA,1,0,0.0763664485923371
86,IAA,0,1,0.03545804091285623
87,IAA,1,1,0.10140924118930435
88,IAC,0,0,-0.027064224930783393
89,IAC,1,0,-0.15857288019322824
90,IAC,0,1,-0.04103282472658782
91,IAC,1,1,-0.1358166518781209
92,IAF,0,0,-0.017511937627330262
93,IAF,1,0,0.03196718145684101
94,IAF,0,1,0.0225532505087397
95,IAF,1,1,-0.009385745971268258
96,IAH,0,0,0.055162041788432065
97,IAH,1,0,0.06830772958586716
98,IAH,0,1,-0.05132074926873768
99,IAH,1,1,0.13852032325461405
100,IAJ,0,0,-0.005865811552795997
101,IAJ,1,0,0.02628099593467622
102,IAJ,0,1,-0.03121016417550082
103,IAJ,1,1,0.031671320901728334
104,IAK,0,0,-0.03196500433105285
105,IAK,1,0,0.05637704472145701
106,IAK,0,1,0.00770368933663095
107,IAK,1,1,0.01304240371197022
108,IAL,0,0,-0.016907078782570164
109,IAL,1,0,0.04339499346291293
