,Sub,TI,TR,pupil
0,AB,0,0,0.3780793334112007
1,AB,1,0,0.4432479216294622
2,AB,0,1,0.3428054891589247
3,AB,1,1,0.21248954592465025
4,AC,0,0,0.7853410347650722
5,AC,1,0,0.612600141930107
6,AC,0,1,0.5319906850177583
7,AC,1,1,0.9013195457838239
8,AF,0,0,0.09794009254373412
9,AF,1,0,-0.0945445458201867
10,AF,0,1,0.2606634329656329
11,AF,1,1,0.023859105600546524
12,AH,0,0,0.6874113753379155
13,AH,1,0,0.9262346740824534
14,AH,0,1,0.4639994178315248
15,AH,1,1,0.8553155830022906
16,AI,0,0,0.36456929160308055
17,AI,1,0,0.2878067929380343
18,AI,0,1,0.508891289919562
19,AI,1,1,0.3385466806739853
20,AJ,0,0,0.5765160785538811
21,AJ,1,0,0.833675977758998
22,AJ,0,1,0.977376387439501
23,AJ,1,1,0.6949715387430178
24,AK,0,0,-0.04055424844048483
25,AK,1,0,0.19293290083909675
26,AK,0,1,0.1253987931680018
27,AK,1,1,0.32137269908705923
28,AL,0,0,0.33537142994653113
29,AL,1,0,0.27668231346090444
30,AL,0,1,0.31949050365667536
31,AL,1,1,0.21927182456560984
32,AM,0,0,0.4900800635199929
33,AM,1,0,0.4320119935139951
34,AM,0,1,0.33035696446365226
35,AM,1,1,0.5652473435960271
36,AN,0,0,0.18124852304324715
37,AN,1,0,0.46655253983055284
38,AN,0,1,0.5949152851097077
39,AN,1,1,0.2771831419427586
40,AO,0,0,0.6780488866270771
41,AO,1,0,0.6222852616443492
42,AO,0,1,0.8075167748130951
43,AO,1,1,0.788080035706515
44,AP,0,0,0.4654781379272314
45,AP,1,0,0.3141841538698299
46,AP,0,1,0.2836041108268672
47,AP,1,1,0.3772258265277707
48,AQ,0,0,0.6177937236337394
49,AQ,1,0,0.5533481047703859
50,AQ,0,1,0.5581690888894779
51,AQ,1,1,0.5579568514444788
52,AS,0,0,0.4263983773179834
53,AS,1,0,0.619019937027697
54,AS,0,1,0.5622503415019181
55,AS,1,1,0.25199411229166196
56,AT,0,0,0.23147270738771697
57,AT,1,0,0.4425195262107779
58,AT,0,1,0.33553189782661147
59,AT,1,1,0.168624765835104
60,AV,0,0,0.09380181102529392
61,AV,1,0,-0.2502916087246975
62,AV,0,1,-0.005898602766457539
63,AV,1,1,0.2155490871284627
64,AX,0,0,0.27330440538732925
65,AX,1,0,0.5951770139609455
66,AX,0,1,0.3985723811195037
67,AX,1,1,0.6056193628789324
68,AZ,0,0,0.5108079367939017
