,Sub,TI,TR,pupil
0,AB,0,0,0.5278118581548967
1,AB,1,0,0.4399469909058199
2,AB,0,1,0.6333376424382126
3,AB,1,1,0.1721885325471183
4,AC,0,0,0.46439441587253405
5,AC,1,0,0.24407998603107728
6,AC,0,1,0.24491925094818534
7,AC,1,1,0.7282204551545063
8,AF,0,0,0.011866803088437544
9,AF,1,0,-0.17269344102846293
10,AF,0,1,0.16618913222590767
11,AF,1,1,0.10408373150190324
12,AH,0,0,0.2509834435912795
13,AH,1,0,0.6384881772710285
14,AH,0,1,0.20821786454833402
15,AH,1,1,0.4423592859854675
16,AI,0,0,-0.001208885831967888
17,AI,1,0,-0.04685494001261505
18,AI,0,1,-0.2077231713922028
19,AI,1,1,0.09267516342464485
20,AJ,0,0,-0.08093859041999447
21,AJ,1,0,0.0830789427482429
22,AJ,0,1,0.20163152895768208
23,AJ,1,1,0.10976132948008416
24,AK,0,0,-0.2596996822903929
25,AK,1,0,-0.2024868205367165
26,AK,0,1,-0.15183069821271372
27,AK,1,1,0.22153335723472137
28,AL,0,0,0.2077830412282464
29,AL,1,0,0.12191393557258065
30,AL,0,1,0.11065951643863547
31,AL,1,1,0.09566166952179594
32,AM,0,0,0.2402830145882231
33,AM,1,0,0.1438630895654771
34,AM,0,1,0.03160634906591183
35,AM,1,1,0.34824132506689054
36,AN,0,0,0.07155502376371425
37,AN,1,0,0.27163760963114647
38,AN,0,1,0.12457305353353867
39,AN,1,1,0.14918865478123
40,AO,0,0,0.47354066831959085
41,AO,1,0,0.5254206981596622
42,AO,0,1,0.4552983888872248
43,AO,1,1,0.14224171515855769
44,AP,0,0,0.09933105496913142
45,AP,1,0,-0.2534426927757937
46,AP,0,1,-0.2954077446089471
47,AP,1,1,-0.11058035928459933
48,AQ,0,0,0.23718304251302244
49,AQ,1,0,0.39089876354888664
50,AQ,0,1,0.3242953022080311
51,AQ,1,1,0.31253123379841913
52,AS,0,0,-0.035101099432703974
53,AS,1,0,0.051393129002071686
54,AS,0,1,-0.018678984137242116
55,AS,1,1,-0.2475567969739267
56,AT,0,0,0.24428686880407835
57,AT,1,0,0.35896846455332765
58,AT,0,1,0.3571660276043891
59,AT,1,1,0.23362612417674744
60,AV,0,0,0.053754949122655896
61,AV,1,0,-0.031702610594993345
62,AV,0,1,0.08315926403217558
63,AV,1,1,0.11403181790897181
64,AX,0,0,0.017961387247738846
65,AX,1,0,0.44084215644712327
66,AX,0,1,-0.038926415214410745
67,AX,1,1,0.49669211914192046
68,AZ,0,0,0.19180673125340128
69,AZ,1,0,0.26475373501536537
70,AZ,0,1,0.2443537591875527
71,AZ,1,1,0.05218776632211371
72,BA,0,0,0.3211317351818701
73,BA,1,0,0.3948043271678485
74,BA,0,1,0.12781317998976363
75,BA,1,1,0.36889623265276805
76,BB,0,0,0.15536966931193816
77,BB,1,0,0.3369758601824038
78,BB,0,1,-0.000774588496495641
79,BB,1,1,0.18297639783879152
80,BC,0,0,-0.2547067032542887
81,BC,1,0,-0.6700027773947862
82,BC,0,1,-0.2372351510395208
83,BC,1,1,-0.13753415111295603
84,IAA,0,0,0.14332550034192681
85,IAA,1,0,-0.19690470124575263
86,IAA,0,1,0.2574051326894785
87,IAA,1,1,0.4270107483941961
88,IAC,0,0,0.08349997224751407
89,IAC,1,0,-0.12529576270943665
90,IAC,0,1,0.3120835259009147
91,IAC,1,1,-0.057975878317157864
92,IAF,0,0,0.12441293353785032
93,IAF,1,0,-0.22291828726795426
94,IAF,0,1,-0.08721031711682686
95,IAF,1,1,0.0661242603845722
96,IAH,0,0,0.11806900043566693
97,IAH,1,0,0.45618540771713023
98,IAH,0,1,0.24739957323506628
99,IAH,1,1,0.9436348299324486
100,IAJ,0,0,0.11327508472850958
101,IAJ,1,0,0.3755662385155313
102,IAJ,0,1,0.12072851084778469
103,IAJ,1,1,0.01523382149506421
104,IAK,0,0,-0.2680730026261414
105,IAK,1,0,-0.40258499658267666
106,IAK,0,1,-0.6127289924213779
107,IAK,1,1,-0.2914575187027045
108,IAL,0,0,0.8073869115396158
109,IAL,1,0,1.1500013502100745
110,IAL,0,1,0.8169739774816704
111,IAL,1,1,1.4556854691120684
112,IAM,0,0,0.3220794025601364
113,IAM,1,0,0.0762421497969261
114,IAM,0,1,0.3991314993643025
115,IAM,1,1,0.25006847981710856
116,IAN,0,0,-0.04233734038529062
117,IAN,1,0,0.19035112801057147
118,IAN,0,1,-0.03648907724666056
119,IAN,1,1,-0.2759709165848617
120,IAO,0,0,0.08563331872633914
121,IAO,1,0,0.3565270736790754
122,IAO,0,1,0.7899897059542216
123,IAO,1,1,0.5660623068026402
124,IAP,0,0,0.7076716777353825
125,IAP,1,0,0.3503931213191781
126,IAP,0,1,0.5792424914762397
127,IAP,1,1,0.4606722226776382
128,IAQ,0,0,-0.06687063165433789
129,IAQ,1,0,-0.7419843341699015
130,IAQ,0,1,0.2956842550378165
131,IAQ,1,1,0.27857631131886523
132,AB,0,0,0.7065184250943415
133,AB,1,0,0.9742111751665801
134,AB,0,1,1.2636025200051928
135,AB,1,1,0.9069223615397853
136,AC,0,0,0.6835528673364109
137,AC,1,0,0.6770928941629895
138,AC,0,1,0.7121986062037748
139,AC,1,1,1.8360993962724919
140,AF,0,0,0.12126083585825588
141,AF,1,0,0.1197144058777282
142,AF,0,1,0.5014355779440505
143,AF,1,1,0.4527811036935412
144,AH,0,0,0.35380805725953335
145,AH,1,0,0.7263803782740929
146,AH,0,1,-2.0808197575870233
147,AH,1,1,0.09485632435129374
148,AI,0,0,0.17008841137741487
149,AI,1,0,0.08068853702788956
150,AI,0,1,-0.28434632971605733
151,AI,1,1,0.1997142219169527
152,AJ,0,0,0.025515004913604217
153,AJ,1,0,-0.0741428365330542
154,AJ,0,1,0.07234356809343612
155,AJ,1,1,0.1114412383609788
156,AK,0,0,-0.2794840790521202
157,AK,1,0,0.5468309806652865
158,AK,0,1,0.01078405139378453
159,AK,1,1,0.9133814706197787
160,AL,0,0,0.5468286360383008
161,AL,1,0,0.14677777857117272
162,AL,0,1,0.6289607189449398
163,AL,1,1,0.13519669193344416
164,AM,0,0,0.012470713490200491
165,AM,1,0,0.2047163441170825
166,AM,0,1,0.2852005459167182
167,AM,1,1,-0.6369808044743955
168,AN,0,0,0.2980254321417861
169,AN,1,0,1.2712574604463778
170,AN,0,1,0.05840232603185926
171,AN,1,1,0.2561542442197098
172,AO,0,0,0.6642091915827361
173,AO,1,0,0.26984960712408806
174,AO,0,1,1.3057727056453619
175,AO,1,1,1.0561824831846611
176,AP,0,0,0.4122591851322927
177,AP,1,0,-0.06318368082327602
178,AP,0,1,-0.028759048078123163
179,AP,1,1,0.02196918108044981
180,AQ,0,0,0.2647342928415457
181,AQ,1,0,0.7409938123076892
182,AQ,0,1,0.4148611880692189
183,AQ,1,1,0.4178979841312991
184,AS,0,0,-0.22713551614163452
185,AS,1,0,0.25680413010712755
186,AS,0,1,0.7424274990918718
187,AS,1,1,0.0665711392948181
188,AT,0,0,0.0636921101829108
189,AT,1,0,0.2377282272851955
190,AT,0,1,0.5239345694633449
191,AT,1,1,-0.055132453674049633
192,AV,0,0,0.1562239715887745
193,AV,1,0,0.283644628303686
194,AV,0,1,0.25456956153546884
195,AV,1,1,0.5506906974460352
196,AX,0,0,0.08092920322536258
197,AX,1,0,0.288883140300289
198,AX,0,1,0.2839547720603637
199,AX,1,1,1.4145984009861885
200,AZ,0,0,0.3508105110872111
201,AZ,1,0,0.22662264787326306
202,AZ,0,1,0.38422331304116675
203,AZ,1,1,0.7754965608039381
204,BA,0,0,0.47784965522314804
205,BA,1,0,0.3874974629458079
206,BA,0,1,0.16767918453939384
207,BA,1,1,0.5078594128721955
208,BB,0,0,-0.1550530691400131
209,BB,1,0,-0.36393263531678044
210,BB,0,1,0.2147668940484509
211,BB,1,1,-0.08477185866094268
212,BC,0,0,-0.5279625653895434
213,BC,1,0,-1.2193856092797615
214,BC,0,1,-0.24793438965825543
215,BC,1,1,-0.10689176171216644
216,IAA,0,0,0.017557718475072842
217,IAA,1,0,0.8716544578863944
218,IAA,0,1,0.12901644658803962
219,IAA,1,1,1.1488100805233576
220,IAC,0,0,0.1265074399696814
221,IAC,1,0,-0.25055314049088123
222,IAC,0,1,-0.49418114621885517
223,IAC,1,1,-0.207225342883199
224,IAF,0,0,0.5069360938468117
225,IAF,1,0,-0.26470706469783434
226,IAF,0,1,0.8362042524869135
227,IAF,1,1,0.20299999978966335
228,IAH,0,0,0.13126372960045782
229,IAH,1,0,0.08007468698433182
230,IAH,0,1,0.036835423417567556
231,IAH,1,1,0.20741749116923666
232,IAJ,0,0,0.640518518318381
233,IAJ,1,0,0.42810921243539524
234,IAJ,0,1,0.0480795464379037
235,IAJ,1,1,0.3274433478883972
236,IAK,0,0,0.024386189661649963
237,IAK,1,0,0.4350317968825025
238,IAK,0,1,-0.5448967963943419
239,IAK,1,1,0.30458657336783135
240,IAL,0,0,1.0229050638197343
241,IAL,1,0,1.1997056770062458
242,IAL,0,1,1.8963561314123585
243,IAL,1,1,1.4152857196242363
244,IAM,0,0,0.36266260491710256
245,IAM,1,0,0.12518455354791305
246,IAM,0,1,0.3023333198915717
247,IAM,1,1,0.4666041018658962
248,IAN,0,0,0.13653646096419492
249,IAN,1,0,-0.34909842832591514
250,IAN,0,1,0.13379039196067075
251,IAN,1,1,0.06582519778183524
252,IAO,0,0,0.33928322421447454
253,IAO,1,0,0.5641768355075651
254,IAO,0,1,0.48380272353675424
255,IAO,1,1,1.5530997682955014
256,IAP,0,0,0.7551328011878975
257,IAP,1,0,0.2223869666203534
258,IAP,0,1,0.683667506057901
259,IAP,1,1,0.4713587477576698
260,IAQ,0,0,-0.15248380367495307
261,IAQ,1,0,-0.6001705924455616
262,IAQ,0,1,0.40826910959937773
263,IAQ,1,1,0.6520028153078109
