,Sub,TI,TR,pupil
0,AB,0,0,0.5734283793614339
1,AB,1,0,0.5818911207707236
2,AB,0,1,0.6341094335167772
3,AB,1,1,0.29386512290641265
4,AC,0,0,0.5880180740384724
5,AC,1,0,0.41840919477403743
6,AC,0,1,0.23450218882578824
7,AC,1,1,0.8309455979023677
8,AF,0,0,0.06745793539606437
9,AF,1,0,-0.1943673419166395
10,AF,0,1,0.24937724480262732
11,AF,1,1,0.03326787323220545
12,AH,0,0,0.3503844882004198
13,AH,1,0,0.6770611199852598
14,AH,0,1,0.1704243927503047
15,AH,1,1,0.520314471772981
16,AI,0,0,-0.002285735211980779
17,AI,1,0,-0.008592197136793883
18,AI,0,1,-0.11044075795456049
19,AI,1,1,0.09320436419262079
20,AJ,0,0,0.07553974946912222
21,AJ,1,0,0.3414714500625289
22,AJ,0,1,0.5228965879621725
23,AJ,1,1,0.18165519875124492
24,AK,0,0,-0.26046018706967333
25,AK,1,0,-0.05423250148228629
26,AK,0,1,-0.1604127003838142
27,AK,1,1,0.26208222353434335
28,AL,0,0,0.24898591712163015
29,AL,1,0,0.13587551037292633
30,AL,0,1,0.24040309962371986
31,AL,1,1,0.12116345054001698
32,AM,0,0,0.23271688672954793
33,AM,1,0,0.21233964742799605
34,AM,0,1,0.06324024005842106
35,AM,1,1,0.38803720500620914
36,AN,0,0,0.12692243603708966
37,AN,1,0,0.3739625663724651
38,AN,0,1,0.29498981337346275
39,AN,1,1,0.15264888379571911
40,AO,0,0,0.6565521601394122
41,AO,1,0,0.5363193026552111
42,AO,0,1,0.7226633014044264
43,AO,1,1,0.3858119143471374
44,AP,0,0,0.14949246617302153
45,AP,1,0,-0.05605504738885007
46,AP,0,1,-0.1387283455871851
47,AP,1,1,0.011473561022347784
48,AQ,0,0,0.3801798110281973
49,AQ,1,0,0.37832536262368305
50,AQ,0,1,0.3363653398413461
51,AQ,1,1,0.4328511563992554
52,AS,0,0,-0.018281664975005715
53,AS,1,0,0.16934538098442842
54,AS,0,1,0.2943624072159625
55,AS,1,1,-0.2953257599439653
56,AT,0,0,0.30772962513258517
57,AT,1,0,0.42768765591878904
58,AT,0,1,0.43297160898481335
59,AT,1,1,0.2649773774271728
60,AV,0,0,0.024493679228825206
61,AV,1,0,-0.03704552195957707
62,AV,0,1,0.08124010110417433
63,AV,1,1,-0.11706605653109375
64,AX,0,0,0.09956619068078461
65,AX,1,0,0.5074562124832047
66,AX,0,1,0.18907842435668135
67,AX,1,1,0.6113032187844875
68,AZ,0,0,0.2697028390624754
69,AZ,1,0,0.35891600544447694
70,AZ,0,1,0.380968123566158
71,AZ,1,1,0.2084446988142563
