,Sub,TI,TR,pupil
0,AB,0,0,-0.1935794321083042
1,AB,1,0,-0.18650718453080312
2,AB,0,1,-0.18624153959352552
3,AB,1,1,-0.21720334517381057
4,AC,0,0,0.029841027256640743
5,AC,1,0,-0.21076979228733528
6,AC,0,1,-0.016911612437729158
7,AC,1,1,-0.07015445229694317
8,AF,0,0,-0.6561544691804659
9,AF,1,0,-0.9151710416265337
10,AF,0,1,-0.7632835792227279
11,AF,1,1,-0.7964556898775641
12,AH,0,0,0.49472002569882856
13,AH,1,0,0.5069915045258191
14,AH,0,1,0.3646583504329343
15,AH,1,1,0.5099430356138503
16,AI,0,0,-0.04649441472537566
17,AI,1,0,-0.13155581211891493
18,AI,0,1,-0.03443101813077999
19,AI,1,1,-0.16215861579219326
20,AJ,0,0,0.09606524813022521
21,AJ,1,0,0.17613585792197278
22,AJ,0,1,0.19607413805333238
23,AJ,1,1,0.15729707942661164
24,AK,0,0,-0.19148258563016082
25,AK,1,0,-0.030214954363820566
26,AK,0,1,-0.10134959980885576
27,AK,1,1,0.02397640840388423
28,AL,0,0,-0.1820253763487299
29,AL,1,0,-0.06255992898728722
30,AL,0,1,-0.11550002211418434
31,AL,1,1,-0.21357314138245165
32,AM,0,0,-0.08747830816172425
33,AM,1,0,0.003814208873146506
34,AM,0,1,-0.10779316970893107
35,AM,1,1,-0.09515800604953728
36,AN,0,0,-0.4570315430445467
37,AN,1,0,-0.3431904700277664
38,AN,0,1,-0.1708960479177499
39,AN,1,1,-0.3354816154803664
40,AO,0,0,0.1213562912348811
41,AO,1,0,0.08730952841139397
42,AO,0,1,0.04061086325383044
43,AO,1,1,0.1138669801719571
44,AP,0,0,0.024247150201033546
45,AP,1,0,-0.11536541884092738
46,AP,0,1,-0.08803468285964902
47,AP,1,1,0.028760755169341148
48,AQ,0,0,-0.44128705233848153
49,AQ,1,0,-0.6554944780712626
50,AQ,0,1,-0.35450783409547393
51,AQ,1,1,-0.527701276329178
52,AS,0,0,-0.18428916500575718
53,AS,1,0,-0.2212787043353599
54,AS,0,1,-0.20483125591206913
55,AS,1,1,-0.3860195418320856
56,AT,0,0,-0.06638051151283333
57,AT,1,0,0.12768810121612098
58,AT,0,1,0.13073142706945923
59,AT,1,1,-0.06765098780223464
60,AV,0,0,-0.21027208002039519
61,AV,1,0,-0.41254149871275647
62,AV,0,1,-0.39403045804375697
63,AV,1,1,-0.003919503677665869
64,AX,0,0,-0.2899637929577492
65,AX,1,0,-0.22045016276244903
66,AX,0,1,-0.24148718124132296
67,AX,1,1,-0.12509997124403305
68,AZ,0,0,0.13777733096030823
69,AZ,1,0,0.21192732814882992
70,AZ,0,1,0.16037395567968815
71,AZ,1,1,0.13002137658684487
72,BA,0,0,-0.09671096910571157
73,BA,1,0,0.0897843306910219
74,BA,0,1,-0.041787294662257446
75,BA,1,1,-0.07814184022883551
76,BB,0,0,-0.3044658404161428
77,BB,1,0,0.03422637261643094
78,BB,0,1,-0.33152136344588096
79,BB,1,1,-0.2772142672316958
80,BC,0,0,-0.6239345985528046
81,BC,1,0,-0.8293017491337382
82,BC,0,1,-0.7466258123129438
83,BC,1,1,-0.720756438873452
84,IAA,0,0,-0.30898995710914534
85,IAA,1,0,-0.552481523424867
86,IAA,0,1,-0.15292233902928432
87,IAA,1,1,-0.3258414521053306
88,IAC,0,0,0.4612795583127225
89,IAC,1,0,0.611026501412519
90,IAC,0,1,0.3204360747108395
91,IAC,1,1,0.3464382893637518
92,IAF,0,0,-0.4754298144941947
93,IAF,1,0,-0.5033129383585813
94,IAF,0,1,-0.37683366826966075
95,IAF,1,1,-0.29648750945501756
96,IAH,0,0,0.050608059835354845
97,IAH,1,0,0.44957492394421056
98,IAH,0,1,-0.006738000195095879
99,IAH,1,1,0.4731693503579939
100,IAJ,0,0,0.09113448677172664
101,IAJ,1,0,0.12886557490321615
102,IAJ,0,1,0.21680145263713202
103,IAJ,1,1,-0.0013958223314462419
104,IAK,0,0,-0.14068615150816455
105,IAK,1,0,-0.36907936865198904
106,IAK,0,1,-0.30211682270314383
107,IAK,1,1,-0.2747698911909544
108,IAL,0,0,-0.384243667588336
109,IAL,1,0,-0.2849064558192098
110,IAL,0,1,-0.36426795321049976
111,IAL,1,1,0.023542268978144727
112,IAM,0,0,0.0006435693496574101
113,IAM,1,0,-0.0570411838955821
114,IAM,0,1,0.17834901823585644
115,IAM,1,1,-0.3515909623131964
116,IAN,0,0,0.5900683092904967
117,IAN,1,0,0.7238329286109378
118,IAN,0,1,0.8055516286249083
119,IAN,1,1,0.3377049459536021
120,IAO,0,0,-0.348098980940458
121,IAO,1,0,-0.4549684556659942
122,IAO,0,1,-0.2188901213169853
123,IAO,1,1,-0.14059384442411682
124,IAP,0,0,-0.047395602763344855
125,IAP,1,0,-0.1890094081998768
126,IAP,0,1,-0.1050003008184802
127,IAP,1,1,-0.08885602058536432
128,IAQ,0,0,-0.13447420623646605
129,IAQ,1,0,-0.31905176085774895
130,IAQ,0,1,0.2502263377304569
131,IAQ,1,1,0.05969921612932685
132,AB,0,0,-0.19636562771663385
133,AB,1,0,-0.28532278523065935
134,AB,0,1,-0.008829944132058154
135,AB,1,1,0.22954913163132273
136,AC,0,0,-0.10372964640629188
137,AC,1,0,0.2248598255233162
138,AC,0,1,-0.6392155669969518
139,AC,1,1,1.0199247396576452
140,AF,0,0,-0.7513245623186234
141,AF,1,0,-0.7903899607323128
142,AF,0,1,-0.4156157252104049
143,AF,1,1,-0.6346743514999449
144,AH,0,0,0.42380839155007566
145,AH,1,0,0.479146600792447
146,AH,0,1,-0.3401385829028778
147,AH,1,1,-0.13722638691860664
148,AI,0,0,-0.05609064486581164
149,AI,1,0,-0.11957819551497992
150,AI,0,1,0.10153713592573987
151,AI,1,1,-0.22183796071339637
152,AJ,0,0,0.0955649229181682
153,AJ,1,0,-0.05936380810158599
154,AJ,0,1,0.07955729271828461
155,AJ,1,1,0.33693304159673143
156,AK,0,0,-0.17795019356184003
157,AK,1,0,0.04051109984280299
158,AK,0,1,0.19895100431281748
159,AK,1,1,0.19853504207074132
160,AL,0,0,-0.25241241725540137
161,AL,1,0,-0.28193869128763405
162,AL,0,1,-0.27767101590386134
163,AL,1,1,-0.11727367707123493
164,AM,0,0,-0.15097433244355962
165,AM,1,0,-0.27243777162421706
166,AM,0,1,-0.2421359535125275
167,AM,1,1,-0.4351161476836535
168,AN,0,0,-0.5206683897364228
169,AN,1,0,0.18902442945822306
170,AN,0,1,-0.28856065463656294
171,AN,1,1,-0.4982618868732215
172,AO,0,0,0.09003135467396932
173,AO,1,0,-0.3955589758311707
174,AO,0,1,-0.21223988691778134
175,AO,1,1,0.1297734946968885
176,AP,0,0,0.09507925312819981
177,AP,1,0,0.07582499366525453
178,AP,0,1,0.1152489278651503
179,AP,1,1,-0.07572809212939383
180,AQ,0,0,-0.4931609788971313
181,AQ,1,0,-0.3980218544878442
182,AQ,0,1,-0.2641677505764581
183,AQ,1,1,-0.38893886636947766
184,AS,0,0,-0.3932681174293926
185,AS,1,0,-0.4972896440405561
186,AS,0,1,0.3309224682145292
187,AS,1,1,-0.2836367050981214
188,AT,0,0,-0.008305005628732699
189,AT,1,0,-0.011114884581177606
190,AT,0,1,0.04547332328209022
191,AT,1,1,-0.16385684899847192
192,AV,0,0,-0.2839252267522859
193,AV,1,0,-0.3963025758133909
194,AV,0,1,-0.7804801297862517
195,AV,1,1,-0.003062920216825914
196,AX,0,0,-0.4095698519138806
197,AX,1,0,-0.31035590194946766
198,AX,0,1,-0.45846289534572787
199,AX,1,1,0.2977082431517736
200,AZ,0,0,0.16175666582829765
201,AZ,1,0,0.32895792255748524
202,AZ,0,1,0.0024704362971928852
203,AZ,1,1,0.18697804831953463
204,BA,0,0,-0.11654973653551799
205,BA,1,0,-0.0801324641967295
206,BA,0,1,-0.045673555166039506
207,BA,1,1,0.06348582534977933
208,BB,0,0,-0.5505079747975293
209,BB,1,0,0.017335083752257285
210,BB,0,1,-0.16980416565075898
211,BB,1,1,-0.6506872764781447
212,BC,0,0,-0.5459369165879516
213,BC,1,0,-1.2519004098859292
214,BC,0,1,-0.47232964794537424
215,BC,1,1,-0.4492118610498322
216,IAA,0,0,-0.4076520131775254
217,IAA,1,0,-0.392348585632746
218,IAA,0,1,-0.01852742560283007
219,IAA,1,1,-0.5078133597272743
220,IAC,0,0,0.48535543092756694
221,IAC,1,0,-0.15170425492681577
222,IAC,0,1,0.16964292468288242
223,IAC,1,1,0.3107159089069258
224,IAF,0,0,-0.5290758810066126
225,IAF,1,0,-0.586728351824915
226,IAF,0,1,-0.45011515246415035
227,IAF,1,1,-0.34583360159721555
228,IAH,0,0,0.003967386565146369
229,IAH,1,0,-0.8447402642057926
230,IAH,0,1,0.2728473274436679
231,IAH,1,1,0.817295489171115
232,IAJ,0,0,0.2078519338613618
233,IAJ,1,0,0.1696227993165119
234,IAJ,0,1,0.20291473870241244
235,IAJ,1,1,-0.19218842961604174
236,IAK,0,0,-0.26959589426770875
237,IAK,1,0,-0.11806858211946737
238,IAK,0,1,0.0817204711285682
239,IAK,1,1,-0.16282452451851603
240,IAL,0,0,-0.5765044741481085
241,IAL,1,0,-0.23784300154408955
242,IAL,0,1,-0.5987513560164934
243,IAL,1,1,0.9242569186929988
244,IAM,0,0,-0.2620754249299185
245,IAM,1,0,-0.22210813178987893
246,IAM,0,1,0.27283488984104437
247,IAM,1,1,-0.8797509018369237
248,IAN,0,0,0.7942347035025634
249,IAN,1,0,0.8520658014933031
250,IAN,0,1,0.6743339045751539
251,IAN,1,1,0.183899190075902
252,IAO,0,0,-0.2171998925971969
253,IAO,1,0,-0.5916111379357695
254,IAO,0,1,-0.3204584708541763
255,IAO,1,1,0.33660474060546136
256,IAP,0,0,-0.0444610851977445
257,IAP,1,0,-0.353299478954337
258,IAP,0,1,0.11272711332501509
259,IAP,1,1,0.41508347816511715
260,IAQ,0,0,0.04611944684519987
261,IAQ,1,0,0.014325675496734358
262,IAQ,0,1,0.457730206825605
263,IAQ,1,1,0.6210705560880152
