,subj_idx,TR_PE,TI_PE,rt,pupil_response,missed_response,response
0,0,0,0,2.90868516451,4.537351639145387,0,0.0
1,0,1,0,1.85025220105,-0.44836072735378496,0,1.0
2,0,1,0,0.0,-0.04488687641311945,1,0.0
3,0,0,0,1.38350306563,-2.5528406462469686,0,0.0
4,0,0,0,1.04185058831,-1.8190487711745145,0,1.0
5,0,0,0,0.0,0.5808300424246925,1,0.0
6,0,1,1,0.966828193777,-4.6072108990051674,0,1.0
7,0,0,0,1.23347559565,-1.6767989962738425,0,1.0
8,0,1,1,0.833518123603,-2.6638074344647773,0,0.0
9,0,1,1,1.65854284338,-2.810946664516311,0,1.0
10,0,0,0,0.658521675621,-2.9119041528748943,0,0.0
11,0,0,0,3.058636623,-1.383421259549591,0,1.0
12,0,1,0,1.02527174113,-1.5381950279272572,0,0.0
13,0,0,0,2.48363876382,1.0348813424205001,0,1.0
14,0,0,0,1.10857008887,0.3535876696249882,0,0.0
15,0,0,0,1.32526638506,0.7635855278978059,0,1.0
16,0,1,0,0.933546700078,-0.9937887587449588,0,1.0
17,0,0,0,0.958558334343,-2.7835694406356977,0,0.0
18,0,0,1,1.20852554035,0.5845563399700632,0,1.0
19,0,0,0,2.0669549117,-1.266391075690288,0,0.0
20,0,0,1,0.841903764303,-1.6897718614217674,0,1.0
21,0,0,0,0.758559553084,-0.006862934674411958,0,1.0
22,0,1,0,0.716877023966,1.0174807560388366,0,0.0
23,0,0,0,1.85869749633,-0.0700406253501141,0,0.0
24,0,0,1,2.53364599613,0.49306812998387495,0,0.0
25,0,0,0,1.17525334762,-1.5183421932264496,0,1.0
26,0,1,0,1.65859576278,-0.19207308620145364,0,1.0
27,0,1,1,0.67523747182,-1.6295280929031746,0,0.0
28,0,0,0,1.26691424396,0.9750661288284492,0,1.0
29,0,0,0,3.04199844193,-0.7213499763396993,0,1.0
30,0,0,0,0.891885980178,-1.0963177834698996,0,0.0
31,0,0,1,0.91691365061,-1.023853082613906,0,0.0
32,0,1,0,1.750331067,-4.043109901617072,0,1.0
33,0,0,0,2.01698488333,-1.048800260367322,0,0.0
34,0,0,1,1.77528336736,-0.6041356619260424,0,0.0
35,0,0,0,1.50859266781,-1.2573586649154933,0,0.0
36,0,0,1,1.29191593577,-1.569722102586871,0,1.0
37,0,0,0,2.36695500792,-0.5022164664815757,0,0.0
38,0,0,0,1.78361320215,0.9093345930394516,0,1.0
39,0,0,0,1.35858957282,-1.2721551919864904,0,1.0
40,0,0,0,1.75031984167,0.1785079905980304,0,0.0
41,0,0,0,2.25020806947,-0.5325555150739357,0,0.0
42,0,0,0,1.09185300978,-0.8907910112374707,0,1.0
43,0,1,0,1.44197772318,0.9318959108860072,0,1.0
44,0,0,0,0.925223279788,0.2913644589445654,0,1.0
45,0,0,0,2.02524415891,0.18615668460106796,0,1.0
46,0,0,0,0.941901551312,-0.6029527153940542,0,0.0
47,0,1,1,1.45866048483,-0.38841835440218686,0,0.0
48,0,0,0,1.07523407214,-1.5335263452991978,0,1.0
49,0,1,0,1.21690989814,0.5141844314527475,0,1.0
50,0,1,1,0.708587600369,-0.8814565087496535,0,1.0
51,0,0,0,2.74200732597,2.7245962579492917,0,1.0
52,0,0,0,1.89192478773,-1.465366880941049,0,1.0
53,0,0,0,1.108565278,-0.528611659626593,0,1.0
54,0,0,1,2.89206494398,-0.4254812161717047,0,0.0
55,0,0,0,2.2086711489,-2.6851009664761962,0,1.0
56,0,0,0,1.35857032941,-1.3492271796633097,0,0.0
57,0,0,0,1.64192550936,-0.4248790695428324,0,1.0
58,0,0,0,2.16693056878,-1.0173968117410925,0,1.0
59,0,0,0,1.0335255644,-0.30359121393069766,0,1.0
60,0,0,0,2.4836384431,0.07257772556271619,0,0.0
61,0,1,1,2.05026188691,0.9758948953072712,0,1.0
62,0,0,0,1.72526074031,-1.542840361384723,0,1.0
63,0,0,0,1.73366017212,-1.4757681309123396,0,1.0
64,0,0,0,0.708527945768,-0.8391136091194352,0,0.0
65,0,0,0,0.775205431521,-1.5919706541739025,0,1.0
66,0,0,0,1.12522462683,0.8891702550191771,0,1.0
67,0,0,0,1.6002696003,-0.37226652389862847,0,1.0
68,0,0,1,1.04192916561,-2.0925161095983538,0,0.0
69,0,0,0,0.983560026158,0.1175628063704612,0,1.0
70,0,0,0,1.11696663416,0.1593141163807753,0,1.0
71,0,0,0,1.48360604999,1.4184113691239437,0,1.0
72,0,0,0,1.9919370073,0.7528807071307637,0,0.0
73,0,0,1,1.50858400828,-1.2175790162105133,0,0.0
74,0,1,1,1.00857390548,1.636861084013653,0,1.0
75,0,0,0,0.658547974963,2.6151063077125394,0,1.0
76,0,0,0,0.641922302122,-1.1533905282832333,0,1.0
77,0,1,1,0.916874522314,0.669214657138554,0,0.0
78,0,0,0,0.783440652813,0.3365235647474735,0,1.0
79,0,0,0,2.7586750136,-1.236713093703699,0,0.0
80,0,0,0,0.975227625604,-0.675849549647887,0,1.0
81,0,0,0,0.716917114434,-0.21080465504143175,0,1.0
82,0,0,1,2.15027410648,0.6362982809585538,0,1.0
83,0,0,0,1.25856741083,-1.7625928084799876,0,0.0
84,0,1,0,1.10850241617,-1.2595434696013856,0,1.0
85,0,0,0,1.5835849143,-1.514421074381645,0,1.0
86,0,0,0,0.950214708442,2.389623939033628,0,1.0
87,0,0,0,1.40022431413,0.3153588003933718,0,0.0
88,0,0,0,0.808583142323,-0.7869809928784635,0,1.0
89,0,0,1,1.11691371475,0.010439610601964078,0,1.0
90,0,0,0,1.64191717056,-0.49549889728562346,0,0.0
