,Sub,TI,TR,pupil
0,AB,0,0,0.530388775787314
1,AB,1,0,0.2825260904375076
2,AB,0,1,0.5712584659506686
3,AB,1,1,0.1271177646945884
4,AC,0,0,0.45274403964315496
5,AC,1,0,0.23664384192177873
6,AC,0,1,0.1519719220676909
7,AC,1,1,0.7753116760406907
8,AF,0,0,0.008231915287626724
9,AF,1,0,-0.0370220968549603
10,AF,0,1,0.21827852803956185
11,AF,1,1,0.07436422952221355
12,AH,0,0,0.14140818742481098
13,AH,1,0,0.5596611148649562
14,AH,0,1,0.3949597429779691
15,AH,1,1,0.1852372179852082
16,AI,0,0,0.030897065021286748
17,AI,1,0,-0.04175825948613926
18,AI,0,1,-0.20203007745432866
19,AI,1,1,0.14613112180120313
20,AJ,0,0,-0.15336348662804616
21,AJ,1,0,-0.05978307315252144
22,AJ,0,1,0.12688969148679738
23,AJ,1,1,0.19783387902534835
24,AK,0,0,-0.33185942035918825
25,AK,1,0,-0.4063139481840965
26,AK,0,1,-0.22830118973139318
27,AK,1,1,0.2742647049397601
28,AL,0,0,0.1643158820704066
29,AL,1,0,0.16106480399399775
30,AL,0,1,0.11071967198278174
31,AL,1,1,0.05483268674835386
32,AM,0,0,0.29368077345531335
33,AM,1,0,0.23998009372703494
34,AM,0,1,0.1828383598638051
35,AM,1,1,0.4435460355612004
36,AN,0,0,0.030685685536003798
37,AN,1,0,0.1526784926420223
38,AN,0,1,-0.0038540745373480765
39,AN,1,1,0.027500425659171397
40,AO,0,0,0.2342946194915284
41,AO,1,0,0.557836769373389
42,AO,0,1,0.21924089516211664
43,AO,1,1,-0.1494109088605117
44,AP,0,0,0.1033612005583224
45,AP,1,0,-0.16175742177369665
46,AP,0,1,-0.3006270573333817
47,AP,1,1,-0.14752897917909052
48,AQ,0,0,0.23618418164654706
49,AQ,1,0,0.21407989221485918
50,AQ,0,1,0.29257820904636755
51,AQ,1,1,0.19394050068633376
52,AS,0,0,-0.08229833165906245
53,AS,1,0,-0.028037668419649563
54,AS,0,1,0.05271374562834283
55,AS,1,1,-0.03436388752298852
56,AT,0,0,0.1285833886758512
57,AT,1,0,0.3098134448462386
58,AT,0,1,0.2430726544985736
59,AT,1,1,0.11391184008342756
60,AV,0,0,0.07310220660811786
61,AV,1,0,0.19286386467002908
62,AV,0,1,0.16455391344027517
63,AV,1,1,0.20977873896228622
64,AX,0,0,-0.024698666541373895
65,AX,1,0,0.4039561063330286
66,AX,0,1,0.041450100769383845
67,AX,1,1,0.3914375659720658
68,AZ,0,0,0.09189122066076019
69,AZ,1,0,0.1234175487906931
70,AZ,0,1,0.1801822591591316
71,AZ,1,1,-0.08816895430488458
72,BA,0,0,0.24294657369284034
73,BA,1,0,0.28707963661420366
74,BA,0,1,-0.06986077411057931
75,BA,1,1,0.3678569042898626
76,BB,0,0,0.13951656769468368
77,BB,1,0,0.4457729740195859
78,BB,0,1,-0.0647383288236557
79,BB,1,1,0.09453291856155298
80,BC,0,0,-0.2845421356712322
81,BC,1,0,-0.6312376042240326
82,BC,0,1,-0.33830333335632096
83,BC,1,1,-0.25868369098230426
84,IAA,0,0,-0.0560285765094527
85,IAA,1,0,-0.08113512688541775
86,IAA,0,1,0.0810071012990019
87,IAA,1,1,0.08475619789835921
88,IAC,0,0,-0.04481202622839923
89,IAC,1,0,-0.1875984016635548
90,IAC,0,1,0.22528214148547965
91,IAC,1,1,-0.06197203149129771
92,IAF,0,0,-0.050519398432765546
93,IAF,1,0,-0.29986296217677816
94,IAF,0,1,-0.4555589263539828
95,IAF,1,1,-0.029344186622720165
96,IAH,0,0,0.23134617726027798
97,IAH,1,0,0.5351662539700418
98,IAH,0,1,0.3844602961517718
99,IAH,1,1,0.7502035217534604
100,IAJ,0,0,0.016058752338483834
101,IAJ,1,0,0.22971304393643002
102,IAJ,0,1,0.015221288156825963
103,IAJ,1,1,-0.05737458124991117
104,IAK,0,0,-0.21014175135027455
105,IAK,1,0,-0.32034049543358945
106,IAK,0,1,-0.4037970224950314
107,IAK,1,1,-0.18299867984257812
108,IAL,0,0,0.5172029952677858
109,IAL,1,0,0.8273695610023308
110,IAL,0,1,0.7042788191095898
111,IAL,1,1,1.324445135534045
112,IAM,0,0,0.10375556312053104
113,IAM,1,0,0.13118461430106773
114,IAM,0,1,0.09908085155146186
115,IAM,1,1,0.32760246983498237
116,IAN,0,0,-0.026674110767804907
117,IAN,1,0,0.26354421626840685
118,IAN,0,1,0.054893970109769936
119,IAN,1,1,0.15111746295732065
120,IAO,0,0,-0.08719926586657223
121,IAO,1,0,0.3071908148930216
122,IAO,0,1,0.4920402563806651
123,IAO,1,1,0.4051254674878377
124,IAP,0,0,0.5395296803554429
125,IAP,1,0,0.22147119310329672
126,IAP,0,1,0.4764580454437759
127,IAP,1,1,0.3174899758789374
128,IAQ,0,0,-0.004885960052463575
129,IAQ,1,0,-0.6816590891692927
130,IAQ,0,1,0.4036818945822457
131,IAQ,1,1,0.11339444235188195
132,AB,0,0,0.7068954517181265
133,AB,1,0,0.9174570636454854
134,AB,0,1,1.399198213901743
135,AB,1,1,0.6302189174503197
136,AC,0,0,0.7400332828387542
137,AC,1,0,0.37184762976114644
138,AC,0,1,0.3116354492406406
139,AC,1,1,1.3357111313688037
140,AF,0,0,0.0696096935730409
141,AF,1,0,0.44066879365322675
142,AF,0,1,0.4464647170395918
143,AF,1,1,0.5017636632879914
144,AH,0,0,0.1599866869466595
145,AH,1,0,0.6608075404669715
146,AH,0,1,-1.2694652932186683
147,AH,1,1,0.12457342512545265
148,AI,0,0,0.1436303527353142
149,AI,1,0,0.05163837644895773
150,AI,0,1,-0.18784426010854288
151,AI,1,1,0.2519310714122087
152,AJ,0,0,-0.00517318367176156
153,AJ,1,0,-0.15360672017152938
154,AJ,0,1,0.006232748725044708
155,AJ,1,1,0.09376727614945919
156,AK,0,0,-0.3331188464347159
157,AK,1,0,0.2594362811287455
158,AK,0,1,-0.25878806536686555
159,AK,1,1,0.9669416330182562
160,AL,0,0,0.4812914944848763
161,AL,1,0,0.13258487532701727
162,AL,0,1,0.5720761310839315
163,AL,1,1,0.019609127169847602
164,AM,0,0,0.09741073806900356
165,AM,1,0,0.1552777593730319
166,AM,0,1,0.15004328561958538
167,AM,1,1,-0.8136301433538217
168,AN,0,0,0.32176575680466746
169,AN,1,0,1.2075201005031133
170,AN,0,1,-0.06498806157560769
171,AN,1,1,0.3199190807728654
172,AO,0,0,0.542618091502509
173,AO,1,0,0.3238620728945507
174,AO,0,1,1.1617914032020558
175,AO,1,1,0.4681465994779715
176,AP,0,0,0.42123352372876854
177,AP,1,0,0.17015277087799585
178,AP,0,1,0.06533467726759208
179,AP,1,1,0.2517646159211385
180,AQ,0,0,0.26734240893444416
181,AQ,1,0,0.6184809910768929
182,AQ,0,1,0.3160715187718711
183,AQ,1,1,0.2905473269583253
184,AS,0,0,-0.299625246571457
185,AS,1,0,0.21210857227828786
186,AS,0,1,0.9543506888435165
187,AS,1,1,0.529412021390016
188,AT,0,0,0.017570913212939535
189,AT,1,0,0.0014730970544442313
190,AT,0,1,0.30502966996296443
191,AT,1,1,-0.30155747023667945
192,AV,0,0,0.19232733258337198
193,AV,1,0,0.7333623782700712
194,AV,0,1,0.5514371210141226
195,AV,1,1,0.5803892204374924
196,AX,0,0,0.060191763033781896
197,AX,1,0,0.06100631369580352
198,AX,0,1,0.20980130583889697
199,AX,1,1,1.4560084751130549
200,AZ,0,0,0.20471495821091878
201,AZ,1,0,0.02596800060337472
202,AZ,0,1,0.3249853793943733
203,AZ,1,1,0.6144002702699831
204,BA,0,0,0.4193763501802159
205,BA,1,0,0.32372523047878315
206,BA,0,1,0.013750512694062206
207,BA,1,1,0.5942565279946386
208,BB,0,0,-0.22915115943681078
209,BB,1,0,-0.03904113688263969
210,BB,0,1,-0.3675182479281398
211,BB,1,1,-0.4051428183590458
212,BC,0,0,-0.5271754461158619
213,BC,1,0,-1.2340326354118945
214,BC,0,1,-0.6214091164275044
215,BC,1,1,-0.23730158439325122
216,IAA,0,0,-0.1972412173723806
217,IAA,1,0,0.9574639855897819
218,IAA,0,1,-0.4561074224786533
219,IAA,1,1,0.7951062958895836
220,IAC,0,0,-0.15788304024955419
221,IAC,1,0,-0.384186637629631
222,IAC,0,1,-0.5484391476014715
223,IAC,1,1,-0.33050141427722796
224,IAF,0,0,0.14266015926580752
225,IAF,1,0,-0.7641749381291636
226,IAF,0,1,0.80697153569285
227,IAF,1,1,0.14240817108887815
228,IAH,0,0,0.3726775407092322
229,IAH,1,0,0.5409819222210149
230,IAH,0,1,0.10394597297738953
231,IAH,1,1,0.04731123551727982
232,IAJ,0,0,0.30113853575766014
233,IAJ,1,0,0.022759124320747056
234,IAJ,0,1,-0.21419660037886928
235,IAJ,1,1,0.07513505070483804
236,IAK,0,0,0.012435485731440382
237,IAK,1,0,0.43749904813753915
238,IAK,0,1,-0.2650489124418191
239,IAK,1,1,0.06405736400233716
240,IAL,0,0,0.7453492394687999
241,IAL,1,0,0.5812970808365615
242,IAL,0,1,1.773206000285325
243,IAL,1,1,1.6161138044691046
244,IAM,0,0,0.0857178564370958
245,IAM,1,0,0.3089618184788165
246,IAM,0,1,0.21327501933578571
247,IAM,1,1,0.568845150334412
248,IAN,0,0,0.07092488720124636
249,IAN,1,0,-0.021478085277344065
250,IAN,0,1,-0.06749461862583393
251,IAN,1,1,0.20041400081263214
252,IAO,0,0,0.0823913602967774
253,IAO,1,0,-0.07992807070653263
254,IAO,0,1,0.4815270482797589
255,IAO,1,1,0.3539333094649725
256,IAP,0,0,0.6522266184434241
257,IAP,1,0,-0.14165574463334576
258,IAP,0,1,0.6389456465668855
259,IAP,1,1,-0.11279540336648677
260,IAQ,0,0,-0.06745534624717697
261,IAQ,1,0,-0.6258951295040582
262,IAQ,0,1,0.8401059712826061
263,IAQ,1,1,0.12429215802022472
