,Sub,TI,TR,pupil
0,AB,0,0,0.5288084571313572
1,AB,1,0,0.289418637230569
2,AB,0,1,0.5857254139984197
3,AB,1,1,0.1291912246021883
4,AC,0,0,0.4579915500299696
5,AC,1,0,0.23235419177103897
6,AC,0,1,0.17030521012666333
7,AC,1,1,0.7603743971246185
8,AF,0,0,0.011446257454802265
9,AF,1,0,-0.04204931922358181
10,AF,0,1,0.2156628207993747
11,AF,1,1,0.07916779390892946
12,AH,0,0,0.14978006504411934
13,AH,1,0,0.571836919550992
14,AH,0,1,0.3747669104603068
15,AH,1,1,0.1991571579256025
16,AI,0,0,0.026737487726859226
17,AI,1,0,-0.0408472919532022
18,AI,0,1,-0.20914209681871293
19,AI,1,1,0.1350644656657814
20,AJ,0,0,-0.146719539725887
21,AJ,1,0,-0.05677096968589547
22,AJ,0,1,0.1348896421069807
23,AJ,1,1,0.20476827493068206
24,AK,0,0,-0.3239672591193597
25,AK,1,0,-0.38892820549469886
26,AK,0,1,-0.2207319507255389
27,AK,1,1,0.28029684853705766
28,AL,0,0,0.16846344718210202
29,AL,1,0,0.14917205423646204
30,AL,0,1,0.09984416623864523
31,AL,1,1,0.05743199980691149
32,AM,0,0,0.28081208620640535
33,AM,1,0,0.22625844340193457
34,AM,0,1,0.17205073855861683
35,AM,1,1,0.4301936418695755
36,AN,0,0,0.03828371887725664
37,AN,1,0,0.1623115970057648
38,AN,0,1,0.024554179662104988
39,AN,1,1,0.03873326782340951
40,AO,0,0,0.2537637973363994
41,AO,1,0,0.5393630082837494
42,AO,0,1,0.24571095305146837
43,AO,1,1,-0.13501367191158598
44,AP,0,0,0.11020477479253231
45,AP,1,0,-0.2090908371491127
46,AP,0,1,-0.3159242308895201
47,AP,1,1,-0.1418006091396308
48,AQ,0,0,0.23987676335576366
49,AQ,1,0,0.23644650322635696
50,AQ,0,1,0.2781901854762347
51,AQ,1,1,0.20326797788755827
52,AS,0,0,-0.07385739942826941
53,AS,1,0,-0.02705314637654027
54,AS,0,1,0.035956639409097386
55,AS,1,1,-0.03921523200353896
56,AT,0,0,0.13990546359196948
57,AT,1,0,0.3136942159043498
58,AT,0,1,0.24171373139527322
59,AT,1,1,0.13067993611758663
60,AV,0,0,0.055870086112297976
61,AV,1,0,0.1741600148775493
62,AV,0,1,0.18885679917581938
63,AV,1,1,0.2022327644083739
64,AX,0,0,-0.018935560852622477
65,AX,1,0,0.4100893161263077
66,AX,0,1,0.040610799463703086
67,AX,1,1,0.4102929702775732
68,AZ,0,0,0.10778904296933689
69,AZ,1,0,0.13263229695806356
70,AZ,0,1,0.17216497146590867
71,AZ,1,1,-0.06874861968288638
72,BA,0,0,0.2530787920178207
73,BA,1,0,0.29479439803655905
74,BA,0,1,-0.0541517929683257
75,BA,1,1,0.3706797168972983
76,BB,0,0,0.14764902170803387
77,BB,1,0,0.43236415116421645
78,BB,0,1,-0.06277950961347607
79,BB,1,1,0.09786953842540172
80,BC,0,0,-0.28376178678120806
81,BC,1,0,-0.6309705976466624
82,BC,0,1,-0.3449169820040133
83,BC,1,1,-0.24105855873871923
84,IAA,0,0,-0.043134862145744315
85,IAA,1,0,-0.06080048536142519
86,IAA,0,1,0.10733688218814655
87,IAA,1,1,0.12006911487954373
88,IAC,0,0,-0.03296348334028114
89,IAC,1,0,-0.21730517430845347
90,IAC,0,1,0.23674238060948383
91,IAC,1,1,-0.10597053130733405
92,IAF,0,0,-0.026855297103920435
93,IAF,1,0,-0.3057104630199136
94,IAF,0,1,-0.45346638202613
95,IAF,1,1,-0.0741589686757866
96,IAH,0,0,0.22329015530788554
97,IAH,1,0,0.5301633182376372
98,IAH,0,1,0.3849390008671527
99,IAH,1,1,0.7535021772699784
100,IAJ,0,0,0.04446283329873113
101,IAJ,1,0,0.22371668477016035
102,IAJ,0,1,0.022877910496765554
103,IAJ,1,1,-0.028360854064024308
104,IAK,0,0,-0.21921163365823795
105,IAK,1,0,-0.34446039781249926
106,IAK,0,1,-0.4319802456230558
107,IAK,1,1,-0.21683839955931233
108,IAL,0,0,0.535816138112058
109,IAL,1,0,0.8593476326365914
110,IAL,0,1,0.721921898639599
111,IAL,1,1,1.2805164326066583
112,IAM,0,0,0.12032571453515649
113,IAM,1,0,0.1340123474935112
114,IAM,0,1,0.13470832805263183
115,IAM,1,1,0.35250222629978123
116,IAN,0,0,-0.03947401723390926
117,IAN,1,0,0.2733217320132247
118,IAN,0,1,0.06532769289230184
119,IAN,1,1,0.10291647924755401
120,IAO,0,0,-0.08415490407278273
121,IAO,1,0,0.23332550850335704
122,IAO,0,1,0.5362743000991079
123,IAO,1,1,0.4513042020180402
124,IAP,0,0,0.5631078610138982
125,IAP,1,0,0.2389853945212025
126,IAP,0,1,0.47138961275860025
127,IAP,1,1,0.3294633628164052
128,IAQ,0,0,-0.02437663603851357
129,IAQ,1,0,-0.7336587667183911
130,IAQ,0,1,0.40405095436732236
131,IAQ,1,1,0.11595633977171757
132,AB,0,0,0.7074893742890824
133,AB,1,0,0.9144990834652111
134,AB,0,1,1.4090364838574232
135,AB,1,1,0.6460390663328267
136,AC,0,0,0.7529802951731139
137,AC,1,0,0.3738155922115247
138,AC,0,1,0.34563715831088504
139,AC,1,1,1.3823842603186096
140,AF,0,0,0.08741866462344587
141,AF,1,0,0.4464790279710081
142,AF,0,1,0.4396976803034652
143,AF,1,1,0.49023531005810395
144,AH,0,0,0.1760993461605782
145,AH,1,0,0.6480064495211635
146,AH,0,1,-1.3612604469811418
147,AH,1,1,0.1281096455162869
148,AI,0,0,0.1453134836985987
149,AI,1,0,0.04508216652887047
150,AI,0,1,-0.2168731058832522
151,AI,1,1,0.24946301028371762
152,AJ,0,0,-0.0034145370170221147
153,AJ,1,0,-0.1502847120554821
154,AJ,0,1,0.02507829036319625
155,AJ,1,1,0.10333620857586139
156,AK,0,0,-0.31938353788917484
157,AK,1,0,0.2962523726363863
158,AK,0,1,-0.22908578265470048
159,AK,1,1,0.9489561033416657
160,AL,0,0,0.4896634800188644
161,AL,1,0,0.13996101809639347
162,AL,0,1,0.5674979125615245
163,AL,1,1,0.01806386329761178
164,AM,0,0,0.07862315118559239
165,AM,1,0,0.1341839072540623
166,AM,0,1,0.1833306897531506
167,AM,1,1,-0.8269875878463991
168,AN,0,0,0.32469460224039226
169,AN,1,0,1.2186021204540283
170,AN,0,1,-0.05156627283742366
171,AN,1,1,0.3190994874105111
172,AO,0,0,0.5544873544400621
173,AO,1,0,0.33020100034762834
174,AO,0,1,1.190028966673487
175,AO,1,1,0.5217599707924189
176,AP,0,0,0.4217181876794139
177,AP,1,0,-0.06859139903052132
178,AP,0,1,0.021507539892680574
179,AP,1,1,0.21919280737533348
180,AQ,0,0,0.2645209596306713
181,AQ,1,0,0.625416319196299
182,AQ,0,1,0.30910484304715247
183,AQ,1,1,0.2895924901988354
184,AS,0,0,-0.2896518383016976
185,AS,1,0,0.23625598066348477
186,AS,0,1,0.9504592956444293
187,AS,1,1,0.49186042214325265
188,AT,0,0,0.016910628550247078
189,AT,1,0,0.04077351137323408
190,AT,0,1,0.3106413576764764
191,AT,1,1,-0.2981669000474833
192,AV,0,0,0.18307333719742028
193,AV,1,0,0.6961854385361135
194,AV,0,1,0.5236114252364017
195,AV,1,1,0.5813108634446148
196,AX,0,0,0.059613984205128215
197,AX,1,0,0.07590923421718998
198,AX,0,1,0.2339988091515619
199,AX,1,1,1.4738509345424013
200,AZ,0,0,0.2225647746501409
201,AZ,1,0,0.050116733853643874
202,AZ,0,1,0.35367226862534307
203,AZ,1,1,0.656177581541611
204,BA,0,0,0.42710360697942146
205,BA,1,0,0.32106944842875107
206,BA,0,1,0.023136525436354978
207,BA,1,1,0.5868311150714359
208,BB,0,0,-0.2165318417787709
209,BB,1,0,-0.10599286058660921
210,BB,0,1,-0.330260008123788
211,BB,1,1,-0.4987487058384035
212,BC,0,0,-0.5291134399823768
213,BC,1,0,-1.2400399112191192
214,BC,0,1,-0.6142753815887142
215,BC,1,1,-0.23588301404398931
216,IAA,0,0,-0.19158655500462776
217,IAA,1,0,0.9506265733371636
218,IAA,0,1,-0.3826849945001952
219,IAA,1,1,0.8271768420910226
220,IAC,0,0,-0.14250899294098948
221,IAC,1,0,-0.3786658544076926
222,IAC,0,1,-0.5639531672748035
223,IAC,1,1,-0.34225804089213674
224,IAF,0,0,0.18596113274681542
225,IAF,1,0,-0.7860692637489192
226,IAF,0,1,0.7954183952141372
227,IAF,1,1,0.0949220713092933
228,IAH,0,0,0.3367966423459325
229,IAH,1,0,0.45628330159525565
230,IAH,0,1,-0.0005210477467973064
231,IAH,1,1,0.11500596971279181
232,IAJ,0,0,0.3437727368215887
233,IAJ,1,0,0.03139537171084353
234,IAJ,0,1,-0.23075948959295678
235,IAJ,1,1,0.13991577838018707
236,IAK,0,0,-0.022640697393606336
237,IAK,1,0,0.4369170010643097
238,IAK,0,1,-0.29762670706668165
239,IAK,1,1,0.08700924859400098
240,IAL,0,0,0.7620393308023987
241,IAL,1,0,0.6379747063683271
242,IAL,0,1,1.8123410552881811
243,IAL,1,1,1.6945456063896827
244,IAM,0,0,0.06482205850560172
245,IAM,1,0,0.29834866093514184
246,IAM,0,1,0.2524417734224461
247,IAM,1,1,0.5236689022043328
248,IAN,0,0,0.10439527038925224
249,IAN,1,0,-0.033621208272177114
250,IAN,0,1,-0.11978961063969883
251,IAN,1,1,0.213151234872619
252,IAO,0,0,0.07647837564958478
253,IAO,1,0,-0.07403194077903577
254,IAO,0,1,0.47647151878383687
255,IAO,1,1,0.5760850104043351
256,IAP,0,0,0.6791116121461301
257,IAP,1,0,-0.10435401602294786
258,IAP,0,1,0.6613342427023403
259,IAP,1,1,-0.07912259286606306
260,IAQ,0,0,-0.09050671074748251
261,IAQ,1,0,-0.667457344264216
262,IAQ,0,1,0.8028995093169393
263,IAQ,1,1,0.15998589122570916
