,Percentage correct,TI,TR,prediction_error,subID
0,0.734375,0,0,None,0
1,0.7905759162303665,0,0,None,1
2,0.7405405405405405,0,0,None,2
3,0.8125,0,0,None,3
4,0.796875,0,0,None,4
5,0.828125,0,0,None,5
6,0.7643979057591623,0,0,None,6
7,0.7823529411764706,0,0,None,7
8,0.8229166666666666,0,0,None,8
9,0.7708333333333334,0,0,None,9
10,0.7301587301587301,0,0,None,10
11,0.8272251308900523,0,0,None,11
12,0.6568627450980392,0,0,None,12
13,0.8480392156862745,0,0,None,13
14,0.8253968253968254,0,0,None,14
15,0.8714285714285714,0,0,None,15
16,0.7986348122866894,0,0,None,16
17,0.7806788511749347,0,0,None,17
18,0.8697916666666666,0,0,None,18
19,0.7598944591029023,0,0,None,19
20,0.8706896551724138,0,0,None,20
21,0.7925311203319502,0,0,None,21
22,0.8656126482213439,0,0,None,22
23,0.8093994778067886,0,0,None,23
24,0.6559139784946236,0,0,None,24
25,0.8142292490118577,0,0,None,25
26,0.8614130434782609,0,0,None,26
27,0.842809364548495,0,0,None,27
28,0.8421052631578947,0,0,None,28
29,0.7382198952879581,0,0,None,29
30,0.5936599423631124,0,0,None,30
31,0.8372703412073491,0,0,None,31
32,0.7696335078534031,0,0,None,32
33,0.8,0,1,T-Relevant,0
34,0.75,0,1,T-Relevant,1
35,0.8181818181818182,0,1,T-Relevant,2
36,0.7391304347826086,0,1,T-Relevant,3
37,0.8611111111111112,0,1,T-Relevant,4
38,0.8333333333333334,0,1,T-Relevant,5
39,0.6944444444444444,0,1,T-Relevant,6
40,0.7096774193548387,0,1,T-Relevant,7
41,0.7777777777777778,0,1,T-Relevant,8
42,0.7222222222222222,0,1,T-Relevant,9
43,0.6111111111111112,0,1,T-Relevant,10
44,0.8611111111111112,0,1,T-Relevant,11
45,0.8055555555555556,0,1,T-Relevant,12
46,0.8717948717948718,0,1,T-Relevant,13
47,0.8285714285714286,0,1,T-Relevant,14
48,0.95,0,1,T-Relevant,15
49,0.75,0,1,T-Relevant,16
50,0.7323943661971831,0,1,T-Relevant,17
51,0.8888888888888888,0,1,T-Relevant,18
52,0.7285714285714285,0,1,T-Relevant,19
53,0.8181818181818182,0,1,T-Relevant,20
54,0.6585365853658537,0,1,T-Relevant,21
55,0.8478260869565217,0,1,T-Relevant,22
56,0.875,0,1,T-Relevant,23
57,0.6923076923076923,0,1,T-Relevant,24
58,0.7083333333333334,0,1,T-Relevant,25
59,0.782608695652174,0,1,T-Relevant,26
60,0.9166666666666666,0,1,T-Relevant,27
61,0.8309859154929577,0,1,T-Relevant,28
62,0.7222222222222222,0,1,T-Relevant,29
63,0.5970149253731343,0,1,T-Relevant,30
64,0.8028169014084507,0,1,T-Relevant,31
65,0.8333333333333334,0,1,T-Relevant,32
66,0.8055555555555556,1,0,T-Irrelevant,0
67,0.8888888888888888,1,0,T-Irrelevant,1
68,0.7647058823529411,1,0,T-Irrelevant,2
69,0.75,1,0,T-Irrelevant,3
