,Sub,TI,TR,pupil
0,AB,0,0,-0.26139104501171817
1,AB,1,0,-0.2627328213685126
2,AB,0,1,-0.280313896130733
3,AB,1,1,-0.30956760726520294
4,AC,0,0,0.04383316565400938
5,AC,1,0,-0.22990538965288942
6,AC,0,1,-0.05830244583221439
7,AC,1,1,-0.07977782550120026
8,AF,0,0,-0.7354530855552734
9,AF,1,0,-0.9855496663709937
10,AF,0,1,-0.7915137896723979
11,AF,1,1,-0.8774550081614425
12,AH,0,0,0.5705662267033824
13,AH,1,0,0.5747386814321302
14,AH,0,1,0.4363787458196512
15,AH,1,1,0.5988168481538103
16,AI,0,0,0.03225358703249044
17,AI,1,0,-0.08911626518967013
18,AI,0,1,0.05276497010768588
19,AI,1,1,-0.10665839731862406
20,AJ,0,0,0.2067938532790648
21,AJ,1,0,0.2754439668025325
22,AJ,0,1,0.33363073314500463
23,AJ,1,1,0.28565016321623155
24,AK,0,0,0.04126814024863402
25,AK,1,0,0.24629421460416268
26,AK,0,1,0.12056282647639999
27,AK,1,1,0.24033284318392234
28,AL,0,0,-0.22551976368286072
29,AL,1,0,-0.10690031576905658
30,AL,0,1,-0.15116902226587356
31,AL,1,1,-0.23403274633111598
32,AM,0,0,0.002240428766282949
33,AM,1,0,0.09504488639772904
34,AM,0,1,-0.02385303007774332
35,AM,1,1,0.012530720027911228
36,AN,0,0,-0.3692322552775017
37,AN,1,0,-0.26155244649797543
38,AN,0,1,-0.05417675944314004
39,AN,1,1,-0.22640492007248628
40,AO,0,0,0.1873451441572599
41,AO,1,0,0.15770072362128523
42,AO,0,1,0.09283530944283751
43,AO,1,1,0.19862964015185672
44,AP,0,0,0.08865907337503008
45,AP,1,0,-0.00974627993253743
46,AP,0,1,-0.04707020220946036
47,AP,1,1,0.07613271084600344
48,AQ,0,0,-0.2544603376906065
49,AQ,1,0,-0.4414654314299781
50,AQ,0,1,-0.16730725206209573
51,AQ,1,1,-0.3193263589249675
52,AS,0,0,-0.10282626673355241
53,AS,1,0,-0.10652303366632815
54,AS,0,1,-0.14744193526364704
55,AS,1,1,-0.3256860611018415
56,AT,0,0,-0.07606657315336474
57,AT,1,0,0.13651054231135737
58,AT,0,1,0.12995284818286718
59,AT,1,1,-0.08224343316590066
60,AV,0,0,-0.2617402869962895
61,AV,1,0,-0.47156736999291615
62,AV,0,1,-0.4167615342352601
63,AV,1,1,-0.03678962463744028
64,AX,0,0,-0.16537118318957955
65,AX,1,0,-0.08079214051561172
66,AX,0,1,-0.12093765098140642
67,AX,1,1,0.042289141295819774
68,AZ,0,0,0.2513992128277366
69,AZ,1,0,0.3143565422771526
70,AZ,0,1,0.2707012841601083
71,AZ,1,1,0.2160981640322675
72,BA,0,0,0.047782140144766685
73,BA,1,0,0.2512346586044736
74,BA,0,1,0.11161115379264161
75,BA,1,1,0.08194003053556227
76,BB,0,0,-0.20631326498792943
77,BB,1,0,0.1241760252776018
78,BB,0,1,-0.2858260501429053
79,BB,1,1,-0.21859800995591283
80,BC,0,0,-0.5134689992861059
81,BC,1,0,-0.6433774888457008
82,BC,0,1,-0.6637325011005395
83,BC,1,1,-0.567429135361208
84,IAA,0,0,-0.1809293512587363
85,IAA,1,0,-0.45443945597620006
86,IAA,0,1,0.0716581816178677
87,IAA,1,1,-0.18838602123921772
88,IAC,0,0,0.512601557664483
89,IAC,1,0,0.6931058220382444
90,IAC,0,1,0.29487953012895807
91,IAC,1,1,0.4096928457404138
92,IAF,0,0,-0.38919542269677476
93,IAF,1,0,-0.4878006218091037
94,IAF,0,1,-0.2646468153284438
95,IAF,1,1,-0.22208419483972394
96,IAH,0,0,0.17610068650957098
97,IAH,1,0,0.5403829907805145
98,IAH,0,1,0.09350350530542398
99,IAH,1,1,0.6169935631763758
100,IAJ,0,0,0.3212202801973322
101,IAJ,1,0,0.3665673422047364
102,IAJ,0,1,0.49728972921784126
103,IAJ,1,1,0.25711333431324973
104,IAK,0,0,0.12004391486264857
105,IAK,1,0,-0.07838299233055478
106,IAK,0,1,-0.04257417440494303
107,IAK,1,1,0.015667318742179793
108,IAL,0,0,-0.05213321285085492
109,IAL,1,0,0.09664635700987423
110,IAL,0,1,-0.024377394080799995
111,IAL,1,1,0.42328890256595875
112,IAM,0,0,0.20472630238732006
113,IAM,1,0,0.06435687801854191
114,IAM,0,1,0.2876750702259523
115,IAM,1,1,-0.24348094433691284
116,IAN,0,0,0.8070531091767355
117,IAN,1,0,0.9869460353397528
118,IAN,0,1,1.0353361380716528
119,IAN,1,1,0.6362333082575884
120,IAO,0,0,0.09234933748962318
121,IAO,1,0,-0.03358453894056772
122,IAO,0,1,0.22104153307278043
123,IAO,1,1,0.2515253065235923
124,IAP,0,0,-0.0016115809964192423
125,IAP,1,0,-0.11871041053793577
126,IAP,0,1,-0.07487197173002445
127,IAP,1,1,-0.0011118910624614634
128,IAQ,0,0,0.036613118580790825
129,IAQ,1,0,-0.08680765923161432
130,IAQ,0,1,0.44242346103806107
131,IAQ,1,1,0.18360985591978218
132,AB,0,0,-0.24402947559949495
133,AB,1,0,-0.41427937346976507
134,AB,0,1,-0.08645522892964674
135,AB,1,1,0.20455668474664995
136,AC,0,0,-0.11659588243735777
137,AC,1,0,0.20677584942211985
138,AC,0,1,-0.7283170969656961
139,AC,1,1,1.0195106049850788
140,AF,0,0,-0.8601439629893083
141,AF,1,0,-0.9879904794341471
142,AF,0,1,-0.36969698413187746
143,AF,1,1,-0.5655165237070954
144,AH,0,0,0.49164034445427307
145,AH,1,0,0.42949821065673577
146,AH,0,1,-0.3325214944849929
147,AH,1,1,-0.13366816398561068
148,AI,0,0,0.011649740261578972
149,AI,1,0,-0.1169241976484517
150,AI,0,1,0.20358785448398903
151,AI,1,1,-0.18339988499954252
152,AJ,0,0,0.18764529041734795
153,AJ,1,0,0.07450247747079297
154,AJ,0,1,0.2390680549768888
155,AJ,1,1,0.4731827671435238
156,AK,0,0,0.029022166540416665
157,AK,1,0,0.33254005789698066
158,AK,0,1,0.4401472551716873
159,AK,1,1,0.34473038404192297
160,AL,0,0,-0.3262614644405771
161,AL,1,0,-0.3513901551995176
162,AL,0,1,-0.3164311728359941
163,AL,1,1,-0.19752951074088243
164,AM,0,0,-0.11939779341859386
165,AM,1,0,-0.17013834517849866
166,AM,0,1,-0.07099423683508357
167,AM,1,1,-0.3629342279112765
168,AN,0,0,-0.4578997352357196
169,AN,1,0,0.34040225888943526
170,AN,0,1,-0.15218776629103048
171,AN,1,1,-0.40706053569626366
172,AO,0,0,0.13769569205911214
173,AO,1,0,-0.43822976706730243
174,AO,0,1,-0.10440919063030332
175,AO,1,1,0.30971879827813353
176,AP,0,0,0.09472241040364322
177,AP,1,0,0.1398900943127841
178,AP,0,1,0.14251872455544048
179,AP,1,1,-0.02810481626735535
180,AQ,0,0,-0.3259176406676199
181,AQ,1,0,-0.22369419365710516
182,AQ,0,1,-0.10445824607636825
183,AQ,1,1,-0.1690503783154507
184,AS,0,0,-0.35680985408436383
185,AS,1,0,-0.20142302643165352
186,AS,0,1,0.3856687930975613
187,AS,1,1,-0.15882725839000922
188,AT,0,0,-0.023104506833462626
189,AT,1,0,-0.03700750964681245
190,AT,0,1,0.018981050216954946
191,AT,1,1,-0.18701842614581327
192,AV,0,0,-0.32887361729600967
193,AV,1,0,-0.4368713602228654
194,AV,0,1,-0.8055012000316792
195,AV,1,1,-0.09534899743284289
196,AX,0,0,-0.2928237796062262
197,AX,1,0,-0.16918516061810598
198,AX,0,1,-0.3356348848126256
199,AX,1,1,0.4825524783180005
200,AZ,0,0,0.2845038335643798
201,AZ,1,0,0.4322392976136726
202,AZ,0,1,0.11820219052144118
203,AZ,1,1,0.30004043298499056
204,BA,0,0,0.007119993521925022
205,BA,1,0,0.09455282279950392
206,BA,0,1,0.1018179310885872
207,BA,1,1,0.20491661181401635
208,BB,0,0,-0.3343804507731292
209,BB,1,0,0.09167086675308289
210,BB,0,1,-0.08337783415566964
211,BB,1,1,-0.7267742790767935
212,BC,0,0,-0.48452033840133074
213,BC,1,0,-0.9048737605512696
214,BC,0,1,-0.3951501765229912
215,BC,1,1,-0.25673265266440437
216,IAA,0,0,-0.3643936580103749
217,IAA,1,0,-0.55742759242709
218,IAA,0,1,0.3578340178944811
219,IAA,1,1,-0.17252886998477732
220,IAC,0,0,0.5341376725465041
221,IAC,1,0,-0.0734878468685249
222,IAC,0,1,0.09151726920379392
223,IAC,1,1,0.36936634885042113
224,IAF,0,0,-0.46674751768193995
225,IAF,1,0,-0.6158536868004187
226,IAF,0,1,-0.36238473047991493
227,IAF,1,1,-0.25827141637683454
228,IAH,0,0,0.03638099355626788
229,IAH,1,0,-0.8353347636225585
230,IAH,0,1,0.2754681322983006
231,IAH,1,1,0.8696452223399735
232,IAJ,0,0,0.37661755877793035
233,IAJ,1,0,0.2907973429308761
234,IAJ,0,1,0.31242304178461294
235,IAJ,1,1,-0.015629536846037063
236,IAK,0,0,-0.05611638793466712
237,IAK,1,0,0.23379128960570336
238,IAK,0,1,0.31484968435913957
239,IAK,1,1,-0.021821598729043667
240,IAL,0,0,-0.2763538996544544
241,IAL,1,0,0.20205779284167685
242,IAL,0,1,-0.28519989650782307
243,IAL,1,1,1.4947016267159015
244,IAM,0,0,-0.1097557096287014
245,IAM,1,0,-0.23341842418487208
246,IAM,0,1,0.36657991499806336
247,IAM,1,1,-0.8605581164911168
248,IAN,0,0,0.9894808482690068
249,IAN,1,0,1.0612523691516371
250,IAN,0,1,0.9190529926561759
251,IAN,1,1,0.3712363705201789
252,IAO,0,0,0.194851936379048
253,IAO,1,0,-0.20953298400100034
254,IAO,0,1,0.13269448973996642
255,IAO,1,1,0.8346406365598559
256,IAP,0,0,-0.019512565070357084
257,IAP,1,0,-0.3096989453972799
258,IAP,0,1,0.08537224699564351
259,IAP,1,1,0.5372407658845699
260,IAQ,0,0,0.04742918859828619
261,IAQ,1,0,0.11155057326848541
262,IAQ,0,1,0.7150735425212872
263,IAQ,1,1,0.7804191964403334
