,PredError,Sub,TI,TR,TaskRel,pupil,type
0,0,AB,0,0,0,-0.033394839572234276,correct
1,1,AB,1,0,0,0.010211909258828028,correct
2,1,AB,0,1,1,0.05664953693683947,correct
3,1,AB,1,1,1,-0.0009269021168188142,correct
4,0,AC,0,0,0,0.21066766396806447,correct
5,1,AC,1,0,0,-0.003921697184513921,correct
6,1,AC,0,1,1,0.21298989975632543,correct
7,1,AC,1,1,1,0.15555422738189026,correct
8,0,AF,0,0,0,-0.08844899375331666,correct
9,1,AF,1,0,0,-0.22755308874860514,correct
10,1,AF,0,1,1,-0.24710342167871172,correct
11,1,AF,1,1,1,-0.19506808388580632,correct
12,0,AH,0,0,0,0.35259400667884494,correct
13,1,AH,1,0,0,0.3410360341048077,correct
14,1,AH,0,1,1,0.20486926082090554,correct
15,1,AH,1,1,1,0.26797918107462904,correct
16,0,AI,0,0,0,-0.04711999410753712,correct
17,1,AI,1,0,0,-0.04803332090577798,correct
18,1,AI,0,1,1,-0.04768966795752665,correct
19,1,AI,1,1,1,-0.1406853872493833,correct
20,0,AJ,0,0,0,-0.01135114691867229,correct
21,1,AJ,1,0,0,0.046888248375263564,correct
22,1,AJ,0,1,1,0.04536558530486598,correct
23,1,AJ,1,1,1,0.009904931799503311,correct
24,0,AK,0,0,0,-0.06894082824191582,correct
25,1,AK,1,0,0,-0.011930118437964921,correct
26,1,AK,0,1,1,-0.012520092140874205,correct
27,1,AK,1,1,1,0.0821755617368681,correct
28,0,AL,0,0,0,0.005727567302138111,correct
29,1,AL,1,0,0,0.09040327425429252,correct
30,1,AL,0,1,1,0.0269923782461204,correct
31,1,AL,1,1,1,-0.08483874669028948,correct
32,0,AM,0,0,0,-0.11925293048846,correct
33,1,AM,1,0,0,-0.025192569250646946,correct
34,1,AM,0,1,1,-0.15349521620146994,correct
35,1,AM,1,1,1,-0.15620763717862063,correct
36,0,AN,0,0,0,-0.12485025856493076,correct
37,1,AN,1,0,0,0.013954530288380755,correct
38,1,AN,0,1,1,0.13371288350796773,correct
39,1,AN,1,1,1,0.07659475782712383,correct
40,0,AO,0,0,0,0.09262084375240921,correct
41,1,AO,1,0,0,0.09361106320222341,correct
42,1,AO,0,1,1,0.023975451517494705,correct
43,1,AO,1,1,1,0.04971868789221801,correct
44,0,AP,0,0,0,0.14168765711682338,correct
45,1,AP,1,0,0,0.10934907336717689,correct
46,1,AP,0,1,1,0.09707744515318834,correct
47,1,AP,1,1,1,0.14052397881091444,correct
48,0,AQ,0,0,0,-0.15292081294462623,correct
49,1,AQ,1,0,0,-0.3043304232670309,correct
50,1,AQ,0,1,1,0.029188908046082866,correct
51,1,AQ,1,1,1,-0.2130333006395419,correct
52,0,AS,0,0,0,0.02792344332137379,correct
53,1,AS,1,0,0,-0.04026068019845381,correct
54,1,AS,0,1,1,0.03426844447940657,correct
55,1,AS,1,1,1,-0.1567702564982748,correct
56,0,AT,0,0,0,-0.005340469411978582,correct
57,1,AT,1,0,0,0.13967956725197617,correct
58,1,AT,0,1,1,0.12362829725524532,correct
59,1,AT,1,1,1,0.05370840098503014,correct
60,0,AV,0,0,0,0.06332655537542123,correct
61,1,AV,1,0,0,-0.096655275482192,correct
62,1,AV,0,1,1,-0.0741888303212981,correct
63,1,AV,1,1,1,0.18315754347480973,correct
64,0,AX,0,0,0,-0.16477977543080768,correct
65,1,AX,1,0,0,-0.12107770079657046,correct
66,1,AX,0,1,1,-0.08167675767143812,correct
67,1,AX,1,1,1,-0.08752721934045479,correct
68,0,AZ,0,0,0,0.1463577747333211,correct
69,1,AZ,1,0,0,0.19408897661204164,correct
70,1,AZ,0,1,1,0.14827399356572785,correct
71,1,AZ,1,1,1,0.16661408709978454,correct
72,0,BA,0,0,0,-0.11519029849986,correct
73,1,BA,1,0,0,-0.0009981679715420886,correct
74,1,BA,0,1,1,-0.04440043773323621,correct
75,1,BA,1,1,1,-0.13036474844880463,correct
76,0,BB,0,0,0,-0.048001635281919794,correct
77,1,BB,1,0,0,0.27543953058990506,correct
78,1,BB,0,1,1,0.005338448021300562,correct
79,1,BB,1,1,1,0.01765415806224692,correct
80,0,BC,0,0,0,-0.3682306500813888,correct
81,1,BC,1,0,0,-0.4848903125598422,correct
82,1,BC,0,1,1,-0.4569978645356171,correct
83,1,BC,1,1,1,-0.42288490714473886,correct
84,0,IAA,0,0,0,-0.27694019232442635,correct
85,1,IAA,1,0,0,-0.5736562384737738,correct
86,1,IAA,0,1,1,-0.24635817933193144,correct
87,1,IAA,1,1,1,-0.3079019947767872,correct
88,0,IAC,0,0,0,0.37247952156967024,correct
89,1,IAC,1,0,0,0.5178714635505963,correct
90,1,IAC,0,1,1,0.34441292161016257,correct
91,1,IAC,1,1,1,0.227715618752665,correct
92,0,IAF,0,0,0,-0.12921911439404032,correct
93,1,IAF,1,0,0,-0.16008493405941313,correct
94,1,IAF,0,1,1,-0.19070723155686892,correct
95,1,IAF,1,1,1,0.09003550355297779,correct
96,0,IAH,0,0,0,-0.045623333690019786,correct
97,1,IAH,1,0,0,0.2606604006442307,correct
98,1,IAH,0,1,1,-0.02296887156966674,correct
99,1,IAH,1,1,1,0.22440112242404675,correct
100,0,IAJ,0,0,0,0.0440884009779445,correct
101,1,IAJ,1,0,0,0.028667068416190707,correct
102,1,IAJ,0,1,1,0.09367070233677656,correct
103,1,IAJ,1,1,1,0.0007297343177922471,correct
104,0,IAK,0,0,0,-0.09047007299621179,correct
105,1,IAK,1,0,0,-0.30072856366932954,correct
106,1,IAK,0,1,1,-0.11757981294022811,correct
107,1,IAK,1,1,1,-0.13852152274684965,correct
108,0,IAL,0,0,0,-0.2952723355807549,correct
109,1,IAL,1,0,0,-0.2085186593905069,correct
110,1,IAL,0,1,1,-0.2923178917432056,correct
111,1,IAL,1,1,1,-0.05087548833494973,correct
112,0,IAM,0,0,0,-0.24665860783092192,correct
113,1,IAM,1,0,0,-0.17819609414408066,correct
114,1,IAM,0,1,1,-0.0615401227490566,correct
115,1,IAM,1,1,1,-0.5610342849392826,correct
116,0,IAN,0,0,0,0.12861509306268387,correct
117,1,IAN,1,0,0,0.10671522710268554,correct
118,1,IAN,0,1,1,0.33571230297043686,correct
119,1,IAN,1,1,1,-0.20722051645711062,correct
120,0,IAO,0,0,0,-0.2388168423739759,correct
121,1,IAO,1,0,0,-0.42310039241212266,correct
122,1,IAO,0,1,1,-0.21561564568038027,correct
123,1,IAO,1,1,1,-0.06318927118565484,correct
124,0,IAP,0,0,0,-0.10877131665073585,correct
125,1,IAP,1,0,0,-0.2864050549411236,correct
126,1,IAP,0,1,1,-0.17742344163797016,correct
127,1,IAP,1,1,1,-0.2505195234429008,correct
128,0,IAQ,0,0,0,-0.06617473845156527,correct
129,1,IAQ,1,0,0,-0.27727029663903013,correct
130,1,IAQ,0,1,1,0.16553835447312137,correct
131,1,IAQ,1,1,1,0.037076700723245704,correct
132,0,AB,0,0,0,-0.06236898621716315,incorrect
133,1,AB,1,0,0,0.009954188653166923,incorrect
134,1,AB,0,1,1,0.23820295351160162,incorrect
135,1,AB,1,1,1,0.2565123747966185,incorrect
136,0,AC,0,0,0,0.07504791931335462,incorrect
137,1,AC,1,0,0,0.309202890734337,incorrect
138,1,AC,0,1,1,-0.189558492349218,incorrect
139,1,AC,1,1,1,0.9797539125927704,incorrect
140,0,AF,0,0,0,-0.1372649619330833,incorrect
141,1,AF,1,0,0,-0.06037458129572263,incorrect
142,1,AF,0,1,1,-0.07794370132261537,incorrect
143,1,AF,1,1,1,-0.07501369126016083,incorrect
144,0,AH,0,0,0,0.306746951807825,incorrect
145,1,AH,1,0,0,0.5093783589324896,incorrect
146,1,AH,0,1,1,-0.14105327033861315,incorrect
147,1,AH,1,1,1,-0.1345711405751902,incorrect
148,0,AI,0,0,0,-0.006406403048150295,incorrect
149,1,AI,1,0,0,0.013266928662072549,incorrect
150,1,AI,0,1,1,0.03891070103675401,incorrect
151,1,AI,1,1,1,-0.17365575149787432,incorrect
152,0,AJ,0,0,0,0.015189710777867666,incorrect
153,1,AJ,1,0,0,-0.12198803551411946,incorrect
154,1,AJ,0,1,1,-0.01390471889890569,incorrect
155,1,AJ,1,1,1,0.127304624126618,incorrect
156,0,AK,0,0,0,-8.486638570305409e-05,incorrect
157,1,AK,1,0,0,0.0854596454555597,incorrect
158,1,AK,0,1,1,0.22607224825804717,incorrect
159,1,AK,1,1,1,0.12456171847130006,incorrect
160,0,AL,0,0,0,-0.018302777738161278,incorrect
161,1,AL,1,0,0,-0.10309903619779132,incorrect
162,1,AL,0,1,1,-0.054220584650178205,incorrect
163,1,AL,1,1,1,0.03928040688322874,incorrect
