,Sub,pupil,type
0,AB,1.244145256504179,correct
1,AB,1.0932224736226022,correct
2,AB,2.252771386353901,correct
3,AB,0.6964147540301494,correct
4,AB,-1.5025475181970078,correct
5,AB,0.49990539171504045,correct
6,AB,1.3175732491006464,correct
7,AB,1.6249705147780011,correct
8,AB,-0.19367510106430896,correct
9,AB,0.2243236461040159,correct
10,AB,-0.32250010984983757,correct
11,AB,0.6621612338252161,correct
12,AB,3.939029399440015,correct
13,AB,-0.9860069878956262,correct
14,AB,0.661062212636326,correct
15,AB,-0.5829235540821993,correct
16,AB,-0.24320417069108774,correct
17,AB,0.975265775521331,correct
18,AB,1.126599436703565,correct
19,AB,1.717069295112634,correct
20,AB,-0.22150920828934278,correct
21,AB,-0.2764970641875517,correct
22,AB,-0.007419941295788375,correct
23,AB,1.153817408824141,correct
24,AB,0.3116393779152469,correct
25,AB,1.2700041378254818,correct
26,AB,1.6435655355601728,correct
27,AB,2.59977948469514,correct
28,AB,0.7401110391837027,correct
29,AB,0.9785526490081384,correct
30,AB,0.19649489855581026,correct
31,AB,0.9000741240418679,correct
32,AB,1.1361990470867396,correct
33,AB,-0.8881874915790032,correct
34,AB,-0.0694259768755165,correct
35,AB,0.017819932716393545,correct
36,AB,-1.0473463416249262,correct
37,AB,4.295511981887497,correct
38,AB,2.1324938971858716,correct
39,AB,0.30051047576784595,correct
40,AB,2.1404681605530302,correct
41,AB,-0.5776534499268801,correct
42,AB,-0.06805939827332186,correct
43,AB,0.6091864405848971,correct
44,AB,0.20555822562925102,correct
45,AB,1.7890374942468945,correct
46,AB,0.1026702660291692,correct
47,AB,2.073709682938504,correct
48,AB,-0.4331900156781735,correct
49,AB,0.5684412656686897,correct
50,AB,-2.9180027275459457,correct
51,AB,-0.3083614006207861,correct
52,AB,-0.6356970240877893,correct
53,AB,-2.685475293131368,correct
54,AB,-0.7538855575872939,correct
55,AB,-0.25250087159875756,correct
56,AB,1.7180558398451937,correct
57,AB,-0.6621466387060049,correct
58,AB,0.3668320622812399,correct
59,AB,2.488770431057201,correct
60,AB,-1.103493941482093,correct
61,AB,1.203848870394871,correct
62,AB,1.34396627680279,correct
63,AB,0.20801026158629282,correct
64,AB,1.1892237611184353,correct
65,AB,-0.49132171000125585,correct
66,AB,0.04338392807905342,correct
67,AB,3.393916407170112,correct
68,AB,-0.622421370026474,correct
69,AB,-0.6840540500560972,correct
70,AB,0.04277396446104622,correct
71,AB,-1.0860692750262237,correct
72,AB,1.4293714281671561,correct
73,AB,0.9845462302355749,correct
74,AB,-0.5952113791497665,correct
75,AB,-0.4482214822401857,correct
76,AB,-1.738363131107438,correct
77,AB,-0.4225269136030082,correct
78,AB,-0.13521407626060056,correct
79,AC,-0.41087635877343276,correct
80,AC,-0.7238389973531197,correct
81,AC,0.578526953835103,correct
82,AC,0.08497564912752215,correct
83,AC,-0.9507271541883742,correct
84,AC,0.6977818334936913,correct
85,AC,1.8420454726516629,correct
86,AC,0.48282226284978613,correct
87,AC,1.2035414461580511,correct
88,AC,-0.2823524116929713,correct
89,AC,1.8387990500359734,correct
