,PredError,Sub,TI,TR,TaskRel,pupil,type
0,0,AB,0,0,0,-0.0535723354076639,correct
1,1,AB,1,0,0,-3.0337290246633874e-07,correct
2,1,AB,0,1,1,0.06951444268754638,correct
3,1,AB,1,1,1,-0.012909284002098904,correct
4,0,AC,0,0,0,0.19855810497942433,correct
5,1,AC,1,0,0,-0.020895073463082742,correct
6,1,AC,0,1,1,0.15903439575579012,correct
7,1,AC,1,1,1,0.14405182665591335,correct
8,0,AF,0,0,0,0.06420407565361265,correct
9,1,AF,1,0,0,-0.04019100381522383,correct
10,1,AF,0,1,1,-0.06805503683405119,correct
11,1,AF,1,1,1,-0.03881383367713599,correct
12,0,AH,0,0,0,0.25746423478627367,correct
13,1,AH,1,0,0,0.24286894968650014,correct
14,1,AH,0,1,1,0.11647209205483658,correct
15,1,AH,1,1,1,0.15928531152782946,correct
16,0,AI,0,0,0,-0.0469461527372461,correct
17,1,AI,1,0,0,-0.03480851907268561,correct
18,1,AI,0,1,1,-0.05402140778264844,correct
19,1,AI,1,1,1,-0.142054931964767,correct
20,0,AJ,0,0,0,-0.018814473317531992,correct
21,1,AJ,1,0,0,0.03998423789215402,correct
22,1,AJ,0,1,1,0.03553696682977998,correct
23,1,AJ,1,1,1,-0.003932984847752402,correct
24,0,AK,0,0,0,0.07504480610905025,correct
25,1,AK,1,0,0,0.11141990203033521,correct
26,1,AK,0,1,1,0.11003651064878546,correct
27,1,AK,1,1,1,0.19008992521261409,correct
28,0,AL,0,0,0,-0.016962993741349405,correct
29,1,AL,1,0,0,0.06436874261261573,correct
30,1,AL,0,1,1,0.00696311375689562,correct
31,1,AL,1,1,1,-0.10790310623828414,correct
32,0,AM,0,0,0,-0.10085414097550302,correct
33,1,AM,1,0,0,-0.023556715230864396,correct
34,1,AM,0,1,1,-0.15552634358158632,correct
35,1,AM,1,1,1,-0.13996393228620618,correct
36,0,AN,0,0,0,-0.011105922128185943,correct
37,1,AN,1,0,0,0.1420195048577756,correct
38,1,AN,0,1,1,0.23790462257525585,correct
39,1,AN,1,1,1,0.22705241819933972,correct
40,0,AO,0,0,0,0.028008391997511206,correct
41,1,AO,1,0,0,0.02739411671729408,correct
42,1,AO,0,1,1,-0.010878880410707281,correct
43,1,AO,1,1,1,-0.0045872379281248175,correct
44,0,AP,0,0,0,0.12903036443626076,correct
45,1,AP,1,0,0,0.10689796910314996,correct
46,1,AP,0,1,1,0.08452671562502768,correct
47,1,AP,1,1,1,0.12056425350632896,correct
48,0,AQ,0,0,0,-0.0011534856423650536,correct
49,1,AQ,1,0,0,-0.11072943296841799,correct
50,1,AQ,0,1,1,0.23656186355093844,correct
51,1,AQ,1,1,1,-0.028565108948765783,correct
52,0,AS,0,0,0,0.0784437797499362,correct
53,1,AS,1,0,0,0.0052963466165518915,correct
54,1,AS,0,1,1,0.09040103189625694,correct
55,1,AS,1,1,1,-0.09589767629396084,correct
56,0,AT,0,0,0,-0.007144007426762748,correct
57,1,AT,1,0,0,0.12035610763751507,correct
58,1,AT,0,1,1,0.10294782423785642,correct
59,1,AT,1,1,1,0.07955476880932766,correct
60,0,AV,0,0,0,0.07290723478841415,correct
61,1,AV,1,0,0,-0.08389721480265648,correct
62,1,AV,0,1,1,-0.059807063551550174,correct
63,1,AV,1,1,1,0.16768945248812148,correct
64,0,AX,0,0,0,-0.09667966442179486,correct
65,1,AX,1,0,0,-0.052942713039677236,correct
66,1,AX,0,1,1,-0.01317707049495089,correct
67,1,AX,1,1,1,-0.03735037178494966,correct
68,0,AZ,0,0,0,0.18114136257551142,correct
69,1,AZ,1,0,0,0.21576457730027845,correct
70,1,AZ,0,1,1,0.1628904346797734,correct
71,1,AZ,1,1,1,0.183439929267938,correct
72,0,BA,0,0,0,-0.11154258231652416,correct
73,1,BA,1,0,0,-0.014241928132778983,correct
74,1,BA,0,1,1,-0.0483798920315794,correct
75,1,BA,1,1,1,-0.1452663491996934,correct
76,0,BB,0,0,0,0.03365309324992627,correct
77,1,BB,1,0,0,0.3121213956339119,correct
78,1,BB,0,1,1,0.061598952263949645,correct
79,1,BB,1,1,1,0.05582055920809842,correct
80,0,BC,0,0,0,-0.1540187739459341,correct
81,1,BC,1,0,0,-0.25406503279811515,correct
82,1,BC,0,1,1,-0.28580454795188326,correct
83,1,BC,1,1,1,-0.17092917256542006,correct
84,0,IAA,0,0,0,-0.22287179285400366,correct
85,1,IAA,1,0,0,-0.5255822993947292,correct
86,1,IAA,0,1,1,-0.2536349825345559,correct
87,1,IAA,1,1,1,-0.27381200376207826,correct
88,0,IAC,0,0,0,0.27568799080934936,correct
89,1,IAC,1,0,0,0.4131865834426659,correct
90,1,IAC,0,1,1,0.31024878297962655,correct
91,1,IAC,1,1,1,0.2076616511826582,correct
92,0,IAF,0,0,0,-0.039492574751552115,correct
