,PredError,Sub,TI,TR,TaskRel,pupil,type
0,0,AB,0,0,0,0.5257783365886725,correct
1,1,AB,1,0,0,0.17394742992562062,correct
2,1,AB,0,1,1,0.5831174699922552,correct
3,1,AB,1,1,1,0.07220984315041765,correct
4,0,AC,0,0,0,0.4810973529321169,correct
5,1,AC,1,0,0,0.23724536568297644,correct
6,1,AC,0,1,1,0.17385834596818567,correct
7,1,AC,1,1,1,0.7665677871807907,correct
8,0,AF,0,0,0,0.0015527562304869106,correct
9,1,AF,1,0,0,0.06878571433273872,correct
10,1,AF,0,1,1,0.10431537639775662,correct
11,1,AF,1,1,1,0.04057688378200055,correct
12,0,AH,0,0,0,0.09847691467307239,correct
13,1,AH,1,0,0,0.45382522975249273,correct
14,1,AH,0,1,1,0.5088058022372944,correct
15,1,AH,1,1,1,0.07086011459789647,correct
16,0,AI,0,0,0,0.06136734998068765,correct
17,1,AI,1,0,0,0.05706782784597804,correct
18,1,AI,0,1,1,-0.22309694641979824,correct
19,1,AI,1,1,1,0.22293379633854982,correct
20,0,AJ,0,0,0,-0.1828988914696501,correct
21,1,AJ,1,0,0,-0.12817910941043203,correct
22,1,AJ,0,1,1,0.02995814655945884,correct
23,1,AJ,1,1,1,0.05876732683629337,correct
24,0,AK,0,0,0,-0.39505809691920823,correct
25,1,AK,1,0,0,-0.4742257619321564,correct
26,1,AK,0,1,1,-0.2798943888571876,correct
27,1,AK,1,1,1,0.09740601878560781,correct
28,0,AL,0,0,0,0.16067511585974975,correct
29,1,AL,1,0,0,0.24811679468659703,correct
30,1,AL,0,1,1,0.07609370240375148,correct
31,1,AL,1,1,1,0.00190821786120491,correct
32,0,AM,0,0,0,0.3759587655935504,correct
33,1,AM,1,0,0,0.385689258090808,correct
34,1,AM,0,1,1,0.25376156479403056,correct
35,1,AM,1,1,1,0.48757657115461633,correct
36,0,AN,0,0,0,0.01671619610876068,correct
37,1,AN,1,0,0,0.07096000159350797,correct
38,1,AN,0,1,1,-0.09950466574823214,correct
39,1,AN,1,1,1,0.004576773462684116,correct
40,0,AO,0,0,0,0.09100844156583242,correct
41,1,AO,1,0,0,0.691027283910284,correct
42,1,AO,0,1,1,0.1862936260366091,correct
43,1,AO,1,1,1,-0.14646238120995317,correct
44,0,AP,0,0,0,0.07059679626931582,correct
45,1,AP,1,0,0,-0.11191410730736916,correct
46,1,AP,0,1,1,-0.25187941265651365,correct
47,1,AP,1,1,1,-0.2889372130480889,correct
48,0,AQ,0,0,0,0.109267805504743,correct
49,1,AQ,1,0,0,-0.035773122048882576,correct
50,1,AQ,0,1,1,0.2748395800846304,correct
51,1,AQ,1,1,1,0.14233942970346594,correct
52,0,AS,0,0,0,-0.12383550802974042,correct
53,1,AS,1,0,0,-0.025370159798353505,correct
54,1,AS,0,1,1,0.0023358149208469814,correct
55,1,AS,1,1,1,-0.006960320428697059,correct
56,0,AT,0,0,0,0.06429466666764302,correct
57,1,AT,1,0,0,0.1944040894052117,correct
58,1,AT,0,1,1,0.18473631346872638,correct
59,1,AT,1,1,1,0.08063034407980868,correct
60,0,AV,0,0,0,0.10515319042887715,correct
61,1,AV,1,0,0,0.24182635731705646,correct
62,1,AV,0,1,1,0.15426892915440193,correct
63,1,AV,1,1,1,0.20958863161850694,correct
64,0,AX,0,0,0,-0.06778334649516754,correct
65,1,AX,1,0,0,0.3827084675832963,correct
66,1,AX,0,1,1,-0.07559897052467839,correct
67,1,AX,1,1,1,0.2468230534093701,correct
68,0,AZ,0,0,0,-0.041538239573067424,correct
69,1,AZ,1,0,0,0.07106426270045738,correct
70,1,AZ,0,1,1,0.06044557804543214,correct
71,1,AZ,1,1,1,-0.22993104526441738,correct
72,0,BA,0,0,0,0.19531777824636132,correct
73,1,BA,1,0,0,0.29729039544457164,correct
74,1,BA,0,1,1,-0.09902482407791842,correct
75,1,BA,1,1,1,0.3178547971111284,correct
76,0,BB,0,0,0,0.1198051729015972,correct
77,1,BB,1,0,0,0.3902710622879542,correct
78,1,BB,0,1,1,-0.10634282819898011,correct
79,1,BB,1,1,1,0.02104972331189546,correct
80,0,BC,0,0,0,-0.29233642446610886,correct
81,1,BC,1,0,0,-0.6449737697908244,correct
82,1,BC,0,1,1,-0.31443463098441693,correct
83,1,BC,1,1,1,-0.2852011628144468,correct
84,0,IAA,0,0,0,-0.10861301919094485,correct
85,1,IAA,1,0,0,-0.18519632528666252,correct
86,1,IAA,0,1,1,0.02258501152587359,correct
87,1,IAA,1,1,1,0.007967787398290547,correct
88,0,IAC,0,0,0,-0.0693924516227037,correct
89,1,IAC,1,0,0,-0.11212252264631768,correct
90,1,IAC,0,1,1,0.22506279735158963,correct
91,1,IAC,1,1,1,-0.005832809653982578,correct
92,0,IAF,0,0,0,-0.09177195057992732,correct
93,1,IAF,1,0,0,-0.14356601755128195,correct
94,1,IAF,0,1,1,-0.4859900664947099,correct
95,1,IAF,1,1,1,0.24336982415252922,correct
96,0,IAH,0,0,0,0.14510542944169708,correct
97,1,IAH,1,0,0,0.6398899081687891,correct
98,1,IAH,0,1,1,0.5167501763588009,correct
99,1,IAH,1,1,1,0.4846567003949472,correct
100,0,IAJ,0,0,0,0.021294070241265735,correct
101,1,IAJ,1,0,0,0.09169438200461955,correct
102,1,IAJ,0,1,1,0.008260719992070916,correct
103,1,IAJ,1,1,1,0.04641575248038855,correct
104,0,IAK,0,0,0,-0.002516615162924971,correct
105,1,IAK,1,0,0,-0.17055934906392334,correct
106,1,IAK,0,1,1,-0.0862129573066352,correct
107,1,IAK,1,1,1,-0.10673115348872816,correct
108,0,IAL,0,0,0,0.40661896315236373,correct
109,1,IAL,1,0,0,0.795277322540321,correct
110,1,IAL,0,1,1,0.7434074480817378,correct
111,1,IAL,1,1,1,1.176757129561062,correct
112,0,IAM,0,0,0,0.13373341488599186,correct
113,1,IAM,1,0,0,0.06420081882604661,correct
114,1,IAM,0,1,1,0.09205321442540566,correct
115,1,IAM,1,1,1,0.00758898837346779,correct
116,0,IAN,0,0,0,-0.007688102381328384,correct
117,1,IAN,1,0,0,0.34309004483482,correct
118,1,IAN,0,1,1,0.13445132147038974,correct
119,1,IAN,1,1,1,-0.02502962726468671,correct
120,0,IAO,0,0,0,0.046410851784911666,correct
121,1,IAO,1,0,0,0.33284598668260673,correct
122,1,IAO,0,1,1,0.371591182405144,correct
123,1,IAO,1,1,1,0.5122582199722929,correct
124,0,IAP,0,0,0,0.3382802232776482,correct
125,1,IAP,1,0,0,0.260089596063459,correct
126,1,IAP,0,1,1,0.4989849367683492,correct
127,1,IAP,1,1,1,0.30148645946103586,correct
128,0,IAQ,0,0,0,-0.02900802557455339,correct
129,1,IAQ,1,0,0,-0.44263033168878413,correct
130,1,IAQ,0,1,1,0.27424965667963397,correct
131,1,IAQ,1,1,1,0.21526451272097885,correct
132,0,AB,0,0,0,0.645177566905552,incorrect
133,1,AB,1,0,0,0.9158418108240193,incorrect
134,1,AB,0,1,1,1.3859337341758073,incorrect
135,1,AB,1,1,1,0.3603857320484726,incorrect
136,0,AC,0,0,0,0.8197765191170793,incorrect
137,1,AC,1,0,0,0.37437490950280017,incorrect
138,1,AC,0,1,1,0.48910686994229635,incorrect
139,1,AC,1,1,1,0.7875603080066212,incorrect
140,0,AF,0,0,0,-0.008960137999491167,incorrect
141,1,AF,1,0,0,0.43237966730244815,incorrect
142,1,AF,0,1,1,0.43580250744055254,incorrect
143,1,AF,1,1,1,0.5807478039065151,incorrect
144,0,AH,0,0,0,0.02966942685843205,incorrect
145,1,AH,1,0,0,0.5740449124147413,incorrect
146,1,AH,0,1,1,-0.8714067754683439,incorrect
147,1,AH,1,1,1,0.06767064204058518,incorrect
148,0,AI,0,0,0,0.15337635030195282,incorrect
149,1,AI,1,0,0,0.1908164063212837,incorrect
150,1,AI,0,1,1,-0.1303694416139481,incorrect
151,1,AI,1,1,1,0.35495206080637787,incorrect
152,0,AJ,0,0,0,-0.02763131292581156,incorrect
153,1,AJ,1,0,0,-0.17445992616805006,incorrect
154,1,AJ,0,1,1,-0.08618917122058377,incorrect
155,1,AJ,1,1,1,-0.08287398157062646,incorrect
156,0,AK,0,0,0,-0.4568988946772705,incorrect
157,1,AK,1,0,0,0.26947644227553413,incorrect
158,1,AK,0,1,1,-0.4654697422055575,incorrect
159,1,AK,1,1,1,0.9184941101105005,incorrect
160,0,AL,0,0,0,0.4619973659667999,incorrect
161,1,AL,1,0,0,0.1902159751984871,incorrect
162,1,AL,0,1,1,0.4841764315950093,incorrect
163,1,AL,1,1,1,-0.049371722991899236,incorrect
164,0,AM,0,0,0,0.38078288348326195,incorrect
165,1,AM,1,0,0,0.41720383533334987,incorrect
166,1,AM,0,1,1,0.02258548761969003,incorrect
167,1,AM,1,1,1,-0.5624112742350175,incorrect
168,0,AN,0,0,0,0.3811441283626876,incorrect
169,1,AN,1,0,0,1.1645029269628187,incorrect
170,1,AN,0,1,1,-0.08440275432924205,incorrect
171,1,AN,1,1,1,0.2281451539511053,incorrect
172,0,AO,0,0,0,0.5200501932572223,incorrect
173,1,AO,1,0,0,0.6259427416831667,incorrect
174,1,AO,0,1,1,1.0243858179406122,incorrect
175,1,AO,1,1,1,0.3874984896354563,incorrect
176,0,AP,0,0,0,0.411187338815512,incorrect
177,1,AP,1,0,0,0.382641619543689,incorrect
178,1,AP,0,1,1,0.23651176392259135,incorrect
179,1,AP,1,1,1,-0.2762900395803127,incorrect
180,0,AQ,0,0,0,0.20947531690311866,incorrect
181,1,AQ,1,0,0,0.465987717742842,incorrect
182,1,AQ,0,1,1,0.264652700231325,incorrect
183,1,AQ,1,1,1,0.3580197975247351,incorrect
184,0,AS,0,0,0,-0.39919118403423676,incorrect
185,1,AS,1,0,0,0.11897439195642243,incorrect
186,1,AS,0,1,1,0.7701323732306486,incorrect
187,1,AS,1,1,1,0.47519323929045,incorrect
188,0,AT,0,0,0,0.005816334979919888,incorrect
189,1,AT,1,0,0,-0.3139810884998066,incorrect
190,1,AT,0,1,1,0.2637182498540211,incorrect
191,1,AT,1,1,1,-0.13835597252422202,incorrect
192,0,AV,0,0,0,0.2727920739023787,incorrect
193,1,AV,1,0,0,0.8508831153061103,incorrect
194,1,AV,0,1,1,0.4838801208003866,incorrect
195,1,AV,1,1,1,0.5215450093472439,incorrect
196,0,AX,0,0,0,-0.012551302075397588,incorrect
197,1,AX,1,0,0,0.009678108727186963,incorrect
198,1,AX,0,1,1,-0.15294377320564193,incorrect
199,1,AX,1,1,1,1.230521919921996,incorrect
200,0,AZ,0,0,0,0.026833268795424713,incorrect
201,1,AZ,1,0,0,-0.19079201969975332,incorrect
202,1,AZ,0,1,1,0.18942301125731606,incorrect
203,1,AZ,1,1,1,0.48338132915322113,incorrect
204,0,BA,0,0,0,0.35424174448452295,incorrect
205,1,BA,1,0,0,0.35619591551803725,incorrect
206,1,BA,0,1,1,-0.01100531611312762,incorrect
207,1,BA,1,1,1,0.5672249274820209,incorrect
208,0,BB,0,0,0,-0.2015616299321476,incorrect
