,PredError,Sub,TI,TR,TaskRel,pupil,type
0,0,AB,0,0,0,-0.038029271297368716,correct
1,1,AB,1,0,0,0.009251544076640186,correct
2,1,AB,0,1,1,0.07020239486390804,correct
3,1,AB,1,1,1,0.0020112267164766806,correct
4,0,AC,0,0,0,0.20885828400826403,correct
5,1,AC,1,0,0,-0.006898977175298042,correct
6,1,AC,0,1,1,0.19570947880414066,correct
7,1,AC,1,1,1,0.15774061971810066,correct
8,0,AF,0,0,0,0.005598996115796529,correct
9,1,AF,1,0,0,-0.11910248509716924,correct
10,1,AF,0,1,1,-0.14503769957442159,correct
11,1,AF,1,1,1,-0.0986686946668683,correct
12,0,AH,0,0,0,0.30837669081186736,correct
13,1,AH,1,0,0,0.29294808600554495,correct
14,1,AH,0,1,1,0.16255957268810242,correct
15,1,AH,1,1,1,0.21456893178587705,correct
16,0,AI,0,0,0,-0.04651253913874355,correct
17,1,AI,1,0,0,-0.03964168805625933,correct
18,1,AI,0,1,1,-0.05082377093875612,correct
19,1,AI,1,1,1,-0.14085440579004735,correct
20,0,AJ,0,0,0,-0.01707015734336846,correct
21,1,AJ,1,0,0,0.0421000780408613,correct
22,1,AJ,0,1,1,0.03715575856297739,correct
23,1,AJ,1,1,1,0.0013585141277562738,correct
24,0,AK,0,0,0,0.006178711347564827,correct
25,1,AK,1,0,0,0.05111038712011095,correct
26,1,AK,0,1,1,0.05089346969873809,correct
27,1,AK,1,1,1,0.13905547982294172,correct
28,0,AL,0,0,0,-0.0010283639496079908,correct
29,1,AL,1,0,0,0.08069541825217673,correct
30,1,AL,0,1,1,0.02088323161421393,correct
31,1,AL,1,1,1,-0.09344154849351494,correct
32,0,AM,0,0,0,-0.11083544546181988,correct
33,1,AM,1,0,0,-0.02325566493407094,correct
34,1,AM,0,1,1,-0.15363647569602332,correct
35,1,AM,1,1,1,-0.1482583268332286,correct
36,0,AN,0,0,0,-0.05711359743332307,correct
37,1,AN,1,0,0,0.08735842834215715,correct
38,1,AN,0,1,1,0.19564539738554504,correct
39,1,AN,1,1,1,0.16381257619913472,correct
40,0,AO,0,0,0,0.06373859944117177,correct
41,1,AO,1,0,0,0.06456913349334836,correct
42,1,AO,0,1,1,0.009701871815540088,correct
43,1,AO,1,1,1,0.024637019783512473,correct
44,0,AP,0,0,0,0.1385646739995815,correct
45,1,AP,1,0,0,0.11723471773328545,correct
46,1,AP,0,1,1,0.09326707260116579,correct
47,1,AP,1,1,1,0.13342222035115664,correct
48,0,AQ,0,0,0,-0.07186313175509648,correct
49,1,AQ,1,0,0,-0.2019933615881963,correct
50,1,AQ,0,1,1,0.13924621059612444,correct
51,1,AQ,1,1,1,-0.1144799624960988,correct
52,0,AS,0,0,0,0.05799023645869166,correct
53,1,AS,1,0,0,-0.01311463269506516,correct
54,1,AS,0,1,1,0.06658189134994386,correct
55,1,AS,1,1,1,-0.1258599287978364,correct
56,0,AT,0,0,0,-0.003610231000869683,correct
57,1,AT,1,0,0,0.13305796539826437,correct
58,1,AT,0,1,1,0.11480288086020157,correct
59,1,AT,1,1,1,0.0695571999880509,correct
60,0,AV,0,0,0,0.07452797563112054,correct
61,1,AV,1,0,0,-0.0851829274396005,correct
62,1,AV,0,1,1,-0.060231891857942754,correct
63,1,AV,1,1,1,0.18019852401805228,correct
64,0,AX,0,0,0,-0.12844902253248663,correct
65,1,AX,1,0,0,-0.08532127048994355,correct
66,1,AX,0,1,1,-0.04330784082533931,correct
67,1,AX,1,1,1,-0.06044846076625637,correct
68,0,AZ,0,0,0,0.1641195612684226,correct
69,1,AZ,1,0,0,0.20531003156658495,correct
70,1,AZ,0,1,1,0.15609368324578834,correct
71,1,AZ,1,1,1,0.17440889045377173,correct
72,0,BA,0,0,0,-0.1127823869314794,correct
73,1,BA,1,0,0,-0.007841363189626017,correct
74,1,BA,0,1,1,-0.04445525518373976,correct
75,1,BA,1,1,1,-0.1381966943657673,correct
76,0,BB,0,0,0,-0.00012103086451667596,correct
77,1,BB,1,0,0,0.29144556391533516,correct
78,1,BB,0,1,1,0.03994947460870092,correct
79,1,BB,1,1,1,0.04350246227763602,correct
80,0,BC,0,0,0,-0.26495586275522215,correct
81,1,BC,1,0,0,-0.37263675764305576,correct
82,1,BC,0,1,1,-0.3720386206433055,correct
83,1,BC,1,1,1,-0.3009184836486515,correct
84,0,IAA,0,0,0,-0.24554892082351715,correct
85,1,IAA,1,0,0,-0.5457320200619792,correct
86,1,IAA,0,1,1,-0.2416574805677361,correct
87,1,IAA,1,1,1,-0.2849468797168493,correct
88,0,IAC,0,0,0,0.3406886734095859,correct
89,1,IAC,1,0,0,0.4718302980864328,correct
90,1,IAC,0,1,1,0.3423593610313013,correct
91,1,IAC,1,1,1,0.21018067805319363,correct
92,0,IAF,0,0,0,-0.07201243591399212,correct
93,1,IAF,1,0,0,-0.08291469710574467,correct
94,1,IAF,0,1,1,-0.1540371397144672,correct
95,1,IAF,1,1,1,0.15710334864541337,correct
96,0,IAH,0,0,0,-0.07490760429228688,correct
97,1,IAH,1,0,0,0.2085045794532324,correct
98,1,IAH,0,1,1,-0.04545382726818889,correct
99,1,IAH,1,1,1,0.16421689475276607,correct
100,0,IAJ,0,0,0,0.034930039687317144,correct
101,1,IAJ,1,0,0,0.03212059878171536,correct
102,1,IAJ,0,1,1,0.09800611548448174,correct
103,1,IAJ,1,1,1,-0.04573172150671416,correct
104,0,IAK,0,0,0,-0.048825807127677846,correct
105,1,IAK,1,0,0,-0.2386518857198237,correct
106,1,IAK,0,1,1,-0.09441563305052045,correct
107,1,IAK,1,1,1,-0.08206454918905128,correct
108,0,IAL,0,0,0,-0.2251767025076332,correct
109,1,IAL,1,0,0,-0.14072015514522918,correct
110,1,IAL,0,1,1,-0.21211407469112054,correct
111,1,IAL,1,1,1,0.014191391225462972,correct
112,0,IAM,0,0,0,-0.23674331644754723,correct
113,1,IAM,1,0,0,-0.15220466670950833,correct
114,1,IAM,0,1,1,-0.07844117105575078,correct
115,1,IAM,1,1,1,-0.556659640692384,correct
116,0,IAN,0,0,0,0.01995452993363598,correct
117,1,IAN,1,0,0,-0.010490172434297073,correct
118,1,IAN,0,1,1,0.23520367278924806,correct
119,1,IAN,1,1,1,-0.31814662046448416,correct
120,0,IAO,0,0,0,-0.07294542264067727,correct
121,1,IAO,1,0,0,-0.3078973334273646,correct
122,1,IAO,0,1,1,-0.06711531058579677,correct
123,1,IAO,1,1,1,0.09248307765390557,correct
124,0,IAP,0,0,0,-0.1343886039557602,correct
125,1,IAP,1,0,0,-0.2880965850471105,correct
126,1,IAP,0,1,1,-0.20375572470854,correct
127,1,IAP,1,1,1,-0.2777216606638892,correct
128,0,IAQ,0,0,0,-0.004231652154329691,correct
129,1,IAQ,1,0,0,-0.222176337343609,correct
130,1,IAQ,0,1,1,0.1619763983468453,correct
131,1,IAQ,1,1,1,0.02214770995054639,correct
132,0,AB,0,0,0,-0.06633720659735212,incorrect
133,1,AB,1,0,0,0.03498696046318876,incorrect
134,1,AB,0,1,1,0.2501059167597237,incorrect
135,1,AB,1,1,1,0.2377012283832989,incorrect
136,0,AC,0,0,0,0.08428857763760021,incorrect
137,1,AC,1,0,0,0.304818725667639,incorrect
138,1,AC,0,1,1,-0.16298707119256867,incorrect
139,1,AC,1,1,1,0.9301543456248549,incorrect
140,0,AF,0,0,0,-0.036126536719132886,incorrect
141,1,AF,1,0,0,0.03434016851411103,incorrect
142,1,AF,0,1,1,-0.0042396674962070224,incorrect
143,1,AF,1,1,1,0.011479107399541383,incorrect
144,0,AH,0,0,0,0.2640350087598727,incorrect
145,1,AH,1,0,0,0.4497979836482725,incorrect
146,1,AH,0,1,1,-0.12060538598615883,incorrect
147,1,AH,1,1,1,-0.14938683470178016,incorrect
148,0,AI,0,0,0,0.004290074556758724,incorrect
149,1,AI,1,0,0,0.03234198529711408,incorrect
150,1,AI,0,1,1,0.02710748442115857,incorrect
151,1,AI,1,1,1,-0.17775515534440803,incorrect
152,0,AJ,0,0,0,0.02197223166194473,incorrect
153,1,AJ,1,0,0,-0.10394640904495034,incorrect
154,1,AJ,0,1,1,-0.005943439781692004,incorrect
155,1,AJ,1,1,1,0.11092209355984267,incorrect
156,0,AK,0,0,0,0.08245131891440999,incorrect
157,1,AK,1,0,0,0.12353867029103291,incorrect
158,1,AK,0,1,1,0.26104202826908535,incorrect
159,1,AK,1,1,1,0.12810399979252923,incorrect
160,0,AL,0,0,0,-0.021231992337610476,incorrect
161,1,AL,1,0,0,-0.10236954521510219,incorrect
162,1,AL,0,1,1,-0.05327978522807393,incorrect
163,1,AL,1,1,1,0.02306970634728165,incorrect
164,0,AM,0,0,0,-0.06141276144773278,incorrect
165,1,AM,1,0,0,-0.14677422895100029,incorrect
166,1,AM,0,1,1,-0.31212193049621423,incorrect
167,1,AM,1,1,1,-0.40594267267039563,incorrect
168,0,AN,0,0,0,-0.06460422246960129,incorrect
169,1,AN,1,0,0,0.2824155434847325,incorrect
170,1,AN,0,1,1,0.07407497595588956,incorrect
171,1,AN,1,1,1,0.10830837899679396,incorrect
