,PredError,Sub,TI,TR,TaskRel,pupil,type
0,0,AB,0,0,0,0.3780793334112007,correct
1,1,AB,1,0,0,0.4432479216294622,correct
2,1,AB,0,1,1,0.3428054891589247,correct
3,1,AB,1,1,1,0.21248954592465025,correct
4,0,AC,0,0,0,0.7853410347650722,correct
5,1,AC,1,0,0,0.612600141930107,correct
6,1,AC,0,1,1,0.5319906850177583,correct
7,1,AC,1,1,1,0.9013195457838239,correct
8,0,AF,0,0,0,0.09794009254373412,correct
9,1,AF,1,0,0,-0.0945445458201867,correct
10,1,AF,0,1,1,0.2606634329656329,correct
11,1,AF,1,1,1,0.023859105600546524,correct
12,0,AH,0,0,0,0.6874113753379155,correct
13,1,AH,1,0,0,0.9262346740824534,correct
14,1,AH,0,1,1,0.4639994178315248,correct
15,1,AH,1,1,1,0.8553155830022906,correct
16,0,AI,0,0,0,0.36456929160308055,correct
17,1,AI,1,0,0,0.2878067929380343,correct
18,1,AI,0,1,1,0.508891289919562,correct
19,1,AI,1,1,1,0.3385466806739853,correct
20,0,AJ,0,0,0,0.5765160785538811,correct
21,1,AJ,1,0,0,0.833675977758998,correct
22,1,AJ,0,1,1,0.977376387439501,correct
23,1,AJ,1,1,1,0.6949715387430178,correct
24,0,AK,0,0,0,-0.04055424844048483,correct
25,1,AK,1,0,0,0.19293290083909675,correct
26,1,AK,0,1,1,0.1253987931680018,correct
27,1,AK,1,1,1,0.32137269908705923,correct
28,0,AL,0,0,0,0.33537142994653113,correct
29,1,AL,1,0,0,0.27668231346090444,correct
30,1,AL,0,1,1,0.31949050365667536,correct
31,1,AL,1,1,1,0.21927182456560984,correct
32,0,AM,0,0,0,0.4900800635199929,correct
33,1,AM,1,0,0,0.4320119935139951,correct
34,1,AM,0,1,1,0.33035696446365226,correct
35,1,AM,1,1,1,0.5652473435960271,correct
36,0,AN,0,0,0,0.18124852304324715,correct
37,1,AN,1,0,0,0.46655253983055284,correct
38,1,AN,0,1,1,0.5949152851097077,correct
39,1,AN,1,1,1,0.2771831419427586,correct
40,0,AO,0,0,0,0.6780488866270771,correct
41,1,AO,1,0,0,0.6222852616443492,correct
42,1,AO,0,1,1,0.8075167748130951,correct
43,1,AO,1,1,1,0.788080035706515,correct
44,0,AP,0,0,0,0.4654781379272314,correct
45,1,AP,1,0,0,0.3141841538698299,correct
46,1,AP,0,1,1,0.2836041108268672,correct
47,1,AP,1,1,1,0.3772258265277707,correct
48,0,AQ,0,0,0,0.6177937236337394,correct
49,1,AQ,1,0,0,0.5533481047703859,correct
50,1,AQ,0,1,1,0.5581690888894779,correct
51,1,AQ,1,1,1,0.5579568514444788,correct
52,0,AS,0,0,0,0.4263983773179834,correct
53,1,AS,1,0,0,0.619019937027697,correct
54,1,AS,0,1,1,0.5622503415019181,correct
55,1,AS,1,1,1,0.25199411229166196,correct
56,0,AT,0,0,0,0.23147270738771697,correct
57,1,AT,1,0,0,0.4425195262107779,correct
58,1,AT,0,1,1,0.33553189782661147,correct
59,1,AT,1,1,1,0.168624765835104,correct
60,0,AV,0,0,0,0.09380181102529392,correct
61,1,AV,1,0,0,-0.2502916087246975,correct
62,1,AV,0,1,1,-0.005898602766457539,correct
63,1,AV,1,1,1,0.2155490871284627,correct
64,0,AX,0,0,0,0.27330440538732925,correct
65,1,AX,1,0,0,0.5951770139609455,correct
66,1,AX,0,1,1,0.3985723811195037,correct
67,1,AX,1,1,1,0.6056193628789324,correct
68,0,AZ,0,0,0,0.5108079367939017,correct
69,1,AZ,1,0,0,0.6911839045602564,correct
70,1,AZ,0,1,1,0.7164534444048867,correct
71,1,AZ,1,1,1,0.456854454233742,correct
72,0,BA,0,0,0,0.4034001905866565,correct
73,1,BA,1,0,0,0.5574728180770138,correct
74,1,BA,0,1,1,0.5125802507796768,correct
75,1,BA,1,1,1,0.38378162110340125,correct
76,0,BB,0,0,0,0.10047987978423475,correct
77,1,BB,1,0,0,0.3069984151968966,correct
78,1,BB,0,1,1,0.04759929426934047,correct
79,1,BB,1,1,1,0.19477112114142267,correct
80,0,BC,0,0,0,-0.05884216150952021,correct
81,1,BC,1,0,0,-0.23639464849317954,correct
82,1,BC,0,1,1,-0.3981034978548781,correct
83,1,BC,1,1,1,-0.001292213616988928,correct
84,0,IAA,0,0,0,0.4549382309375148,correct
85,1,IAA,1,0,0,0.19834154002215618,correct
86,1,IAA,0,1,1,0.6849298610941043,correct
87,1,IAA,1,1,1,0.662945245012579,correct
88,0,IAC,0,0,0,0.885237241736527,correct
89,1,IAC,1,0,0,0.6683484031766816,correct
90,1,IAC,0,1,1,0.8363733138040933,correct
91,1,IAC,1,1,1,0.5967604909861921,correct
92,0,IAF,0,0,0,0.6596841356661065,correct
93,1,IAF,1,0,0,0.8962680786443228,correct
94,1,IAF,0,1,1,0.593264207534343,correct
95,1,IAF,1,1,1,0.9947421164632627,correct
96,0,IAH,0,0,0,0.4983725698051483,correct
97,1,IAH,1,0,0,1.2352989715908547,correct
98,1,IAH,0,1,1,0.401607364386463,correct
99,1,IAH,1,1,1,1.3466581278220753,correct
100,0,IAJ,0,0,0,0.9394310560281283,correct
101,1,IAJ,1,0,0,1.2189288015117261,correct
102,1,IAJ,0,1,1,1.1269887621182892,correct
103,1,IAJ,1,1,1,0.8596098428606029,correct
104,0,IAK,0,0,0,0.6364795848327826,correct
105,1,IAK,1,0,0,0.46365221655291244,correct
106,1,IAK,0,1,1,0.5308000600156006,correct
107,1,IAK,1,1,1,0.3517553337516073,correct
108,0,IAL,0,0,0,1.0611967439652021,correct
109,1,IAL,1,0,0,1.2880332159248917,correct
110,1,IAL,0,1,1,1.17328090592392,correct
111,1,IAL,1,1,1,1.6079110907226126,correct
112,0,IAM,0,0,0,0.7054031385136369,correct
113,1,IAM,1,0,0,0.4622331246935665,correct
114,1,IAM,0,1,1,0.6603826441481967,correct
115,1,IAM,1,1,1,0.6256154780248747,correct
116,0,IAN,0,0,0,0.8477511511802607,correct
117,1,IAN,1,0,0,0.8253945927311345,correct
118,1,IAN,0,1,1,0.8505875820923894,correct
119,1,IAN,1,1,1,0.941218316790807,correct
120,0,IAO,0,0,0,0.769374767494654,correct
121,1,IAO,1,0,0,0.7800343314973424,correct
122,1,IAO,0,1,1,1.0002031814605328,correct
123,1,IAO,1,1,1,1.1323724393384453,correct
124,0,IAP,0,0,0,0.9556220698220769,correct
125,1,IAP,1,0,0,0.5899112926372425,correct
