,PredError,Sub,TI,TR,TaskRel,pupil,type
0,0,AB,0,0,0,0.5852876861159797,correct
1,1,AB,1,0,0,0.687507182009615,correct
2,1,AB,0,1,1,0.6329631053371327,correct
3,1,AB,1,1,1,0.2827405802497893,correct
4,0,AC,0,0,0,0.6743856602040819,correct
5,1,AC,1,0,0,0.4923418953220068,correct
6,1,AC,0,1,1,0.3700821066011276,correct
7,1,AC,1,1,1,0.8715467923352462,correct
8,0,AF,0,0,0,0.13409756677782816,correct
9,1,AF,1,0,0,-0.10461929726505319,correct
10,1,AF,0,1,1,0.2598456917154912,correct
11,1,AF,1,1,1,0.003176654557661479,correct
12,0,AH,0,0,0,0.4589160531496643,correct
13,1,AH,1,0,0,0.7341605433032738,correct
14,1,AH,0,1,1,0.24510749209258853,correct
15,1,AH,1,1,1,0.555590835428685,correct
16,0,AI,0,0,0,0.06819281543083933,correct
17,1,AI,1,0,0,0.011251842453387076,correct
18,1,AI,0,1,1,0.03887621609545811,correct
19,1,AI,1,1,1,0.09022384082776598,correct
20,0,AJ,0,0,0,0.3294681170466727,correct
21,1,AJ,1,0,0,0.572740197776371,correct
22,1,AJ,0,1,1,0.6880347830232049,correct
23,1,AJ,1,1,1,0.5590504414037996,correct
24,0,AK,0,0,0,-0.24094651667546757,correct
25,1,AK,1,0,0,0.06150482133163675,correct
26,1,AK,0,1,1,-0.14928204118234917,correct
27,1,AK,1,1,1,0.17042492459943465,correct
28,0,AL,0,0,0,0.3151608704573225,correct
29,1,AL,1,0,0,0.21782798777781048,correct
30,1,AL,0,1,1,0.32859538947955896,correct
31,1,AL,1,1,1,0.20911939746476693,correct
32,0,AM,0,0,0,0.32198394724838375,correct
33,1,AM,1,0,0,0.29547429125860225,correct
34,1,AM,0,1,1,0.12197903485919377,correct
35,1,AM,1,1,1,0.3909411251743785,correct
36,0,AN,0,0,0,0.1757889336041107,correct
37,1,AN,1,0,0,0.489157286941025,correct
38,1,AN,0,1,1,0.381919043091972,correct
39,1,AN,1,1,1,0.14119096984011953,correct
40,0,AO,0,0,0,0.7176160364618925,correct
41,1,AO,1,0,0,0.5318386725618706,correct
42,1,AO,0,1,1,0.7604937970906006,correct
43,1,AO,1,1,1,0.6054483676584032,correct
44,0,AP,0,0,0,0.23596776205940198,correct
45,1,AP,1,0,0,0.03530012879738811,correct
46,1,AP,0,1,1,0.0900537772706719,correct
47,1,AP,1,1,1,0.0885771952723523,correct
48,0,AQ,0,0,0,0.5200382576616267,correct
49,1,AQ,1,0,0,0.4466054189393762,correct
50,1,AQ,0,1,1,0.3933059722373267,correct
51,1,AQ,1,1,1,0.5103891439516187,correct
52,0,AS,0,0,0,0.07011140967774931,correct
53,1,AS,1,0,0,0.30080322785348446,correct
54,1,AS,0,1,1,0.4214235075773677,correct
55,1,AS,1,1,1,-0.05574854120132077,correct
56,0,AT,0,0,0,0.34392632387281696,correct
57,1,AT,1,0,0,0.472619011380582,correct
58,1,AT,0,1,1,0.43977521970698996,correct
59,1,AT,1,1,1,0.26048398340153184,correct
60,0,AV,0,0,0,0.02952178432365642,correct
61,1,AV,1,0,0,-0.15545852693669207,correct
62,1,AV,0,1,1,0.03249527600464638,correct
63,1,AV,1,1,1,-0.06751954274513021,correct
64,0,AX,0,0,0,0.1602500932031283,correct
65,1,AX,1,0,0,0.5135479958715915,correct
66,1,AX,0,1,1,0.22754361199393774,correct
67,1,AX,1,1,1,0.6029664153980545,correct
68,0,AZ,0,0,0,0.3627634436241871,correct
69,1,AZ,1,0,0,0.5044782383692509,correct
70,1,AZ,0,1,1,0.5093136618627728,correct
71,1,AZ,1,1,1,0.3164661658361129,correct
72,0,BA,0,0,0,0.33053691559644377,correct
73,1,BA,1,0,0,0.48474728673592926,correct
74,1,BA,0,1,1,0.34055497103163584,correct
75,1,BA,1,1,1,0.3268001468031428,correct
76,0,BB,0,0,0,0.016969962736979743,correct
77,1,BB,1,0,0,0.24042121000787772,correct
78,1,BB,0,1,1,0.10769883148829378,correct
79,1,BB,1,1,1,0.09421812178830233,correct
80,0,BC,0,0,0,-0.144804420600277,correct
81,1,BC,1,0,0,-0.46528402548228376,correct
82,1,BC,0,1,1,-0.44035712270042504,correct
83,1,BC,1,1,1,0.018656317321728857,correct
84,0,IAA,0,0,0,0.5291277714952187,correct
85,1,IAA,1,0,0,0.33861455730304024,correct
86,1,IAA,0,1,1,0.6322835329340111,correct
87,1,IAA,1,1,1,0.6267589752409549,correct
88,0,IAC,0,0,0,0.4512132028650056,correct
89,1,IAC,1,0,0,0.34149932460117904,correct
90,1,IAC,0,1,1,0.7008144927046602,correct
91,1,IAC,1,1,1,0.1863772568853849,correct
92,0,IAF,0,0,0,0.42887472571937685,correct
93,1,IAF,1,0,0,0.26098433691998935,correct
94,1,IAF,0,1,1,0.33634744069908046,correct
95,1,IAF,1,1,1,0.6665250428800067,correct
96,0,IAH,0,0,0,0.20846484486770764,correct
97,1,IAH,1,0,0,0.6263880955541474,correct
98,1,IAH,0,1,1,0.09060561516380156,correct
99,1,IAH,1,1,1,1.1984059173625643,correct
100,0,IAJ,0,0,0,0.41676047905428004,correct
101,1,IAJ,1,0,0,0.7962827867204059,correct
102,1,IAJ,0,1,1,0.5055138836645032,correct
103,1,IAJ,1,1,1,0.2680943886949264,correct
104,0,IAK,0,0,0,-0.08418509514163268,correct
105,1,IAK,1,0,0,-0.4753029486301258,correct
106,1,IAK,0,1,1,-0.377718840153819,correct
107,1,IAK,1,1,1,0.018503204939769403,correct
108,0,IAL,0,0,0,1.1781850676073617,correct
109,1,IAL,1,0,0,1.3392512339389517,correct
110,1,IAL,0,1,1,1.091529776885561,correct
111,1,IAL,1,1,1,1.6676903341168927,correct
112,0,IAM,0,0,0,0.6065071964152196,correct
113,1,IAM,1,0,0,0.424020304330735,correct
114,1,IAM,0,1,1,0.7098364124470787,correct
115,1,IAM,1,1,1,0.5110598501486849,correct
116,0,IAN,0,0,0,0.2555733888351352,correct
117,1,IAN,1,0,0,0.34802497151994954,correct
118,1,IAN,0,1,1,0.3763969717687289,correct
119,1,IAN,1,1,1,0.15156944787085994,correct
120,0,IAO,0,0,0,0.48005274319616664,correct
121,1,IAO,1,0,0,0.7878301411006391,correct
122,1,IAO,0,1,1,1.190350861445157,correct
123,1,IAO,1,1,1,0.7099051275769405,correct
124,0,IAP,0,0,0,0.913088534810133,correct
125,1,IAP,1,0,0,0.5189373144109759,correct
126,1,IAP,0,1,1,0.7251904812467059,correct
127,1,IAP,1,1,1,0.6963945405354157,correct
128,0,IAQ,0,0,0,0.2541431829292216,correct
129,1,IAQ,1,0,0,-0.24788791037666907,correct
130,1,IAQ,0,1,1,0.3049172171185516,correct
131,1,IAQ,1,1,1,0.3065701366177975,correct
132,0,AB,0,0,0,0.696059219696603,incorrect
133,1,AB,1,0,0,0.837230941398168,incorrect
134,1,AB,0,1,1,0.9713897260624378,incorrect
135,1,AB,1,1,1,0.9407779039069675,incorrect
136,0,AC,0,0,0,0.8719571138442354,incorrect
137,1,AC,1,0,0,0.8364439523494325,incorrect
138,1,AC,0,1,1,0.692716723184329,incorrect
139,1,AC,1,1,1,2.5232132926618633,incorrect
140,0,AF,0,0,0,0.24020436399234404,incorrect
141,1,AF,1,0,0,0.13065985299397267,incorrect
142,1,AF,0,1,1,0.8030656899805843,incorrect
143,1,AF,1,1,1,0.3573635513192872,incorrect
144,0,AH,0,0,0,0.438290098851679,incorrect
145,1,AH,1,0,0,0.27491558577265474,incorrect
146,1,AH,0,1,1,-1.4645747252843688,incorrect
147,1,AH,1,1,1,-0.35135954767517896,incorrect
148,0,AI,0,0,0,0.26382845568275276,incorrect
149,1,AI,1,0,0,0.12941997891779344,incorrect
150,1,AI,0,1,1,0.08613095047920533,incorrect
151,1,AI,1,1,1,0.16021169051121548,incorrect
152,0,AJ,0,0,0,0.5110126936110665,incorrect
153,1,AJ,1,0,0,0.38447929107135576,incorrect
154,1,AJ,0,1,1,0.2874679426988999,incorrect
155,1,AJ,1,1,1,0.9770375987136016,incorrect
156,0,AK,0,0,0,-0.26846830527318966,incorrect
157,1,AK,1,0,0,0.9903987929648199,incorrect
158,1,AK,0,1,1,0.5299235677384273,incorrect
159,1,AK,1,1,1,0.8502501955298137,incorrect
160,0,AL,0,0,0,0.5187699454562492,incorrect
161,1,AL,1,0,0,-0.005188460105858422,incorrect
162,1,AL,0,1,1,0.6726501206194797,incorrect
163,1,AL,1,1,1,0.4730691128038152,incorrect
164,0,AM,0,0,0,0.2896224991761912,incorrect
165,1,AM,1,0,0,0.39639428117933495,incorrect
166,1,AM,0,1,1,0.5062078005983047,incorrect
167,1,AM,1,1,1,-0.08182428240048609,incorrect
168,0,AN,0,0,0,0.11902315717463031,incorrect
169,1,AN,1,0,0,1.1067062834963866,incorrect
170,1,AN,0,1,1,0.2127963490498982,incorrect
171,1,AN,1,1,1,0.05732262877052608,incorrect
172,0,AO,0,0,0,0.7467430227424159,incorrect
173,1,AO,1,0,0,0.1263481415974748,incorrect
174,1,AO,0,1,1,1.0897063145460404,incorrect
175,1,AO,1,1,1,1.5859167362868636,incorrect
176,0,AP,0,0,0,0.5062230034338393,incorrect
177,1,AP,1,0,0,0.35783172140813735,incorrect
178,1,AP,0,1,1,0.6252774316601324,incorrect
179,1,AP,1,1,1,-0.05366569642371601,incorrect
180,0,AQ,0,0,0,0.50299611631297,incorrect
181,1,AQ,1,0,0,0.6497833083578017,incorrect
182,1,AQ,0,1,1,0.3238731103578761,incorrect
183,1,AQ,1,1,1,0.48004642623956806,incorrect
184,0,AS,0,0,0,-0.12828993809394237,incorrect
185,1,AS,1,0,0,0.635890302105838,incorrect
186,1,AS,0,1,1,1.0618033931653295,incorrect
187,1,AS,1,1,1,0.2853671350887443,incorrect
188,0,AT,0,0,0,0.25179816090255774,incorrect
189,1,AT,1,0,0,0.22303929200046382,incorrect
190,1,AT,0,1,1,0.8449739922213758,incorrect
191,1,AT,1,1,1,0.10202065844824802,incorrect
192,0,AV,0,0,0,0.037075331197485135,incorrect
193,1,AV,1,0,0,0.030998661637943913,incorrect
194,1,AV,0,1,1,-0.1260340217199781,incorrect
195,1,AV,1,1,1,0.3555937765701861,incorrect
196,0,AX,0,0,0,0.2587617233294192,incorrect
197,1,AX,1,0,0,0.5609827095505114,incorrect
198,1,AX,0,1,1,0.2697745497456755,incorrect
199,1,AX,1,1,1,1.2219680020835388,incorrect
200,0,AZ,0,0,0,0.6481033993444396,incorrect
201,1,AZ,1,0,0,0.5471475146730178,incorrect
202,1,AZ,0,1,1,0.7130312340424397,incorrect
203,1,AZ,1,1,1,0.9280297462021521,incorrect
204,0,BA,0,0,0,0.4558051062445658,incorrect
205,1,BA,1,0,0,0.3744185788442842,incorrect
206,1,BA,0,1,1,0.2587318672830026,incorrect
207,1,BA,1,1,1,0.3499477539332417,incorrect
208,0,BB,0,0,0,-0.14156504296936792,incorrect
209,1,BB,1,0,0,-0.11979773824595134,incorrect
210,1,BB,0,1,1,0.6290668121968306,incorrect
211,1,BB,1,1,1,-0.09715087459518665,incorrect
212,0,BC,0,0,0,-0.25349689709632617,incorrect
213,1,BC,1,0,0,-0.9294523548443188,incorrect
214,1,BC,0,1,1,-0.3661575527917248,incorrect
215,1,BC,1,1,1,0.22785806960560362,incorrect
216,0,IAA,0,0,0,0.45850357382848655,incorrect
217,1,IAA,1,0,0,0.742911643234756,incorrect
218,1,IAA,0,1,1,0.647572607451092,incorrect
219,1,IAA,1,1,1,0.7136841997324673,incorrect
220,0,IAC,0,0,0,0.42756242803798117,incorrect
221,1,IAC,1,0,0,0.47795227209134206,incorrect
222,1,IAC,0,1,1,0.32690666892044173,incorrect
223,1,IAC,1,1,1,0.10905921415775312,incorrect
224,0,IAF,0,0,0,0.7481566310725808,incorrect
225,1,IAF,1,0,0,0.11847258894715595,incorrect
226,1,IAF,0,1,1,0.5319214993803025,incorrect
227,1,IAF,1,1,1,0.4879411192457674,incorrect
228,0,IAH,0,0,0,0.37434037135149645,incorrect
229,1,IAH,1,0,0,0.1799123402835343,incorrect
230,1,IAH,0,1,1,-0.08658782202790669,incorrect
231,1,IAH,1,1,1,1.0083101050422898,incorrect
232,0,IAJ,0,0,0,0.9938924070175648,incorrect
233,1,IAJ,1,0,0,1.0286962103780986,incorrect
234,1,IAJ,0,1,1,0.40371770210251495,incorrect
235,1,IAJ,1,1,1,0.7941381039810994,incorrect
236,0,IAK,0,0,0,0.16501043935772955,incorrect
237,1,IAK,1,0,0,1.0553561340419673,incorrect
238,1,IAK,0,1,1,-0.5951670125439394,incorrect
239,1,IAK,1,1,1,0.23412005346492276,incorrect
240,0,IAL,0,0,0,1.1542795574324247,incorrect
241,1,IAL,1,0,0,1.4574016430440897,incorrect
242,1,IAL,0,1,1,1.8404844565978173,incorrect
243,1,IAL,1,1,1,1.6370213962863303,incorrect
244,0,IAM,0,0,0,0.6064734960204616,incorrect
245,1,IAM,1,0,0,0.022961380428052597,incorrect
246,1,IAM,0,1,1,-0.0931593849129692,incorrect
247,1,IAM,1,1,1,0.2385668468426076,incorrect
248,0,IAN,0,0,0,0.851236209035642,incorrect
249,1,IAN,1,0,0,0.19078324465748134,incorrect
250,1,IAN,0,1,1,0.5236036310829093,incorrect
251,1,IAN,1,1,1,0.7917357442531774,incorrect
252,0,IAO,0,0,0,0.6017716886720337,incorrect
253,1,IAO,1,0,0,0.9516628919825411,incorrect
254,1,IAO,0,1,1,1.4259860150520498,incorrect
255,1,IAO,1,1,1,1.6433806909067412,incorrect
256,0,IAP,0,0,0,0.7826760502422463,incorrect
257,1,IAP,1,0,0,-0.06523246490460814,incorrect
258,1,IAP,0,1,1,0.4674008879553523,incorrect
259,1,IAP,1,1,1,1.1625178374833534,incorrect
260,0,IAQ,0,0,0,0.40923476645588497,incorrect
261,1,IAQ,1,0,0,-0.24557576010288884,incorrect
262,1,IAQ,0,1,1,0.4150050777222606,incorrect
263,1,IAQ,1,1,1,0.6569373795132956,incorrect
