,PredError,Sub,TI,TR,TaskRel,pupil,type
0,0,AB,0,0,0,0.012216172494380761,correct
1,1,AB,1,0,0,0.004118838061719607,correct
2,1,AB,0,1,1,0.043327159525789166,correct
3,1,AB,1,1,1,0.009919137888436002,correct
4,0,AC,0,0,0,-0.0902350170958561,correct
5,1,AC,1,0,0,0.030240287571834022,correct
6,1,AC,0,1,1,-0.03937684134397952,correct
7,1,AC,1,1,1,-0.12014450641890774,correct
8,0,AF,0,0,0,-0.053596177320478486,correct
9,1,AF,1,0,0,-0.032432266444990226,correct
10,1,AF,0,1,1,0.0018009885004711059,correct
11,1,AF,1,1,1,0.0033820951843897933,correct
12,0,AH,0,0,0,-0.03265798942658004,correct
13,1,AH,1,0,0,-0.03190860729443834,correct
14,1,AH,0,1,1,0.005054690984138941,correct
15,1,AH,1,1,1,-0.012956507067278503,correct
16,0,AI,0,0,0,-0.016506113055903278,correct
17,1,AI,1,0,0,0.005934667051042733,correct
18,1,AI,0,1,1,-0.009432906761737808,correct
19,1,AI,1,1,1,0.035391685594675384,correct
20,0,AJ,0,0,0,-0.016347722478281458,correct
21,1,AJ,1,0,0,0.030569800432489958,correct
22,1,AJ,0,1,1,-0.06747355245754033,correct
23,1,AJ,1,1,1,0.06617598564429186,correct
24,0,AK,0,0,0,0.01520928221975689,correct
25,1,AK,1,0,0,-0.043695753502260404,correct
26,1,AK,0,1,1,0.000483899668948929,correct
27,1,AK,1,1,1,0.01951002093558494,correct
28,0,AL,0,0,0,0.0743880233604128,correct
29,1,AL,1,0,0,0.003897988429497304,correct
30,1,AL,0,1,1,0.052269008055755434,correct
31,1,AL,1,1,1,0.1789360757898865,correct
32,0,AM,0,0,0,0.005662582122377262,correct
33,1,AM,1,0,0,0.09645339382982641,correct
34,1,AM,0,1,1,0.0663238221653502,correct
35,1,AM,1,1,1,0.07672041221612046,correct
36,0,AN,0,0,0,0.030002876891046196,correct
37,1,AN,1,0,0,-0.07472126792086654,correct
38,1,AN,0,1,1,-0.10657047871816651,correct
39,1,AN,1,1,1,-0.1243082071779395,correct
40,0,AO,0,0,0,-0.09979386799953444,correct
41,1,AO,1,0,0,-0.11947206788372892,correct
42,1,AO,0,1,1,-0.0992747688428379,correct
43,1,AO,1,1,1,-0.0921799073665755,correct
44,0,AP,0,0,0,-0.12709258541582313,correct
45,1,AP,1,0,0,-0.08482227995493867,correct
46,1,AP,0,1,1,-0.20805774979514474,correct
47,1,AP,1,1,1,-0.11014511625648221,correct
48,0,AQ,0,0,0,0.009217926072073713,correct
49,1,AQ,1,0,0,-0.057998949684975126,correct
50,1,AQ,0,1,1,-0.10955322685539223,correct
51,1,AQ,1,1,1,-0.11229309174811034,correct
52,0,AS,0,0,0,-0.03214916270047231,correct
53,1,AS,1,0,0,0.022032055015775508,correct
54,1,AS,0,1,1,-0.12785769597668573,correct
55,1,AS,1,1,1,0.09262237418198446,correct
56,0,AT,0,0,0,-0.12789796994260016,correct
57,1,AT,1,0,0,-0.1649936237296607,correct
58,1,AT,0,1,1,-0.08997249242823409,correct
59,1,AT,1,1,1,-0.08129623678177378,correct
60,0,AV,0,0,0,0.02354289689724029,correct
61,1,AV,1,0,0,0.07435059236114631,correct
62,1,AV,0,1,1,0.08662115781224305,correct
63,1,AV,1,1,1,-0.021264769883519503,correct
64,0,AX,0,0,0,0.015395138946424572,correct
65,1,AX,1,0,0,0.08406600066828299,correct
66,1,AX,0,1,1,-0.06164713489916379,correct
67,1,AX,1,1,1,0.05015518607973987,correct
68,0,AZ,0,0,0,0.005694349079576966,correct
69,1,AZ,1,0,0,0.013608687840376648,correct
70,1,AZ,0,1,1,0.022168862376607378,correct
71,1,AZ,1,1,1,0.02409255409589339,correct
72,0,BA,0,0,0,-0.0006578322813632721,correct
73,1,BA,1,0,0,0.04059810124352678,correct
74,1,BA,0,1,1,-0.00538114607619641,correct
75,1,BA,1,1,1,0.03264929663086947,correct
76,0,BB,0,0,0,-0.047625153917952495,correct
77,1,BB,1,0,0,-0.040634500701765816,correct
78,1,BB,0,1,1,-0.031479576348785024,correct
79,1,BB,1,1,1,0.02937190008406906,correct
80,0,BC,0,0,0,0.028687854705941745,correct
81,1,BC,1,0,0,0.005416895220921017,correct
82,1,BC,0,1,1,0.08418286964967117,correct
83,1,BC,1,1,1,-0.022077926497429408,correct
84,0,IAA,0,0,0,0.11645563190501512,correct
