,PredError,Sub,TI,TR,TaskRel,pupil,type
0,0,AB,0,0,0,0.5256742732194767,correct
1,1,AB,1,0,0,0.41908478021075446,correct
2,1,AB,0,1,1,0.6344252660554415,correct
3,1,AB,1,1,1,0.1627863230246974,correct
4,0,AC,0,0,0,0.4593443300474926,correct
5,1,AC,1,0,0,0.23769632460382956,correct
6,1,AC,0,1,1,0.2355722347748157,correct
7,1,AC,1,1,1,0.7178938145321099,correct
8,0,AF,0,0,0,0.0123836667679042,correct
9,1,AF,1,0,0,-0.15247242935735528,correct
10,1,AF,0,1,1,0.16539760322479768,correct
11,1,AF,1,1,1,0.11397824165340031,correct
12,0,AH,0,0,0,0.24034850335532065,correct
13,1,AH,1,0,0,0.6284418561665698,correct
14,1,AH,0,1,1,0.22912381915550697,correct
15,1,AH,1,1,1,0.41402292480625896,correct
16,0,AI,0,0,0,-0.0007205042047515493,correct
17,1,AI,1,0,0,-0.04509312172211061,correct
18,1,AI,0,1,1,-0.2071415707734804,correct
19,1,AI,1,1,1,0.098427861075298,correct
20,0,AJ,0,0,0,-0.08713688790236672,correct
21,1,AJ,1,0,0,0.06253322640813376,correct
22,1,AJ,0,1,1,0.18370172134477758,correct
23,1,AJ,1,1,1,0.11755350954418016,correct
24,0,AK,0,0,0,-0.2642916105417391,correct
25,1,AK,1,0,0,-0.22799152704027933,correct
26,1,AK,0,1,1,-0.15770464653583174,correct
27,1,AK,1,1,1,0.22917186823409302,correct
28,0,AL,0,0,0,0.2041635132878206,correct
29,1,AL,1,0,0,0.12336424352450835,correct
30,1,AL,0,1,1,0.10436809258398794,correct
31,1,AL,1,1,1,0.08904381528235841,correct
32,0,AM,0,0,0,0.24058165807859952,correct
33,1,AM,1,0,0,0.1466066183147498,correct
34,1,AM,0,1,1,0.04568701991117598,correct
35,1,AM,1,1,1,0.33530196491915476,correct
36,0,AN,0,0,0,0.0708734782517399,correct
37,1,AN,1,0,0,0.254869573915528,correct
38,1,AN,0,1,1,0.12039347516021703,correct
39,1,AN,1,1,1,0.13539502630686898,correct
40,0,AO,0,0,0,0.44512478609619965,correct
41,1,AO,1,0,0,0.5265516392494255,correct
42,1,AO,0,1,1,0.4291430260200721,correct
43,1,AO,1,1,1,0.09170186998880525,correct
44,0,AP,0,0,0,0.09618250967481715,correct
45,1,AP,1,0,0,-0.25743589875357775,correct
46,1,AP,0,1,1,-0.30882298946596104,correct
47,1,AP,1,1,1,-0.12133472927124508,correct
48,0,AQ,0,0,0,0.22892479149377562,correct
49,1,AQ,1,0,0,0.3816124944466585,correct
50,1,AQ,0,1,1,0.3107851698288431,correct
51,1,AQ,1,1,1,0.29027109263576373,correct
52,0,AS,0,0,0,-0.03762941441628225,correct
53,1,AS,1,0,0,0.024139968358762042,correct
54,1,AS,0,1,1,-0.049380054244819414,correct
