,PredError,Sub,TI,TR,TaskRel,pupil,type
0,0,AB,0,0,0,0.5233125977220282,correct
1,1,AB,1,0,0,0.39793452935025936,correct
2,1,AB,0,1,1,0.6352475846214969,correct
3,1,AB,1,1,1,0.15450104736758094,correct
4,0,AC,0,0,0,0.4588434614911892,correct
5,1,AC,1,0,0,0.235263395696253,correct
6,1,AC,0,1,1,0.22214228141383033,correct
7,1,AC,1,1,1,0.7122811239332204,correct
8,0,AF,0,0,0,0.011525331534595966,correct
9,1,AF,1,0,0,-0.13888693244897882,correct
10,1,AF,0,1,1,0.18410860467711548,correct
11,1,AF,1,1,1,0.13660266205218724,correct
12,0,AH,0,0,0,0.22992406226895573,correct
13,1,AH,1,0,0,0.6192990853090308,correct
14,1,AH,0,1,1,0.24947584763630998,correct
15,1,AH,1,1,1,0.3911706132390172,correct
16,0,AI,0,0,0,0.0034248296149086387,correct
17,1,AI,1,0,0,-0.043610335028675576,correct
18,1,AI,0,1,1,-0.20815411970160938,correct
19,1,AI,1,1,1,0.10463928224836878,correct
20,0,AJ,0,0,0,-0.09366465069063142,correct
21,1,AJ,1,0,0,0.03923656650018705,correct
22,1,AJ,0,1,1,0.17393864992465158,correct
23,1,AJ,1,1,1,0.12576620022073323,correct
24,0,AK,0,0,0,-0.2702712903971966,correct
25,1,AK,1,0,0,-0.23962754307465822,correct
26,1,AK,0,1,1,-0.1683785174438823,correct
27,1,AK,1,1,1,0.23902783220012067,correct
28,0,AL,0,0,0,0.2007159154239504,correct
29,1,AL,1,0,0,0.12472446639009893,correct
30,1,AL,0,1,1,0.09778034750332512,correct
31,1,AL,1,1,1,0.08380659557790973,correct
32,0,AM,0,0,0,0.24055584327961518,correct
33,1,AM,1,0,0,0.15232890149082676,correct
34,1,AM,0,1,1,0.06359323702061191,correct
35,1,AM,1,1,1,0.3304365504091587,correct
36,0,AN,0,0,0,0.0710200196516574,correct
37,1,AN,1,0,0,0.2347783290383648,correct
38,1,AN,0,1,1,0.11925189232761463,correct
39,1,AN,1,1,1,0.12299232545998634,correct
40,0,AO,0,0,0,0.41462033563433975,correct
41,1,AO,1,0,0,0.5258460818072983,correct
42,1,AO,0,1,1,0.4041454296329844,correct
43,1,AO,1,1,1,0.04618862861546122,correct
44,0,AP,0,0,0,0.09905954351138337,correct
45,1,AP,1,0,0,-0.25624983897059583,correct
46,1,AP,0,1,1,-0.32181258500406795,correct
47,1,AP,1,1,1,-0.13249891616991946,correct
48,0,AQ,0,0,0,0.22408897557673654,correct
49,1,AQ,1,0,0,0.36929204597063475,correct
50,1,AQ,0,1,1,0.2934354092497782,correct
51,1,AQ,1,1,1,0.271326355667752,correct
52,0,AS,0,0,0,-0.04262596507426244,correct
53,1,AS,1,0,0,0.0020565942238553476,correct
54,1,AS,0,1,1,-0.06348553089534154,correct
55,1,AS,1,1,1,-0.20403660626560574,correct
56,0,AT,0,0,0,0.22792928238313911,correct
57,1,AT,1,0,0,0.33534941381656747,correct
58,1,AT,0,1,1,0.29189183249289097,correct
59,1,AT,1,1,1,0.21328435395081022,correct
60,0,AV,0,0,0,0.06881181495859363,correct
61,1,AV,1,0,0,-0.0009121746825453881,correct
62,1,AV,0,1,1,0.14633677487835006,correct
63,1,AV,1,1,1,0.13231236585119058,correct
64,0,AX,0,0,0,0.005496049214007315,correct
65,1,AX,1,0,0,0.4294820722052722,correct
66,1,AX,0,1,1,-0.08828606791616107,correct
67,1,AX,1,1,1,0.48523439238931165,correct
68,0,AZ,0,0,0,0.17050569113448608,correct
69,1,AZ,1,0,0,0.21909342167032278,correct
70,1,AZ,0,1,1,0.2135045503001665,correct
71,1,AZ,1,1,1,0.01890994736722667,correct
72,0,BA,0,0,0,0.3113910464089894,correct
73,1,BA,1,0,0,0.35916455958760696,correct
74,1,BA,0,1,1,0.08831419312423092,correct
75,1,BA,1,1,1,0.3555704982779472,correct
76,0,BB,0,0,0,0.17844384735305524,correct
77,1,BB,1,0,0,0.35686225342307704,correct
78,1,BB,0,1,1,-0.05296139312827153,correct
79,1,BB,1,1,1,0.16601536443523734,correct
80,0,BC,0,0,0,-0.26882985598158987,correct
81,1,BC,1,0,0,-0.6553562006499116,correct
82,1,BC,0,1,1,-0.25898574808951025,correct
83,1,BC,1,1,1,-0.1607067073499038,correct
84,0,IAA,0,0,0,0.08066401997935206,correct
85,1,IAA,1,0,0,-0.2057604145901779,correct
86,1,IAA,0,1,1,0.1623942384458415,correct
87,1,IAA,1,1,1,0.3437226183498554,correct
88,0,IAC,0,0,0,0.06382351945656609,correct
89,1,IAC,1,0,0,-0.07015484192693981,correct
90,1,IAC,0,1,1,0.25453570800259395,correct
91,1,IAC,1,1,1,-0.12282672033489528,correct
92,0,IAF,0,0,0,0.07794686065073218,correct
93,1,IAF,1,0,0,-0.20893901415934535,correct
94,1,IAF,0,1,1,-0.16793583986637242,correct
95,1,IAF,1,1,1,0.006684099571556289,correct
96,0,IAH,0,0,0,0.14679195042828913,correct
97,1,IAH,1,0,0,0.4700212692359536,correct
98,1,IAH,0,1,1,0.30427497684616883,correct
99,1,IAH,1,1,1,0.8805562386133342,correct
100,0,IAJ,0,0,0,0.11303846509486487,correct
101,1,IAJ,1,0,0,0.338721136039131,correct
102,1,IAJ,0,1,1,0.06798183402223704,correct
103,1,IAJ,1,1,1,0.05861077548851122,correct
104,0,IAK,0,0,0,-0.2760437818330798,correct
105,1,IAK,1,0,0,-0.43363545246132845,correct
106,1,IAK,0,1,1,-0.6403831021969588,correct
107,1,IAK,1,1,1,-0.2155823509032711,correct
108,0,IAL,0,0,0,0.7513403192275231,correct
109,1,IAL,1,0,0,1.0604864682055821,correct
110,1,IAL,0,1,1,0.825270452608782,correct
111,1,IAL,1,1,1,1.4707161543793401,correct
112,0,IAM,0,0,0,0.27716208487457533,correct
113,1,IAM,1,0,0,0.11885334834954722,correct
114,1,IAM,0,1,1,0.3166025242600017,correct
115,1,IAM,1,1,1,0.34813677243117164,correct
116,0,IAN,0,0,0,-0.026793231376627296,correct
117,1,IAN,1,0,0,0.24305447172122574,correct
118,1,IAN,0,1,1,0.00864194001941711,correct
119,1,IAN,1,1,1,-0.12335202415756097,correct
120,0,IAO,0,0,0,0.04198472253509976,correct
121,1,IAO,1,0,0,0.2705814454028432,correct
122,1,IAO,0,1,1,0.7879797246230242,correct
123,1,IAO,1,1,1,0.5199273270408926,correct
124,0,IAP,0,0,0,0.6679850307384257,correct
125,1,IAP,1,0,0,0.3631865797502831,correct
126,1,IAP,0,1,1,0.5291650928609349,correct
127,1,IAP,1,1,1,0.4914845547085007,correct
128,0,IAQ,0,0,0,-0.07820624764101408,correct
129,1,IAQ,1,0,0,-0.7502145308190864,correct
130,1,IAQ,0,1,1,0.3708116900775902,correct
131,1,IAQ,1,1,1,0.2359849086397945,correct
132,0,AB,0,0,0,0.7034994829997607,incorrect
133,1,AB,1,0,0,0.9766419656618403,incorrect
134,1,AB,0,1,1,1.3395108850315287,incorrect
135,1,AB,1,1,1,0.8592133994124467,incorrect
136,0,AC,0,0,0,0.7316600137183619,incorrect
137,1,AC,1,0,0,0.56959545774817,incorrect
138,1,AC,0,1,1,0.5892938932168417,incorrect
139,1,AC,1,1,1,1.7684266111498839,incorrect
140,0,AF,0,0,0,0.11845395971614399,incorrect
141,1,AF,1,0,0,0.270177867509801,incorrect
142,1,AF,0,1,1,0.49781961704755734,incorrect
143,1,AF,1,1,1,0.4627758305663934,incorrect
144,0,AH,0,0,0,0.32272161763859963,incorrect
145,1,AH,1,0,0,0.6626693415249145,incorrect
146,1,AH,0,1,1,-2.0015779019339277,incorrect
147,1,AH,1,1,1,0.11633856673699547,incorrect
148,0,AI,0,0,0,0.16297792293433486,incorrect
149,1,AI,1,0,0,0.06810672734421941,incorrect
150,1,AI,0,1,1,-0.28174655337743454,incorrect
151,1,AI,1,1,1,0.2332569227178671,incorrect
152,0,AJ,0,0,0,-0.001017414408646167,incorrect
153,1,AJ,1,0,0,-0.09828938544781352,incorrect
154,1,AJ,0,1,1,0.11846291812456045,incorrect
155,1,AJ,1,1,1,0.11292265875451635,incorrect
156,0,AK,0,0,0,-0.2666971287615509,incorrect
157,1,AK,1,0,0,0.48627751820040116,incorrect
158,1,AK,0,1,1,-0.06592786268226229,incorrect
159,1,AK,1,1,1,0.8852703674367999,incorrect
160,0,AL,0,0,0,0.548633903833934,incorrect
161,1,AL,1,0,0,0.16918097291919232,incorrect
162,1,AL,0,1,1,0.6306657803919565,incorrect
163,1,AL,1,1,1,0.09569797276517619,incorrect
164,0,AM,0,0,0,0.0017645580606840134,incorrect
165,1,AM,1,0,0,0.1984540081411722,incorrect
166,1,AM,0,1,1,0.29381024061827704,incorrect
167,1,AM,1,1,1,-0.7282603131731085,incorrect
168,0,AN,0,0,0,0.31460848912692196,incorrect
169,1,AN,1,0,0,1.2524935984312442,incorrect
170,1,AN,0,1,1,0.014989235850952102,incorrect
171,1,AN,1,1,1,0.2883439952687126,incorrect
172,0,AO,0,0,0,0.6400742200391123,incorrect
173,1,AO,1,0,0,0.3012272622322064,incorrect
174,1,AO,0,1,1,1.3288524405256146,incorrect
175,1,AO,1,1,1,0.9513731410658346,incorrect
176,0,AP,0,0,0,0.42174699048716713,incorrect
177,1,AP,1,0,0,-0.06575533256428011,incorrect
178,1,AP,0,1,1,-0.08714810936062911,incorrect
179,1,AP,1,1,1,0.0648478030242571,incorrect
180,0,AQ,0,0,0,0.24633357915971377,incorrect
181,1,AQ,1,0,0,0.7028956428804468,incorrect
182,1,AQ,0,1,1,0.36356167426110375,incorrect
183,1,AQ,1,1,1,0.3190731250601267,incorrect
184,0,AS,0,0,0,-0.24788643272576538,incorrect
185,1,AS,1,0,0,0.2711247875372758,incorrect
186,1,AS,0,1,1,0.6493052976993667,incorrect
187,1,AS,1,1,1,0.16011293868225251,incorrect
188,0,AT,0,0,0,0.043006301523018195,incorrect
189,1,AT,1,0,0,0.1867844940197099,incorrect
190,1,AT,0,1,1,0.4265971006730742,incorrect
191,1,AT,1,1,1,-0.15355606867291313,incorrect
192,0,AV,0,0,0,0.17817769455233598,incorrect
