,PredError,Sub,TI,TR,TaskRel,pupil,type
0,0,AB,0,0,0,0.5261540136262844,correct
1,1,AB,1,0,0,0.4574516317405862,correct
2,1,AB,0,1,1,0.6286796422060543,correct
3,1,AB,1,1,1,0.19046986379665276,correct
4,0,AC,0,0,0,0.47468275174164826,correct
5,1,AC,1,0,0,0.2653884093335121,correct
6,1,AC,0,1,1,0.26149491480869674,correct
7,1,AC,1,1,1,0.7495137992051719,correct
8,0,AF,0,0,0,0.02021988396732463,correct
9,1,AF,1,0,0,-0.17698928953676174,correct
10,1,AF,0,1,1,0.17493390325985242,correct
11,1,AF,1,1,1,0.08209606588725786,correct
12,0,AH,0,0,0,0.2617827286219176,correct
13,1,AH,1,0,0,0.6513684337432385,correct
14,1,AH,0,1,1,0.19207191412763502,correct
15,1,AH,1,1,1,0.4453996364767664,correct
16,0,AI,0,0,0,-0.004666402018087112,correct
17,1,AI,1,0,0,-0.041848814446955616,correct
18,1,AI,0,1,1,-0.2050812674983005,correct
19,1,AI,1,1,1,0.09176619865027535,correct
20,0,AJ,0,0,0,-0.07136726212376823,correct
21,1,AJ,1,0,0,0.0996906565706301,correct
22,1,AJ,0,1,1,0.22938832591246605,correct
23,1,AJ,1,1,1,0.09964795410837281,correct
24,0,AK,0,0,0,-0.2543903178982787,correct
25,1,AK,1,0,0,-0.17608523693444544,correct
26,1,AK,0,1,1,-0.14788963020742593,correct
27,1,AK,1,1,1,0.21894534849251698,correct
28,0,AL,0,0,0,0.21058208541694606,correct
29,1,AL,1,0,0,0.12251371154358073,correct
30,1,AL,0,1,1,0.12155615092298341,correct
31,1,AL,1,1,1,0.10159847479270166,correct
32,0,AM,0,0,0,0.23883293868741515,correct
33,1,AM,1,0,0,0.1438426246827354,correct
34,1,AM,0,1,1,0.0223117983435807,correct
35,1,AM,1,1,1,0.3648132491408046,correct
36,0,AN,0,0,0,0.07562636854192475,correct
37,1,AN,1,0,0,0.2876263758447488,correct
38,1,AN,0,1,1,0.13655418104318878,correct
39,1,AN,1,1,1,0.15818072336519107,correct
40,0,AO,0,0,0,0.499435845792134,correct
41,1,AO,1,0,0,0.528129900645131,correct
42,1,AO,0,1,1,0.48626303155307116,correct
43,1,AO,1,1,1,0.19630161761518244,correct
44,0,AP,0,0,0,0.10482351391553311,correct
45,1,AP,1,0,0,-0.23675700055189813,correct
46,1,AP,0,1,1,-0.28737143869598386,correct
47,1,AP,1,1,1,-0.10087332141246477,correct
48,0,AQ,0,0,0,0.24807784548997655,correct
49,1,AQ,1,0,0,0.39874091898280795,correct
50,1,AQ,0,1,1,0.3410239302758318,correct
51,1,AQ,1,1,1,0.3390109118225352,correct
52,0,AS,0,0,0,-0.037231670425398544,correct
53,1,AS,1,0,0,0.07277904937438233,correct
54,1,AS,0,1,1,0.011189332466955294,correct
55,1,AS,1,1,1,-0.27237272548207203,correct
56,0,AT,0,0,0,0.24827731560760408,correct
57,1,AT,1,0,0,0.36440138199598937,correct
58,1,AT,0,1,1,0.3900405287512585,correct
59,1,AT,1,1,1,0.2401575810744449,correct
60,0,AV,0,0,0,0.04772944035793055,correct
61,1,AV,1,0,0,-0.02856401363810411,correct
62,1,AV,0,1,1,0.0725361046441972,correct
63,1,AV,1,1,1,0.09530015231163708,correct
64,0,AX,0,0,0,0.02641118694281277,correct
65,1,AX,1,0,0,0.45353312431284776,correct
66,1,AX,0,1,1,0.01515875766239035,correct
67,1,AX,1,1,1,0.5062680716563539,correct
68,0,AZ,0,0,0,0.20365383516449515,correct
69,1,AZ,1,0,0,0.28082594944627065,correct
70,1,AZ,0,1,1,0.26279948332431363,correct
71,1,AZ,1,1,1,0.07435783318795292,correct
72,0,BA,0,0,0,0.3262419511202371,correct
73,1,BA,1,0,0,0.4140259446493932,correct
74,1,BA,0,1,1,0.137398272855269,correct
75,1,BA,1,1,1,0.38276500713027484,correct
76,0,BB,0,0,0,0.14621332084328545,correct
77,1,BB,1,0,0,0.33157331148407765,correct
78,1,BB,0,1,1,0.02055515585081664,correct
79,1,BB,1,1,1,0.17595686720320625,correct
80,0,BC,0,0,0,-0.24942718646103565,correct
81,1,BC,1,0,0,-0.6592546769349474,correct
82,1,BC,0,1,1,-0.2402034034276953,correct
83,1,BC,1,1,1,-0.10862876412262198,correct
84,0,IAA,0,0,0,0.1828528777264461,correct
85,1,IAA,1,0,0,-0.16528138763176192,correct
