,PredError,Sub,TI,TR,TaskRel,pupil,type
0,0,AB,0,0,0,0.530388775787314,correct
1,1,AB,1,0,0,0.2825260904375076,correct
2,1,AB,0,1,1,0.5712584659506686,correct
3,1,AB,1,1,1,0.1271177646945884,correct
4,0,AC,0,0,0,0.45274403964315496,correct
5,1,AC,1,0,0,0.23664384192177873,correct
6,1,AC,0,1,1,0.1519719220676909,correct
7,1,AC,1,1,1,0.7753116760406907,correct
8,0,AF,0,0,0,0.008231915287626724,correct
9,1,AF,1,0,0,-0.0370220968549603,correct
10,1,AF,0,1,1,0.21827852803956185,correct
11,1,AF,1,1,1,0.07436422952221355,correct
12,0,AH,0,0,0,0.14140818742481098,correct
13,1,AH,1,0,0,0.5596611148649562,correct
14,1,AH,0,1,1,0.3949597429779691,correct
15,1,AH,1,1,1,0.1852372179852082,correct
16,0,AI,0,0,0,0.030897065021286748,correct
17,1,AI,1,0,0,-0.04175825948613926,correct
18,1,AI,0,1,1,-0.20203007745432866,correct
19,1,AI,1,1,1,0.14613112180120313,correct
20,0,AJ,0,0,0,-0.15336348662804616,correct
21,1,AJ,1,0,0,-0.05978307315252144,correct
22,1,AJ,0,1,1,0.12688969148679738,correct
23,1,AJ,1,1,1,0.19783387902534835,correct
24,0,AK,0,0,0,-0.33185942035918825,correct
25,1,AK,1,0,0,-0.4063139481840965,correct
26,1,AK,0,1,1,-0.22830118973139318,correct
27,1,AK,1,1,1,0.2742647049397601,correct
28,0,AL,0,0,0,0.1643158820704066,correct
29,1,AL,1,0,0,0.16106480399399775,correct
30,1,AL,0,1,1,0.11071967198278174,correct
31,1,AL,1,1,1,0.05483268674835386,correct
32,0,AM,0,0,0,0.29368077345531335,correct
33,1,AM,1,0,0,0.23998009372703494,correct
34,1,AM,0,1,1,0.1828383598638051,correct
35,1,AM,1,1,1,0.4435460355612004,correct
36,0,AN,0,0,0,0.030685685536003798,correct
37,1,AN,1,0,0,0.1526784926420223,correct
38,1,AN,0,1,1,-0.0038540745373480765,correct
39,1,AN,1,1,1,0.027500425659171397,correct
40,0,AO,0,0,0,0.2342946194915284,correct
41,1,AO,1,0,0,0.557836769373389,correct
42,1,AO,0,1,1,0.21924089516211664,correct
43,1,AO,1,1,1,-0.1494109088605117,correct
44,0,AP,0,0,0,0.1033612005583224,correct
45,1,AP,1,0,0,-0.16175742177369665,correct
46,1,AP,0,1,1,-0.3006270573333817,correct
47,1,AP,1,1,1,-0.14752897917909052,correct
48,0,AQ,0,0,0,0.23618418164654706,correct
49,1,AQ,1,0,0,0.21407989221485918,correct
50,1,AQ,0,1,1,0.29257820904636755,correct
51,1,AQ,1,1,1,0.19394050068633376,correct
52,0,AS,0,0,0,-0.08229833165906245,correct
53,1,AS,1,0,0,-0.028037668419649563,correct
54,1,AS,0,1,1,0.05271374562834283,correct
55,1,AS,1,1,1,-0.03436388752298852,correct
56,0,AT,0,0,0,0.1285833886758512,correct
57,1,AT,1,0,0,0.3098134448462386,correct
58,1,AT,0,1,1,0.2430726544985736,correct
59,1,AT,1,1,1,0.11391184008342756,correct
60,0,AV,0,0,0,0.07310220660811786,correct
61,1,AV,1,0,0,0.19286386467002908,correct
62,1,AV,0,1,1,0.16455391344027517,correct
63,1,AV,1,1,1,0.20977873896228622,correct
64,0,AX,0,0,0,-0.024698666541373895,correct
65,1,AX,1,0,0,0.4039561063330286,correct
66,1,AX,0,1,1,0.041450100769383845,correct
67,1,AX,1,1,1,0.3914375659720658,correct
68,0,AZ,0,0,0,0.09189122066076019,correct
69,1,AZ,1,0,0,0.1234175487906931,correct
70,1,AZ,0,1,1,0.1801822591591316,correct
71,1,AZ,1,1,1,-0.08816895430488458,correct
72,0,BA,0,0,0,0.24294657369284034,correct
73,1,BA,1,0,0,0.28707963661420366,correct
