,Sub,pupil,type
0,AB,0.26263618296790936,correct
1,AB,-0.013544099715366489,correct
2,AB,-0.15655910774987464,correct
3,AB,0.2653930930609825,correct
4,AB,-0.04288433245210803,correct
5,AB,0.05567657001240248,correct
6,AB,-0.06747859213316576,correct
7,AB,-0.26448551483175375,correct
8,AB,-0.09655297006347326,correct
9,AB,0.12274341333556665,correct
10,AB,0.052298798243925554,correct
11,AB,-0.1050425531518324,correct
12,AB,-0.27317661561938056,correct
13,AB,-0.08231670172326669,correct
14,AB,-0.20737961713044425,correct
15,AB,-0.03336634077970284,correct
16,AB,-0.1909340973894887,correct
17,AB,0.017782351692669535,correct
18,AB,-0.34580078515172336,correct
19,AB,-0.28537724758742183,correct
20,AB,0.051989705209286155,correct
21,AB,0.11699631363500632,correct
22,AB,-0.01435713162417602,correct
23,AB,0.019935955556383975,correct
24,AB,0.16636140307269923,correct
25,AB,0.033343829195552455,correct
26,AB,0.05415228514793619,correct
27,AB,0.0161396071711402,correct
28,AB,-0.1762692478297826,correct
29,AB,0.1667382077594261,correct
30,AB,0.10825342266354204,correct
31,AB,0.0822819804774816,correct
32,AB,-0.2385204150013252,correct
33,AB,0.1355522766396423,correct
34,AB,-0.14043564642024606,correct
35,AB,-0.025026171998685582,correct
36,AB,0.02501581971328686,correct
37,AB,-0.21720791573589918,correct
38,AB,-0.3311963081324891,correct
39,AB,-0.2553814648011527,correct
40,AB,0.11552986263809778,correct
41,AB,-0.03610928430042289,correct
42,AB,-0.04275200257794694,correct
43,AB,0.04565640004157121,correct
44,AB,-0.09189280282099181,correct
45,AB,0.18818290167889626,correct
46,AB,-0.15249323479938623,correct
47,AB,0.07582798857766765,correct
48,AB,-0.10267957572251786,correct
49,AB,0.2809841215477248,correct
50,AB,-0.13016035748811344,correct
51,AB,0.005298463277603873,correct
52,AB,-0.0747574970569516,correct
53,AB,-0.05899863786643034,correct
54,AB,0.19588990115570312,correct
55,AB,0.1426102107194667,correct
56,AB,0.28992748558446707,correct
57,AB,0.041088876785464024,correct
58,AB,0.016789385224435918,correct
59,AB,-0.023784537767340085,correct
60,AB,-0.03537894766566929,correct
61,AB,-0.18920399598231014,correct
62,AB,-0.06004516004845678,correct
63,AB,-0.0006491313120202528,correct
64,AB,-0.09596540850071608,correct
65,AB,-0.15128812946054068,correct
66,AB,0.03133670598678995,correct
67,AB,-0.10469800669216221,correct
68,AB,-0.126169310063495,correct
69,AB,-0.020126884732996793,correct
70,AB,0.06278833199228535,correct
71,AB,0.10259166186665492,correct
72,AB,0.02294036765733726,correct
73,AB,0.10577042688141765,correct
74,AB,-0.05943009707923552,correct
75,AB,-0.004938537878434152,correct
76,AB,0.06659944131699126,correct
77,AB,0.0644771966754372,correct
78,AB,0.009256956369061877,correct
79,AC,0.26903925639277326,correct
80,AC,0.1599394766874088,correct
81,AC,0.015753510298520818,correct
82,AC,-0.16907730890201478,correct
83,AC,0.08960031002007465,correct
84,AC,0.003570200417025907,correct
85,AC,-0.03839399748877256,correct
86,AC,-0.07430419941766621,correct
87,AC,-0.11796587268389641,correct
88,AC,0.3839475913178112,correct
89,AC,0.023791463527074765,correct
90,AC,0.04244412400758906,correct
91,AC,0.05348919359948805,correct
92,AC,-0.010688235505291825,correct
93,AC,-0.1792133976311177,correct
94,AC,-0.09112088253504204,correct
95,AC,0.1266109987064693,correct
96,AC,0.08323979436701306,correct
97,AC,-0.15769779072964982,correct
98,AC,0.23528324598888556,correct
99,AC,0.188862095608542,correct
100,AC,-0.014309695186157934,correct
101,AC,0.018043559647064854,correct
102,AC,0.18139481631860654,correct
103,AC,0.035140206115479376,correct
104,AC,0.08245926374098332,correct
105,AC,0.4640976354810272,correct
106,AC,0.04089619414206442,correct
107,AC,-0.08920665693031551,correct
108,AC,-0.24437661546260986,correct
109,AC,0.0034690117024316017,correct
110,AC,0.10335239265975463,correct
111,AC,-0.09038062870225808,correct
112,AC,-0.02785387629395167,correct
113,AC,0.02559632857393513,correct
114,AC,-0.17479863407428894,correct
115,AC,0.07620076528489261,correct
116,AC,-0.04267314607959789,correct
117,AC,0.0902758796009113,correct
118,AC,0.21761614633876003,correct
119,AC,0.09394110673224937,correct
120,AC,0.030578344088110304,correct
121,AC,0.15412916291293116,correct
122,AC,0.06371936842960893,correct
123,AC,-0.17713686059555223,correct
124,AC,0.40327434461075606,correct
125,AC,0.06477838001226267,correct
126,AC,0.009111410850947821,correct
127,AC,-0.27068903864080873,correct
128,AC,0.24511931986410623,correct
129,AC,0.3185924379408156,correct
130,AC,0.21507549543430463,correct
131,AC,0.0430296887946567,correct
132,AC,-0.09068898334478469,correct
133,AC,-0.08596311992619868,correct
134,AC,-0.1614172744877196,correct
135,AC,0.04588807858855175,correct
136,AC,0.24253526169399064,correct
137,AC,-0.03441624149373597,correct
138,AC,0.22545550656338664,correct
139,AC,0.10052398618849413,correct
140,AC,-0.016052307447853,correct
141,AC,-0.09185628187114984,correct
142,AC,-0.14823194481275379,correct
143,AC,-0.03318840823278685,correct
144,AC,0.09683328363306146,correct
145,AC,-0.05868803597264619,correct
146,AC,0.12193646182217868,correct
147,AC,0.10183567004426258,correct
148,AC,0.28210604350918417,correct
149,AC,-0.13090092326355612,correct
150,AC,0.050486979915397516,correct
151,AC,-0.07265430935367248,correct
152,AC,-0.1309767314735007,correct
153,AF,0.08235158903272927,correct
154,AF,0.11533955360746023,correct
155,AF,-0.4677231484012629,correct
156,AF,-0.4538565497517991,correct
157,AF,-0.05602040432958455,correct
158,AF,-0.020180907326261745,correct
159,AF,0.06987183325109106,correct
160,AF,-0.1687669926963006,correct
161,AF,-0.07044579651321652,correct
162,AF,-0.1218433433757693,correct
163,AF,-0.060069419277566434,correct
164,AF,0.10474043210371527,correct
165,AF,0.037749508800474486,correct
166,AF,-0.23494730584303927,correct
167,AF,-0.022053039914855264,correct
168,AF,-0.08169936665988455,correct
169,AF,0.019838569896606727,correct
170,AF,0.10226572205798505,correct
171,AF,0.0983787092751103,correct
172,AF,-0.2275134550432799,correct
173,AF,0.10688211830518914,correct
174,AF,0.06276101155237628,correct
175,AF,-0.0753311682753298,correct
176,AF,-0.0605328945219082,correct
177,AF,0.03479703796516806,correct
178,AF,0.11532859517618563,correct
179,AF,0.09420379509241536,correct
180,AF,0.14775151780490317,correct
181,AF,-0.27480036595009627,correct
182,AF,0.03557255933373245,correct
183,AF,-0.17871552689750078,correct
184,AF,-0.015520657402581049,correct
185,AF,0.09367369499432893,correct
186,AF,-0.21490730443392686,correct
187,AF,0.1590094083775701,correct
188,AF,0.1291925149121272,correct
189,AF,0.20503385356259435,correct
190,AF,0.02718513065273904,correct
191,AF,0.06860149980390381,correct
192,AF,0.12341025431320302,correct
193,AF,0.03741517430761408,correct
194,AF,-0.24277525642314074,correct
195,AF,0.00792672823097457,correct
196,AF,0.03298586861945586,correct
197,AF,-0.09537666201514557,correct
198,AF,0.04504503274349421,correct
199,AF,-0.04988147160558723,correct
200,AF,0.36949010653462805,correct
201,AF,-0.10086858709180938,correct
202,AF,0.060544594126155434,correct
203,AF,-0.018030452008181753,correct
204,AF,-0.28696075571892055,correct
205,AF,0.07588352537740678,correct
206,AF,-0.15086517558529078,correct
207,AF,0.39710692862116415,correct
208,AF,0.02834423942387662,correct
209,AF,0.19615182089592248,correct
210,AF,0.2900281981581854,correct
211,AF,-0.015959405190648843,correct
212,AF,0.3538949340680033,correct
213,AF,0.13677067107093194,correct
214,AF,-0.0593252332882733,correct
215,AF,-0.04669456452145952,correct
216,AF,-0.07668129986320021,correct
217,AF,0.19260046775583234,correct
218,AF,-0.21573608231900265,correct
219,AF,0.12565633699234402,correct
220,AF,0.17963369999273635,correct
221,AF,-0.024795603082067352,correct
222,AF,0.10221102978608704,correct
223,AF,0.0392870541445766,correct
224,AF,0.02655464200057987,correct
225,AF,0.10486028680807272,correct
226,AF,0.12689899080997236,correct
227,AF,-0.16777338703127737,correct
228,AF,0.05102367128205644,correct
229,AF,0.040142921331262134,correct
230,AF,-0.2055544829677038,correct
231,AF,-0.012781557559631031,correct
232,AF,-0.049561667680246904,correct
233,AF,0.09437426719229187,correct
234,AF,-0.01554496319458104,correct
235,AF,0.038669266007937436,correct
236,AF,0.014829460929269232,correct
237,AF,0.0988153497269117,correct
238,AF,0.03308085208817863,correct
239,AF,0.005342766193786753,correct
240,AF,0.02975520709967054,correct
241,AF,0.008793059897530629,correct
242,AF,-0.27313685908395535,correct
243,AF,-0.233401161171594,correct
244,AF,0.113068521610352,correct
245,AF,-0.12466044657041286,correct
246,AF,-0.1211509636264525,correct
247,AF,0.04595378330598597,correct
248,AF,-0.22754595333732183,correct
249,AF,0.004137213822707618,correct
250,AF,-0.18379096009437937,correct
251,AF,0.13765998569052385,correct
252,AF,0.036956576051936973,correct
253,AF,0.08139253026951662,correct
254,AF,-0.2215627269582335,correct
255,AF,0.09490246818980053,correct
256,AF,-0.3640975731680046,correct
257,AF,-0.36357893243665307,correct
258,AF,0.014593391716331483,correct
259,AF,-0.006187184292620302,correct
260,AF,0.09135729627388195,correct
261,AF,-0.03204318196500637,correct
262,AF,-0.14708032580291183,correct
263,AF,-0.08475904749935798,correct
264,AF,0.19645404097433494,correct
265,AF,-0.20486051072566763,correct
266,AF,0.08375098209870964,correct
267,AF,0.12146179176480279,correct
268,AF,-0.003993258272935166,correct
269,AF,-0.05699638777582712,correct
270,AF,-0.014104685891120357,correct
271,AF,-0.13935578941544263,correct
272,AF,0.1031016144347171,correct
273,AF,-0.0500958330509429,correct
274,AF,-0.1010109493522884,correct
275,AF,0.15742187933588847,correct
276,AF,-0.01937686040420507,correct
277,AF,-0.1783642720676237,correct
278,AF,0.11466175754582206,correct
279,AF,0.18196587243907075,correct
280,AF,0.042371743425114614,correct
281,AF,0.03299677844405598,correct
282,AF,0.13906888041564994,correct
283,AF,-0.0581760813763301,correct
284,AF,0.23141827920163724,correct
285,AF,-0.12937840609805104,correct
286,AF,-0.0459036492887813,correct
287,AF,0.21196120642414656,correct
288,AF,-0.02234960795174502,correct
289,AF,0.10346345341472216,correct
290,AF,-0.25374590452900775,correct
291,AF,-0.03426236189735944,correct
292,AF,0.22635974207560522,correct
293,AF,-0.14827325276568767,correct
294,AF,-0.3869416599631466,correct
295,AF,0.28094394930315175,correct
296,AF,0.04173857872431112,correct
297,AH,0.05405895739790469,correct
298,AH,0.2485790449277918,correct
299,AH,-0.22078775719671276,correct
300,AH,0.1473434337624186,correct
301,AH,0.22156577036228906,correct
302,AH,0.10457499652259182,correct
303,AH,-0.09571321761009186,correct
304,AH,-0.37466973311312957,correct
305,AH,-0.028969334577216423,correct
306,AH,-0.21708416991604104,correct
307,AH,-0.049705994334839715,correct
308,AH,0.0002816089114646708,correct
309,AH,-0.001088016652514837,correct
310,AH,0.05640842775869771,correct
311,AH,0.09029850417184568,correct
312,AH,0.188752999690173,correct
313,AH,0.11036943489731697,correct
314,AH,0.05412818557757889,correct
315,AH,0.010935943642051933,correct
316,AH,0.0656526371711918,correct
317,AH,-0.11487196007375891,correct
318,AH,0.16560252031565653,correct
319,AH,0.16727195226662966,correct
320,AH,-0.2743757950826876,correct
321,AH,0.03651984438622943,correct
