,Sub,pupil,type
0,AB,0.7862721749491511,correct
1,AB,-0.47590920250495916,correct
2,AB,0.07549951836236826,correct
3,AB,0.43143212029493755,correct
4,AB,-0.07973421609966773,correct
5,AB,0.16705245204876712,correct
6,AB,-0.5590355110193131,correct
7,AB,-0.3340232656581828,correct
8,AB,-0.3010257785011211,correct
9,AB,0.2791830377301388,correct
10,AB,0.24572732671177994,correct
11,AB,-0.09811760946993683,correct
12,AB,-0.40093622478545426,correct
13,AB,-0.3048798559323454,correct
14,AB,-0.6339351639727059,correct
15,AB,-0.2685347479248201,correct
16,AB,-0.4120699710076572,correct
17,AB,-0.5243699382583351,correct
18,AB,-0.35505365528194693,correct
19,AB,-0.6314586647965165,correct
20,AB,0.18260968939309963,correct
21,AB,0.14865375157152183,correct
22,AB,0.10142293105073218,correct
23,AB,0.10296782143553691,correct
24,AB,0.4536034855871448,correct
25,AB,-0.3070706449294067,correct
26,AB,-0.21266213495645367,correct
27,AB,0.42652892088513844,correct
28,AB,-0.16571218339099372,correct
29,AB,0.5630934544819394,correct
30,AB,0.05925730917162081,correct
31,AB,0.3789662840575667,correct
32,AB,-0.7999292572962744,correct
33,AB,-0.14219754219812855,correct
34,AB,-0.07940750626126705,correct
35,AB,0.14300686074944027,correct
36,AB,-0.48230216365085765,correct
37,AB,-0.014428655292220824,correct
38,AB,-0.6255656451390371,correct
39,AB,-0.935149424666826,correct
40,AB,0.5797088301665615,correct
41,AB,-0.2407719314879972,correct
42,AB,0.04069009971945121,correct
43,AB,-0.249212243482083,correct
44,AB,-0.3169863812700417,correct
45,AB,0.5488758595737984,correct
46,AB,-0.5384874073074615,correct
47,AB,0.3238389598726269,correct
48,AB,-0.4986073507241984,correct
49,AB,0.23122657251767553,correct
50,AB,-0.6377300626428065,correct
51,AB,-0.16795400216037307,correct
52,AB,-0.13549044408082334,correct
53,AB,-0.314603044994885,correct
54,AB,0.10606473319686396,correct
55,AB,0.33173342733620753,correct
56,AB,0.7551998886045355,correct
57,AB,-0.02953738219801492,correct
58,AB,-0.4826061782236598,correct
59,AB,0.5320483560280234,correct
60,AB,0.14103838151607812,correct
61,AB,-0.19619195942122084,correct
62,AB,0.16414412376797244,correct
63,AB,0.061964506723882734,correct
64,AB,-0.1271317029517973,correct
65,AB,-0.6014076963999548,correct
66,AB,0.14649846638370115,correct
67,AB,-0.4088602123253375,correct
68,AB,-0.34663534237231614,correct
69,AB,0.043059090884816645,correct
70,AB,0.1469597392418002,correct
71,AB,0.22484248039877408,correct
72,AB,0.029832765132728346,correct
73,AB,0.2955945177773761,correct
74,AB,-0.2868076422906335,correct
75,AB,-0.40391716795736715,correct
76,AB,0.03112079240658297,correct
77,AB,-0.20892687010899014,correct
78,AB,-0.22628517831726577,correct
79,AC,-0.028118693959536062,correct
80,AC,0.10930201926800398,correct
81,AC,-0.3066006653156321,correct
82,AC,-0.5807630031832696,correct
83,AC,0.35666069724444277,correct
84,AC,-0.027440701423790535,correct
85,AC,-0.17956119019532374,correct
86,AC,-0.027094681513368673,correct
87,AC,-0.34632309443324083,correct
88,AC,0.9729069095419686,correct
89,AC,0.21686547623256142,correct
90,AC,-0.01709073126773765,correct
91,AC,0.07000369288940154,correct
92,AC,-0.03605659383765092,correct
93,AC,0.2990563881897123,correct
94,AC,0.15658387478771052,correct
95,AC,-0.24964473271166354,correct
96,AC,0.15489547368117448,correct
97,AC,0.6224777474851584,correct
98,AC,0.9313405247305846,correct
99,AC,0.331977382988053,correct
100,AC,-0.5367443407573418,correct
101,AC,0.3884305356811612,correct
102,AC,0.04407873736044786,correct
103,AC,0.00550531191627617,correct
104,AC,0.19974149366304506,correct
105,AC,0.5039859069241981,correct
106,AC,-0.7636274099696841,correct
107,AC,0.12028521794925161,correct
108,AC,0.11558751709398563,correct
109,AC,-0.26393544068614283,correct
110,AC,0.2944087483147736,correct
111,AC,0.16672355902166788,correct
112,AC,0.2514180599965208,correct
113,AC,0.5392387328967911,correct
114,AC,-0.8160074914908829,correct
115,AC,0.10879917005705006,correct
116,AC,-0.313398331162208,correct
117,AC,-0.06720842888140593,correct
118,AC,0.7378719959756119,correct
119,AC,0.2558499387603159,correct
120,AC,-0.19193323856074773,correct
121,AC,0.09600535676006608,correct
122,AC,0.6510455542522016,correct
123,AC,-0.6695979250304128,correct
124,AC,1.2382776834733835,correct
125,AC,0.17061062173923913,correct
126,AC,0.2453361726495609,correct
127,AC,-0.48229840668509943,correct
128,AC,0.0961014402199476,correct
129,AC,1.0529402493263662,correct
130,AC,0.6513129730042485,correct
131,AC,0.5337445143981073,correct
132,AC,0.017840909598627667,correct
133,AC,-0.3453544810006721,correct
134,AC,-0.27975504849332145,correct
135,AC,-0.29013788120750617,correct
136,AC,0.5744901662457343,correct
137,AC,-0.054395895807518295,correct
138,AC,0.4824600293694189,correct
139,AC,0.15505370529499085,correct
140,AC,-0.2196902510080962,correct
141,AC,-0.09346946594518221,correct
142,AC,0.056759252429317335,correct
143,AC,-0.4438430256489601,correct
144,AC,-0.6943979558113884,correct
145,AC,0.03282775857089443,correct
146,AC,0.14151040803733517,correct
147,AC,0.6934497756091529,correct
148,AC,0.5018027890359729,correct
149,AC,0.02197346781697434,correct
150,AC,0.10085196461865777,correct
151,AC,-0.49084826331921205,correct
152,AC,0.0080316950871904,correct
153,AF,0.3737851996810478,correct
154,AF,0.5260887859287002,correct
155,AF,0.15678807015522997,correct
156,AF,-0.19544776824022256,correct
157,AF,-0.13420875692462053,correct
158,AF,-0.09667544617270814,correct
159,AF,0.11644027880656677,correct
160,AF,-0.41567423619447863,correct
161,AF,-0.0424423884078402,correct
162,AF,-0.42668203521548753,correct
163,AF,-0.24853077850391314,correct
164,AF,0.13299667584235694,correct
165,AF,0.028265908655061345,correct
166,AF,-0.5525221874810857,correct
167,AF,-0.09037010044123707,correct
168,AF,0.04239280536836389,correct
169,AF,-0.11133515831276868,correct
170,AF,0.24067393096580983,correct
171,AF,0.0057596826873220885,correct
172,AF,0.01704220959448057,correct
173,AF,0.17895262316359362,correct
174,AF,-0.7743001929802231,correct
175,AF,0.2040002915708392,correct
176,AF,0.14661015836405672,correct
177,AF,0.28765886991512796,correct
178,AF,0.16006684450562483,correct
179,AF,0.3816773603549032,correct
180,AF,0.029651951853149665,correct
181,AF,-0.3702704821109105,correct
182,AF,-0.10911094815727997,correct
183,AF,-0.7271145096516514,correct
184,AF,0.1264675864327306,correct
185,AF,0.617301786654416,correct
186,AF,-0.5216233569435849,correct
187,AF,0.14517193715679558,correct
188,AF,-0.28947410684384456,correct
189,AF,0.6282313857326122,correct
190,AF,-0.23067773970683375,correct
191,AF,-0.007619921454184479,correct
192,AF,0.06427721318256692,correct
193,AF,-0.337049300451976,correct
194,AF,-1.203826892030773,correct
195,AF,0.43290167325997214,correct
196,AF,0.028029386338966823,correct
197,AF,-0.7744447784418262,correct
198,AF,-0.009919858797421667,correct
199,AF,0.005912874145223562,correct
200,AF,0.9464434328682622,correct
201,AF,-0.23400032882830735,correct
202,AF,-0.24620710004852286,correct
203,AF,-0.1901096944273985,correct
204,AF,-0.007917754487833023,correct
205,AF,0.7953363676964109,correct
206,AF,-0.48437570635978633,correct
207,AF,0.6415271520041486,correct
208,AF,-0.0866282800800206,correct
209,AF,0.7383937339912032,correct
210,AF,0.914966593961037,correct
211,AF,-0.6642494118001459,correct
212,AF,0.5644196370385465,correct
213,AF,0.20908510242833314,correct
214,AF,-0.5941545888983062,correct
215,AF,0.0425167312709254,correct
216,AF,-0.6874350268386697,correct
