,Sub,pupil,type
0,AB,1.1522724652843848,correct
1,AB,-0.08247021303690454,correct
2,AB,0.5371880172411921,correct
3,AB,0.031404402906995345,correct
4,AB,-1.5979879396574896,correct
5,AB,-0.7369947651662472,correct
6,AB,-0.8963992958768335,correct
7,AB,0.6709102113165626,correct
8,AB,-0.6791506394408474,correct
9,AB,0.025626401506894735,correct
10,AB,-0.8823115033158512,correct
11,AB,0.18732196907471044,correct
12,AB,1.9873602049848753,correct
13,AB,-2.4319680998068494,correct
14,AB,-0.6075806711737063,correct
15,AB,-0.015764727114662473,correct
16,AB,-0.8219120564342879,correct
17,AB,-0.5295772574397652,correct
18,AB,0.6674429514005309,correct
19,AB,0.3073132005066112,correct
20,AB,-0.6525595183159696,correct
21,AB,-0.925440714276,correct
22,AB,-1.385774777083176,correct
23,AB,-0.2331295501924663,correct
24,AB,0.7844111470326405,correct
25,AB,-1.3176573906730198,correct
26,AB,-0.8543321778704547,correct
27,AB,0.6866027238226624,correct
28,AB,-0.7780355818253242,correct
29,AB,0.3159898755755448,correct
30,AB,-0.11707913795319336,correct
31,AB,0.5800618477977554,correct
32,AB,-0.5978154929820045,correct
33,AB,-0.4540872548251071,correct
34,AB,-0.9069405555501869,correct
35,AB,0.35152194095643413,correct
36,AB,-0.943556345940251,correct
37,AB,1.9152408860529295,correct
38,AB,0.5837206340619728,correct
39,AB,-0.7628948779242175,correct
40,AB,1.6918267491942094,correct
41,AB,-0.6251888581072745,correct
42,AB,0.019962196632653244,correct
43,AB,0.18120161166367366,correct
44,AB,-0.600109964929023,correct
45,AB,0.9178386657030999,correct
46,AB,-0.7766912151443705,correct
47,AB,1.273465046639873,correct
48,AB,-0.3611525253895298,correct
49,AB,0.2422608687318636,correct
50,AB,-0.721291377369095,correct
51,AB,-0.4504509696507689,correct
52,AB,-0.43847796334028183,correct
53,AB,-3.4297946836187356,correct
54,AB,-0.1340205352244251,correct
55,AB,-0.013487638080461781,correct
56,AB,1.1949132711047228,correct
57,AB,-1.8091896435451476,correct
58,AB,-1.186921767184161,correct
59,AB,0.1969597156666957,correct
60,AB,-0.5933611662751099,correct
61,AB,0.8147932041250681,correct
62,AB,0.24456843669012918,correct
63,AB,-0.019085630070070084,correct
64,AB,0.5443623627395203,correct
65,AB,-0.5304804440912194,correct
66,AB,0.15045754973436537,correct
67,AB,1.0780907930913697,correct
68,AB,-1.8166737518136775,correct
69,AB,-2.46543101426245,correct
70,AB,0.17463288680198086,correct
71,AB,-0.8308342089469475,correct
72,AB,-0.1534865295843192,correct
73,AB,-0.5534853515098643,correct
74,AB,-0.2716051371270875,correct
75,AB,-1.2248690366062887,correct
76,AB,-2.480770798639102,correct
77,AB,-2.077914004258798,correct
78,AB,-1.304377938545665,correct
79,AC,-0.40974869978062484,correct
80,AC,-1.4068068414375736,correct
81,AC,-1.1571603210948418,correct
82,AC,-0.9274686500859752,correct
83,AC,-0.604558686899135,correct
84,AC,0.75433214664728,correct
85,AC,0.039977883873239334,correct
86,AC,-0.9250914624027617,correct
87,AC,-0.7150472320669639,correct
88,AC,-1.040869919019162,correct
89,AC,-0.08793425117903206,correct
90,AC,0.5707850943330172,correct
91,AC,-0.2083725325882291,correct
92,AC,-0.12082858839739256,correct
93,AC,0.5146080195831022,correct
94,AC,-1.0095738888288726,correct
95,AC,-0.20644165946922186,correct
96,AC,1.0493271833396425,correct
97,AC,0.38911581200864953,correct
98,AC,2.6425277878695534,correct
99,AC,-0.41781862982820706,correct
100,AC,-0.171096296022452,correct
101,AC,0.6283640392050422,correct
102,AC,1.8808650306234516,correct
103,AC,-0.5804190391999988,correct
104,AC,-0.33196292940697936,correct
105,AC,1.4984665957683483,correct
106,AC,-2.0435876476509316,correct
107,AC,0.501244930517467,correct
108,AC,1.3814628620018696,correct
109,AC,0.9752587524076631,correct
110,AC,0.7087995208456579,correct
111,AC,-0.46038668717253584,correct
112,AC,0.2399018986973931,correct
113,AC,2.24316566279204,correct
114,AC,-1.6215877636008755,correct
115,AC,-0.0066446213024806845,correct
116,AC,-0.8763281648150453,correct
117,AC,-0.7820479452029411,correct
118,AC,-0.47128721691081205,correct
119,AC,-0.09539898062595056,correct
120,AC,-1.7758636298039439,correct
121,AC,-0.61690190725352,correct
