,PredError,Sub,TI,TR,TaskRel,pupil,type
0,0,AB,0,0,0,0.5356242313794042,correct
1,1,AB,1,0,0,0.2685560082678987,correct
2,1,AB,0,1,1,0.5735469803956686,correct
3,1,AB,1,1,1,0.11079124167540486,correct
4,0,AC,0,0,0,0.45863556970346464,correct
5,1,AC,1,0,0,0.23302259111677656,correct
6,1,AC,0,1,1,0.12432198997502258,correct
7,1,AC,1,1,1,0.7862430401061147,correct
8,0,AF,0,0,0,0.007134988359409391,correct
9,1,AF,1,0,0,0.009838508074205886,correct
10,1,AF,0,1,1,0.1578224566992274,correct
11,1,AF,1,1,1,0.05294950672405634,correct
12,0,AH,0,0,0,0.12077857272558655,correct
13,1,AH,1,0,0,0.5241388010840479,correct
14,1,AH,0,1,1,0.45085668897010406,correct
15,1,AH,1,1,1,0.16614334997372776,correct
16,0,AI,0,0,0,0.04114294353719227,correct
17,1,AI,1,0,0,-0.011754923203122755,correct
18,1,AI,0,1,1,-0.1936055578166216,correct
19,1,AI,1,1,1,0.18583225936287803,correct
20,0,AJ,0,0,0,-0.16622441024251094,correct
21,1,AJ,1,0,0,-0.059992748948072265,correct
22,1,AJ,0,1,1,0.11110454538579372,correct
23,1,AJ,1,1,1,0.1296029536001489,correct
24,0,AK,0,0,0,-0.3550661852160002,correct
25,1,AK,1,0,0,-0.44334152091749196,correct
26,1,AK,0,1,1,-0.25014496141627424,correct
27,1,AK,1,1,1,0.24321045089747687,correct
28,0,AL,0,0,0,0.1558170672790415,correct
29,1,AL,1,0,0,0.1897761847693345,correct
30,1,AL,0,1,1,0.11210366285602931,correct
31,1,AL,1,1,1,0.04777212077577735,correct
32,0,AM,0,0,0,0.3236548011819476,correct
33,1,AM,1,0,0,0.2789082534973695,correct
34,1,AM,0,1,1,0.20431674519387633,correct
35,1,AM,1,1,1,0.4776036114530706,correct
36,0,AN,0,0,0,0.007614237558282192,correct
37,1,AN,1,0,0,0.11341670921894864,correct
38,1,AN,0,1,1,-0.0732878473732339,correct
39,1,AN,1,1,1,-0.013872741714737867,correct
40,0,AO,0,0,0,0.17734695350744936,correct
41,1,AO,1,0,0,0.614105109253281,correct
42,1,AO,0,1,1,0.17313857594868373,correct
43,1,AO,1,1,1,-0.15228330021268402,correct
44,0,AP,0,0,0,0.08311497754549112,correct
45,1,AP,1,0,0,-0.12827379749792614,correct
46,1,AP,0,1,1,-0.271792479313749,correct
47,1,AP,1,1,1,-0.19533429745320893,correct
48,0,AQ,0,0,0,0.21084414501984014,correct
49,1,AQ,1,0,0,0.14191820389391893,correct
50,1,AQ,0,1,1,0.31373545772309935,correct
51,1,AQ,1,1,1,0.16844277218163073,correct
52,0,AS,0,0,0,-0.09688486325713744,correct
53,1,AS,1,0,0,-0.03189956137415041,correct
54,1,AS,0,1,1,0.0822346566355753,correct
55,1,AS,1,1,1,-0.006851712190843345,correct
56,0,AT,0,0,0,0.10518399232851013,correct
57,1,AT,1,0,0,0.2817945667342586,correct
58,1,AT,0,1,1,0.24684588910401406,correct
59,1,AT,1,1,1,0.09728532641753478,correct
60,0,AV,0,0,0,0.10987698328989515,correct
61,1,AV,1,0,0,0.20735570908355697,correct
62,1,AV,0,1,1,0.15458026291896781,correct
63,1,AV,1,1,1,0.2046351854522903,correct
64,0,AX,0,0,0,-0.03939815960707311,correct
65,1,AX,1,0,0,0.39395917164295835,correct
66,1,AX,0,1,1,-0.009254275130339558,correct
67,1,AX,1,1,1,0.3286682122626769,correct
68,0,AZ,0,0,0,0.03752164438291631,correct
69,1,AZ,1,0,0,0.10467076542780719,correct
70,1,AZ,0,1,1,0.1332998174881205,correct
71,1,AZ,1,1,1,-0.14819373916792117,correct
72,0,BA,0,0,0,0.22228440358503804,correct
73,1,BA,1,0,0,0.291356000582226,correct
74,1,BA,0,1,1,-0.0902463691514581,correct
75,1,BA,1,1,1,0.3647187518550467,correct
76,0,BB,0,0,0,0.13616671935792699,correct
77,1,BB,1,0,0,0.4739443406768592,correct
78,1,BB,0,1,1,-0.07335136822622833,correct
79,1,BB,1,1,1,0.06273371918063081,correct
80,0,BC,0,0,0,-0.2816021938689253,correct
81,1,BC,1,0,0,-0.6439483613157451,correct
82,1,BC,0,1,1,-0.30779115584532973,correct
83,1,BC,1,1,1,-0.2610075869238493,correct
84,0,IAA,0,0,0,-0.09821248320443453,correct
85,1,IAA,1,0,0,-0.12249999390474699,correct
86,1,IAA,0,1,1,0.06476835895767893,correct
87,1,IAA,1,1,1,0.05078438801343911,correct
88,0,IAC,0,0,0,-0.09465047899559673,correct
89,1,IAC,1,0,0,-0.18926752999047464,correct
90,1,IAC,0,1,1,0.28637593858873156,correct
91,1,IAC,1,1,1,0.06238145938741684,correct
92,0,IAF,0,0,0,-0.1019011485278156,correct
93,1,IAF,1,0,0,-0.26855308033061964,correct
94,1,IAF,0,1,1,-0.45710939864596556,correct
95,1,IAF,1,1,1,0.026017051339850557,correct
96,0,IAH,0,0,0,0.221953123584782,correct
97,1,IAH,1,0,0,0.6001539728698472,correct
98,1,IAH,0,1,1,0.5699456447533434,correct
99,1,IAH,1,1,1,0.6542871748194317,correct
100,0,IAJ,0,0,0,0.048782108665208074,correct
101,1,IAJ,1,0,0,0.22654277547971818,correct
102,1,IAJ,0,1,1,-0.01880158945035859,correct
103,1,IAJ,1,1,1,0.04066797935097467,correct
104,0,IAK,0,0,0,-0.15027833250738587,correct
105,1,IAK,1,0,0,-0.2753226708597106,correct
106,1,IAK,0,1,1,-0.289084042870678,correct
107,1,IAK,1,1,1,-0.14399747037017468,correct
108,0,IAL,0,0,0,0.4800175366500551,correct
109,1,IAL,1,0,0,0.831577858049843,correct
110,1,IAL,0,1,1,0.6565220893781849,correct
111,1,IAL,1,1,1,1.2422126386450252,correct
112,0,IAM,0,0,0,0.12347139523448201,correct
113,1,IAM,1,0,0,0.0787957456547306,correct
114,1,IAM,0,1,1,0.061877773345087136,correct
115,1,IAM,1,1,1,0.23526348034590178,correct
