,Sub,pupil,type
0,AB,0.9222069351845136,correct
1,AB,0.33419424630407285,correct
2,AB,1.5406416920913808,correct
3,AB,0.2507374948484572,correct
4,AB,-0.1340740923021217,correct
5,AB,-0.5337836009209375,correct
6,AB,2.2768271958466317,correct
7,AB,2.596619493357326,correct
8,AB,-1.2707887921738272,correct
9,AB,0.33168004859138017,correct
10,AB,-0.053494659434056575,correct
11,AB,0.30319556064648207,correct
12,AB,3.9947882281728107,correct
13,AB,0.7315015027283678,correct
14,AB,0.4571026392488222,correct
15,AB,1.674344662134521,correct
16,AB,-0.5645588429739676,correct
17,AB,0.0864000927563697,correct
18,AB,0.45912288886087194,correct
19,AB,0.6604726832900892,correct
20,AB,2.0037904216748785,correct
21,AB,-1.024544735010519,correct
22,AB,-0.014958269668327383,correct
23,AB,2.5952684101550423,correct
24,AB,0.4712847427932632,correct
25,AB,1.4951505858711018,correct
26,AB,0.41419840264119895,correct
27,AB,0.7362645372258513,correct
28,AB,-0.3702242751241237,correct
29,AB,0.4686408993122073,correct
30,AB,-0.5289617540817341,correct
31,AB,-0.02196558933694137,correct
32,AB,-0.4777342901809992,correct
33,AB,-0.9073808939515198,correct
34,AB,1.451526009814574,correct
35,AB,-0.1340364330634661,correct
36,AB,-0.9348257837110406,correct
37,AB,4.333757911628567,correct
38,AB,3.658598489468993,correct
39,AB,0.32984333821480205,correct
40,AB,1.5630334606383063,correct
41,AB,-0.2049065096281253,correct
42,AB,-2.2824193394852177,correct
43,AB,1.4493455847948353,correct
44,AB,-0.11753441768998055,correct
45,AB,1.180146306213795,correct
46,AB,1.2306652796564075,correct
47,AB,-0.3694470149105915,correct
48,AB,0.5837814075843871,correct
49,AB,0.20252325042458957,correct
50,AB,-1.5900130480229318,correct
51,AB,0.647045636876003,correct
52,AB,-0.4956619868844356,correct
53,AB,-0.4513069479212809,correct
54,AB,-1.3731254117424614,correct
55,AB,-4.62397157934848,correct
56,AB,-0.01272166635484722,correct
57,AB,0.4459532473224771,correct
